id;player;team;season;age;squad;comp;country;mp;starts;starts_pct;minutes;nins;gls;ast;g_plus_a;g_pk;pk;pkatt;crdy;crdr;xg;xag;npxg;xg_plus_xag;npxg_plus_xag;prgp;prgc;prgr;gls_per_90;ast_per_90;g_plus_a_per_90;xg_per_90;xag_per_90;xg_plus_xag_per_90;xg_diff;xa_diff;trend;newleague;sourcefile;role;career_mp;career_starts;career_min;career_90_s;career_gls;career_ast;career_g_plus_a;career_xg;career_xag;career_xg_plus_xag;career_npxg;career_npxg_plus_xag;career_gls_per_90;career_ast_per_90;career_g_plus_a_per_90;career_xg_per_90;career_xag_per_90;career_xg_plus_xag_per_90
1;while lieu practical;uncork fraudster;sedately velvety and;angelic drat whispered;throughout considering settle;peppery how eek;Samoa;28057;19857;13232;11922;25317;3953;4922;18104;7961;19363;29204;19153;14603;19015;29395;24411;31037;21329;20719;18473;2582;27832;31696;28862;24588;26177;24901;15477;11214;now valiantly;awkwardly;chip helplessly towards;GK;23840;31505;8203;20679;4166;24563;20948;20806;31457;24819;30145;10480;19831;9587;23877;8554;15493;4211
2;dispense;hm;handsome regarding before;refine fast;ugh;pity;Guyana;15451;11920;17345;13071;17735;24235;24175;18346;677;2585;31410;28375;7574;28163;492;7079;7143;28493;21975;31366;1572;30841;14227;3862;3791;19630;30795;12887;12484;ha following a;even aggravating;ack border;MF;6403;4483;19024;25818;16956;32100;26729;20286;19212;23101;9692;6494;23421;17273;22639;2502;18630;24735
3;ghost;makeover;poor strait;yum fooey;iridescence which;how;Costa Rica;16513;10137;17153;28143;22541;31916;28715;22186;6245;3484;28223;1392;8882;10307;12916;30380;15135;24143;3122;9307;1851;22585;21237;29319;30027;19555;16758;26283;2450;shout gently interviewer;condense;attraction angle seemingly;FW;1159;1423;1134;5204;28571;134;23004;12319;16422;20397;18491;21960;23566;13405;11594;7463;20346;5910
4;modulo times sharply;character phew mysterious;damp;daintily often dowse;lest hoick whose;quit;Uzbekistan;16250;30192;22838;26361;7075;31708;21823;30229;12992;18303;6610;16482;25097;504;17955;4739;14139;14372;6932;32708;27189;25287;6050;4200;28294;25379;21565;20360;25548;galoshes swerve;valiantly;bruised rally;FW;25126;610;24563;1588;7389;18242;5527;23074;31926;19480;15283;20440;28252;21947;12338;2545;9520;9081
5;sarong spirit bah;ack;which dish disk;loyally oof pish;terribly than;till;Malesia;11909;18909;31683;22247;26652;12876;14732;5078;30456;32408;10803;15811;22198;2616;29070;12785;18946;13742;24830;32260;17016;20257;21093;27384;5444;22496;32733;12076;29529;deficient mockingly whose;sympathetically ouch;shred royal unless;MF;11396;10758;22758;13860;3446;31478;6790;430;26448;20369;10174;5630;26758;31371;30514;6102;9549;1857
6;despite popularity;provided ugh;colossal lumpy;aboard yawningly;colorfully discontinue in;wholly;Papua Nuova Guinea;3627;26641;1130;22816;12827;6155;30813;5157;17972;2950;22133;29845;26997;5344;10002;22753;4233;18494;156;17712;29815;20152;19860;601;19997;11901;366;31340;15555;chime;likewise;outsource;FW;10889;1927;29574;6016;31662;27016;2721;1224;24997;21157;20195;22156;24461;30021;6104;2559;32329;28915
7;before fervently classic;minus;under;scornful thunderbolt whose;hmph;whoever ironclad;Korea;26794;27319;30405;28861;10570;14331;18623;4700;23483;16835;21902;12730;7917;24493;7278;18297;29925;6108;23992;31510;22998;4955;2235;31586;18878;8572;6236;314;12204;aha unfortunately for;apropos geez;huzzah;DF;4083;20765;21484;4055;19341;28720;19768;8904;11108;10771;13063;14285;26267;7630;12950;26980;13945;15567
8;new;abandoned unto;shadowy cheerfully;uncover house;disposer wherever;shoot department;Isole Cayman;31654;15876;23123;12056;23441;24194;17175;16778;29706;4517;15012;383;17282;18486;17604;7392;21892;31475;29027;20192;9479;11921;11112;7197;27985;25325;20426;13900;965;apostrophize;during unfortunate;scarily impure;DF;7103;20071;20004;26750;1997;22256;17208;6437;1249;12596;7933;3116;17209;17447;19158;20829;30926;17845
9;gah blind gosh;mockingly notwithstanding meh;whose;digit freight;positively wiggly structure;loftily through;Cile;15868;8151;19471;3264;25387;19833;3689;391;30571;24019;10335;12131;19442;30070;3960;2889;27407;13542;20013;17241;9687;15292;26609;32390;17203;29392;23949;30671;29645;indelible;gasp gripper unless;whoa although;DF;10243;6030;13508;1640;1191;22520;1932;30873;4102;6685;24329;3416;23932;29819;7188;12908;11881;4106
10;athwart beside inhibit;about where republican;unearth only;spew meanwhile;because orange;aw wrong quantify;Guadalupa;29280;23646;11497;8913;5032;10653;30755;30307;27624;10330;5469;6339;17739;31425;29250;28997;23595;17538;25655;12406;15925;11082;12825;11659;17993;28814;2013;29246;16551;after;seriously enthusiastically;sour deduct;MF;25410;9222;25419;8029;5042;21768;2137;18736;4420;28934;17246;7915;5954;23768;24241;1661;7807;13966
