Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marten de Roon,Atalanta,2009-2010,18,Sparta R'dam,nl NED,1. Eredivisie,16th,3,3,270,3.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marten de Roon,Atalanta,2010-2011,19,Sparta R'dam,nl NED,2. Eerste Divisie,9th,27,25,2165,24.1,0,1,1,0,0,0,3,1,,,,,,,,0.00,0.04,0.04,0.00,0.04,,,,,,
Marten de Roon,Atalanta,2011-2012,20,Sparta R'dam,nl NED,2. Eerste Divisie,2nd,28,24,2154,23.9,2,3,5,2,0,0,6,3,,,,,,,,0.08,0.13,0.21,0.08,0.21,,,,,,
Marten de Roon,Atalanta,2012-2013,21,Heerenveen,nl NED,1. Eredivisie,8th,24,22,1937,21.5,1,1,2,1,0,0,7,0,,,,,,,,0.05,0.05,0.09,0.05,0.09,,,,,,Matches
Marten de Roon,Atalanta,2013-2014,22,Heerenveen,nl NED,1. Eredivisie,5th,31,30,2711,30.1,3,1,4,3,0,0,7,0,,,,,,,,0.10,0.03,0.13,0.10,0.13,,,,,,Matches
Marten de Roon,Atalanta,2014-2015,23,Heerenveen,nl NED,1. Eredivisie,7th,32,32,2765,30.7,1,0,1,0,1,1,9,1,,,,,,,,0.03,0.00,0.03,0.00,0.00,,,,,,Matches
Marten de Roon,Atalanta,2015-2016,24,Atalanta,it ITA,1. Serie A,13th,36,35,3089,34.3,1,2,3,1,0,0,11,1,,,,,,,,0.03,0.06,0.09,0.03,0.09,,,,,,Matches
Marten de Roon,Atalanta,2016-2017,25,Middlesbrough,eng ENG,1. Premier League,19th,33,32,2773,30.8,4,0,4,4,0,0,8,0,,,,,,,,0.13,0.00,0.13,0.13,0.13,,,,,,Matches
Marten de Roon,Atalanta,2017-2018,26,Middlesbrough,eng ENG,2. Championship,5th,1,1,64,0.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Marten de Roon,Atalanta,2017-2018,26,Atalanta,it ITA,1. Serie A,7th,34,29,2571,28.6,3,3,6,2,1,2,10,1,3.4,1.8,1.4,3.2,31,205,33,0.11,0.11,0.21,0.07,0.18,0.12,0.05,0.17,0.06,0.11,Matches
Marten de Roon,Atalanta,2018-2019,27,Atalanta,it ITA,1. Serie A,3rd,35,34,2975,33.1,2,3,5,1,1,1,8,0,1.8,1.0,2.0,3.0,33,254,40,0.06,0.09,0.15,0.03,0.12,0.05,0.06,0.11,0.03,0.09,Matches
Marten de Roon,Atalanta,2019-2020,28,Atalanta,it ITA,1. Serie A,3rd,35,29,2721,30.2,2,5,7,2,0,0,12,0,1.2,1.2,1.8,3.0,36,211,46,0.07,0.17,0.23,0.07,0.23,0.04,0.06,0.10,0.04,0.10,Matches
Marten de Roon,Atalanta,2020-2021,29,Atalanta,it ITA,1. Serie A,3rd,35,33,3021,33.6,1,1,2,1,0,0,8,1,0.6,0.6,0.9,1.6,37,245,34,0.03,0.03,0.06,0.03,0.06,0.02,0.03,0.05,0.02,0.05,Matches
Marten de Roon,Atalanta,2021-2022,30,Atalanta,it ITA,1. Serie A,8th,30,28,2548,28.3,3,0,3,3,0,0,7,1,2.0,2.0,0.3,2.3,19,176,30,0.11,0.00,0.11,0.11,0.11,0.07,0.01,0.08,0.07,0.08,Matches
Marten de Roon,Atalanta,2022-2023,31,Atalanta,it ITA,1. Serie A,5th,35,34,2964,32.9,3,1,4,3,0,0,7,0,1.1,1.1,1.8,2.9,18,171,23,0.09,0.03,0.12,0.09,0.12,0.03,0.06,0.09,0.03,0.09,Matches
Marten de Roon,Atalanta,2023-2024,32,Atalanta,it ITA,1. Serie A,4th,30,29,2599,28.9,0,5,5,0,0,0,10,0,0.6,0.6,1.2,1.8,28,178,22,0.00,0.17,0.17,0.00,0.17,0.02,0.04,0.06,0.02,0.06,Matches
Marten de Roon,Atalanta,2024-2025,33,Atalanta,it ITA,1. Serie A,3rd,36,34,3058,34.0,4,4,8,4,0,0,5,0,0.9,0.9,2.3,3.2,37,242,32,0.12,0.12,0.24,0.12,0.24,0.03,0.07,0.09,0.03,0.09,Matches
Marten de Roon,Atalanta,2025-2026,34,Atalanta,it ITA,1. Serie A,9th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,11,4,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
Marten de Roon,Atalanta,17 Seasons,17 Seasons,4 Clubs,,5 Leagues,,486,455,40475,449.7,30,30,60,27,3,4,119,9,11.6,9.3,11.9,21.1,242,1693,264,0.07,0.07,0.13,0.06,0.13,0.05,0.05,0.09,0.04,0.08,
Marten de Roon,Atalanta,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Marten de Roon,Atalanta,Atalanta (10 Seasons),Atalanta (10 Seasons),Atalanta (10 Seasons),,1 League,,307,286,25636,284.8,19,24,43,17,2,3,78,4,11.6,9.3,11.9,21.1,242,1693,264,0.07,0.08,0.15,0.06,0.14,0.05,0.05,0.09,0.04,0.08,
Marten de Roon,Atalanta,Heerenveen (3 Seasons),Heerenveen (3 Seasons),Heerenveen (3 Seasons),,1 League,,87,84,7413,82.4,5,2,7,4,1,1,23,1,,,,,,,,0.06,0.02,0.08,0.05,0.07,,,,,,
Marten de Roon,Atalanta,Sparta R'dam (3 Seasons),Sparta R'dam (3 Seasons),Sparta R'dam (3 Seasons),,2 Leagues,,58,52,4589,51.0,2,4,6,2,0,0,10,4,,,,,,,,0.04,0.08,0.12,0.04,0.12,,,,,,
