Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicola Zalewski,Atalanta,2020-2021,18,Roma,it ITA,1. Serie A,7th,1,0,11,0.1,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,2,0.00,8.18,8.18,0.00,8.18,0.00,0.35,0.35,0.00,0.35,Matches
Nicola Zalewski,Atalanta,2021-2022,19,Roma,it ITA,1. Serie A,6th,16,9,793,8.8,0,0,0,0,0,0,1,0,0.4,0.4,0.5,0.9,43,22,35,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,Matches
Nicola Zalewski,Atalanta,2022-2023,20,Roma,it ITA,1. Serie A,6th,33,26,2197,24.4,2,1,3,2,0,0,3,0,1.3,1.3,1.2,2.5,92,85,99,0.08,0.04,0.12,0.08,0.12,0.05,0.05,0.10,0.05,0.10,Matches
Nicola Zalewski,Atalanta,2023-2024,21,Roma,it ITA,1. Serie A,6th,22,10,968,10.8,0,1,1,0,0,0,3,1,0.8,0.8,1.6,2.5,54,33,62,0.00,0.09,0.09,0.00,0.09,0.08,0.15,0.23,0.08,0.23,Matches
Nicola Zalewski,Atalanta,2024-2025,22,Roma,it ITA,1. Serie A,5th,12,4,533,5.9,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,31,17,54,0.00,0.00,0.00,0.00,0.00,0.05,0.13,0.18,0.05,0.18,Matches
Nicola Zalewski,Atalanta,2024-2025,22,Inter,it ITA,1. Serie A,2nd,11,4,435,4.8,1,1,2,1,0,0,4,0,0.2,0.2,1.7,1.9,29,18,47,0.21,0.21,0.41,0.21,0.41,0.05,0.35,0.39,0.05,0.39,Matches
Nicola Zalewski,Atalanta,2025-2026,23,Atalanta,it ITA,1. Serie A,9th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,8,4,6,0.00,0.00,0.00,0.00,0.00,0.02,0.39,0.41,0.02,0.41,Matches
Nicola Zalewski,Atalanta,6 Seasons,6 Seasons,3 Clubs,,1 League,,96,54,5027,55.9,3,4,7,3,0,0,11,1,3.1,3.1,6.2,9.3,257,182,305,0.05,0.07,0.13,0.05,0.13,0.06,0.11,0.17,0.06,0.17,
Nicola Zalewski,Atalanta,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicola Zalewski,Atalanta,Roma (5 Seasons),Roma (5 Seasons),Roma (5 Seasons),,1 League,,84,49,4502,50.0,2,3,5,2,0,0,7,1,2.9,2.9,4.1,7.0,220,160,252,0.04,0.06,0.10,0.04,0.10,0.06,0.08,0.14,0.06,0.14,
Nicola Zalewski,Atalanta,Inter (1 Season),Inter (1 Season),Inter (1 Season),,1 League,,11,4,435,4.8,1,1,2,1,0,0,4,0,0.2,0.2,1.7,1.9,29,18,47,0.21,0.21,0.41,0.21,0.41,0.05,0.35,0.39,0.05,0.39,
Nicola Zalewski,Atalanta,Atalanta (1 Season),Atalanta (1 Season),Atalanta (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,8,4,6,0.00,0.00,0.00,0.00,0.00,0.02,0.39,0.41,0.02,0.41,
