Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Benjamín Domínguez,Bologna,2021,17,Gimnasia–LP,ar ARG,1. Liga Argentina,11th,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Benjamín Domínguez,Bologna,2022,18,Gimnasia–LP,ar ARG,1. Liga Argentina,9th,18,9,820,9.1,1,1,2,1,0,0,0,0,0.5,0.5,1.2,1.7,27,18,82,0.11,0.11,0.22,0.11,0.22,0.06,0.13,0.18,0.06,0.18,Matches
Benjamín Domínguez,Bologna,2023,19,Gimnasia–LP,ar ARG,1. Liga Argentina,22nd,15,14,1142,12.7,2,0,2,2,0,0,0,0,1.7,1.7,1.1,2.8,44,11,118,0.16,0.00,0.16,0.16,0.16,0.13,0.09,0.22,0.13,0.22,Matches
Benjamín Domínguez,Bologna,2024,20,Gimnasia–LP,ar ARG,1. Liga Argentina,19th,11,11,960,10.7,2,1,3,1,1,1,2,0,2.1,1.3,1.9,3.1,32,21,109,0.19,0.09,0.28,0.09,0.19,0.19,0.18,0.37,0.12,0.30,Matches
Benjamín Domínguez,Bologna,2024-2025,20,Bologna,it ITA,1. Serie A,9th,24,16,1281,14.2,3,2,5,3,0,0,0,0,2.2,2.2,0.8,3.1,50,32,123,0.21,0.14,0.35,0.21,0.35,0.16,0.06,0.21,0.16,0.21,Matches
Benjamín Domínguez,Bologna,2025-2026,21,Bologna,it ITA,1. Serie A,16th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Benjamín Domínguez,Bologna,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,69,50,4204,46.7,8,4,12,7,1,1,2,0,6.5,5.7,5.0,10.7,153,82,432,0.17,0.09,0.26,0.15,0.24,0.14,0.11,0.25,0.12,0.23,
Benjamín Domínguez,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Benjamín Domínguez,Bologna,Gimnasia–LP (4 Seasons),Gimnasia–LP (4 Seasons),Gimnasia–LP (4 Seasons),,1 League,,45,34,2923,32.5,5,2,7,4,1,1,2,0,4.2,3.5,4.1,7.6,103,50,309,0.15,0.06,0.22,0.12,0.18,0.13,0.13,0.26,0.11,0.23,
Benjamín Domínguez,Bologna,Bologna (2 Seasons),Bologna (2 Seasons),Bologna (2 Seasons),,1 League,,24,16,1281,14.2,3,2,5,3,0,0,0,0,2.2,2.2,0.8,3.1,50,32,123,0.21,0.14,0.35,0.21,0.35,0.16,0.06,0.21,0.16,0.21,
Benjamín Domínguez,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamín Domínguez,Bologna,Liga Argentina (4 Seasons),Liga Argentina (4 Seasons),Liga Argentina (4 Seasons),,,,45,34,2923,32.5,5,2,7,4,1,1,2,0,4.2,3.5,4.1,7.6,103,50,309,0.15,0.06,0.22,0.12,0.18,0.13,0.13,0.26,0.11,0.23,
Benjamín Domínguez,Bologna,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,24,16,1281,14.2,3,2,5,3,0,0,0,0,2.2,2.2,0.8,3.1,50,32,123,0.21,0.14,0.35,0.21,0.35,0.16,0.06,0.21,0.16,0.21,
