Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giovanni Fabbian,Bologna,2022-2023,19,US Reggina,it ITA,2. Serie B,7th,36,34,2827,31.4,8,1,9,8,0,0,9,1,7.0,7.0,1.4,8.3,22,89,79,0.25,0.03,0.29,0.25,0.29,0.22,0.04,0.27,0.22,0.27,Matches
Giovanni Fabbian,Bologna,2023-2024,20,Bologna,it ITA,1. Serie A,5th,27,11,1057,11.7,5,2,7,5,0,0,4,0,4.2,4.2,1.9,6.0,11,17,41,0.43,0.17,0.60,0.43,0.60,0.35,0.16,0.51,0.35,0.51,Matches
Giovanni Fabbian,Bologna,2024-2025,21,Bologna,it ITA,1. Serie A,9th,30,9,1023,11.4,3,1,4,3,0,0,2,0,2.3,2.3,1.3,3.7,14,17,43,0.26,0.09,0.35,0.26,0.35,0.21,0.12,0.32,0.21,0.32,Matches
Giovanni Fabbian,Bologna,2025-2026,22,Bologna,it ITA,1. Serie A,16th,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Giovanni Fabbian,Bologna,4 Seasons,4 Seasons,2 Clubs,,2 Leagues,,94,54,4926,54.7,16,4,20,16,0,0,15,1,13.5,13.5,4.5,18.0,47,123,163,0.29,0.07,0.37,0.29,0.37,0.25,0.08,0.33,0.25,0.33,
Giovanni Fabbian,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giovanni Fabbian,Bologna,Bologna (3 Seasons),Bologna (3 Seasons),Bologna (3 Seasons),,1 League,,58,20,2099,23.3,8,3,11,8,0,0,6,0,6.5,6.5,3.2,9.7,25,34,84,0.34,0.13,0.47,0.34,0.47,0.28,0.14,0.41,0.28,0.41,
Giovanni Fabbian,Bologna,US Reggina (1 Season),US Reggina (1 Season),US Reggina (1 Season),,1 League,,36,34,2827,31.4,8,1,9,8,0,0,9,1,7.0,7.0,1.4,8.3,22,89,79,0.25,0.03,0.29,0.25,0.29,0.22,0.04,0.27,0.22,0.27,
Giovanni Fabbian,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Fabbian,Bologna,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,58,20,2099,23.3,8,3,11,8,0,0,6,0,6.5,6.5,3.2,9.7,25,34,84,0.34,0.13,0.47,0.34,0.47,0.28,0.14,0.41,0.28,0.41,
Giovanni Fabbian,Bologna,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,36,34,2827,31.4,8,1,9,8,0,0,9,1,7.0,7.0,1.4,8.3,22,89,79,0.25,0.03,0.29,0.25,0.29,0.22,0.04,0.27,0.22,0.27,
