Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jens Odgaard,Bologna,2016-2017,17,Lyngby,dk DEN,1. Danish Superliga,3rd,16,4,471,5.2,3,1,4,3,0,0,1,0,,,,,,,,0.57,0.19,0.76,0.57,0.76,,,,,,Matches
Jens Odgaard,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jens Odgaard,Bologna,2018-2019,19,Sassuolo,it ITA,1. Serie A,11th,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Jens Odgaard,Bologna,2019-2020,20,Heerenveen,nl NED,1. Eredivisie,10th,24,22,1855,20.6,7,1,8,6,1,3,0,0,9.4,7.0,1.8,8.8,35,38,134,0.34,0.05,0.39,0.29,0.34,0.46,0.09,0.54,0.34,0.43,Matches
Jens Odgaard,Bologna,2020-2021,21,Lugano,ch SUI,1. Super Lg,4th,6,5,385,4.3,0,1,1,0,0,0,0,0,,,,,,,,0.00,0.23,0.23,0.00,0.23,,,,,,Matches
Jens Odgaard,Bologna,2020-2021,21,Pescara,it ITA,2. Serie B,19th,19,17,1374,15.3,1,1,2,1,0,0,2,0,3.5,3.5,0.5,4.0,31,15,106,0.07,0.07,0.13,0.07,0.13,0.23,0.03,0.26,0.23,0.26,Matches
Jens Odgaard,Bologna,2021-2022,22,RKC Waalwijk,nl NED,1. Eredivisie,10th,30,28,2468,27.4,8,6,14,8,0,1,3,0,9.4,8.6,4.6,13.2,80,74,199,0.29,0.22,0.51,0.29,0.51,0.34,0.17,0.51,0.31,0.48,Matches
Jens Odgaard,Bologna,2022-2023,23,AZ Alkmaar,nl NED,1. Eredivisie,4th,29,28,2165,24.1,9,4,13,9,0,0,1,0,9.0,9.0,2.4,11.4,52,62,191,0.37,0.17,0.54,0.37,0.54,0.37,0.10,0.48,0.37,0.48,Matches
Jens Odgaard,Bologna,2023-2024,24,AZ Alkmaar,nl NED,1. Eredivisie,4th,17,4,444,4.9,1,2,3,1,0,0,0,0,2.1,2.1,1.2,3.3,14,19,43,0.20,0.41,0.61,0.20,0.61,0.43,0.24,0.68,0.43,0.68,Matches
