Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Jhon Lucumí,Bologna,2015,16,AD Cali,co COL,1. Primera A,4th,6,6,539,6.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Jhon Lucumí,Bologna,2016,17,AD Cali,co COL,1. Primera A,6th,4,4,360,4.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Jhon Lucumí,Bologna,2017,18,AD Cali,co COL,1. Primera A,7th,10,7,761,8.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Jhon Lucumí,Bologna,2018,19,AD Cali,co COL,1. Primera A,8th,16,16,1440,16.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Jhon Lucumí,Bologna,2018-2019,20,Genk,be BEL,1. First Division A,1st,17,16,1386,15.4,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,13,63,0,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
Jhon Lucumí,Bologna,2019-2020,21,Genk,be BEL,1. First Division A,7th,22,21,1920,21.3,1,1,2,1,0,0,2,0,1.1,1.1,0.7,1.8,19,95,6,0.05,0.05,0.09,0.05,0.09,0.05,0.03,0.08,0.05,0.08,Matches
Jhon Lucumí,Bologna,2020-2021,22,Genk,be BEL,1. First Division A,2nd,32,31,2839,31.5,0,0,0,0,0,0,7,0,0.6,0.6,0.9,1.5,18,114,2,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Jhon Lucumí,Bologna,2021-2022,23,Genk,be BEL,1. First Division A,8th,24,20,1863,20.7,1,0,1,1,0,0,3,0,1.3,1.3,0.1,1.4,17,95,6,0.05,0.00,0.05,0.05,0.05,0.06,0.00,0.07,0.06,0.07,Matches
Jhon Lucumí,Bologna,2022-2023,24,Genk,be BEL,1. Pro League A,2nd,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,15,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
