Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lorenzo De Silvestri,Bologna,2006-2007,18,Lazio,it ITA,1. Serie A,3rd,2,1,103,1.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Lorenzo De Silvestri,Bologna,2007-2008,19,Lazio,it ITA,1. Serie A,12th,24,17,1570,17.4,0,2,2,0,0,0,6,2,,,,,,,,0.00,0.11,0.11,0.00,0.11,,,,,,Matches
Lorenzo De Silvestri,Bologna,2008-2009,20,Lazio,it ITA,1. Serie A,10th,21,12,1069,11.9,0,0,0,0,0,0,3,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Lorenzo De Silvestri,Bologna,2009-2010,21,Fiorentina,it ITA,1. Serie A,11th,26,17,1764,19.6,1,2,3,1,0,0,3,0,,,,,,,,0.05,0.10,0.15,0.05,0.15,,,,,,Matches
Lorenzo De Silvestri,Bologna,2010-2011,22,Fiorentina,it ITA,1. Serie A,9th,26,23,2044,22.7,1,0,1,1,0,0,3,0,,,,,,,,0.04,0.00,0.04,0.04,0.04,,,,,,Matches
Lorenzo De Silvestri,Bologna,2011-2012,23,Fiorentina,it ITA,1. Serie A,13th,22,15,1442,16.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Lorenzo De Silvestri,Bologna,2012-2013,24,Sampdoria,it ITA,1. Serie A,14th,24,19,1839,20.4,2,0,2,2,0,0,4,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,Matches
Lorenzo De Silvestri,Bologna,2013-2014,25,Sampdoria,it ITA,1. Serie A,12th,35,35,3082,34.2,2,2,4,2,0,0,8,0,,,,,,,,0.06,0.06,0.12,0.06,0.12,,,,,,Matches
Lorenzo De Silvestri,Bologna,2014-2015,26,Sampdoria,it ITA,1. Serie A,7th,33,33,2928,32.5,4,3,7,4,0,0,8,0,,,,,,,,0.12,0.09,0.22,0.12,0.22,,,,,,Matches
Lorenzo De Silvestri,Bologna,2015-2016,27,Sampdoria,it ITA,1. Serie A,15th,17,17,1392,15.5,1,2,3,1,0,0,4,0,,,,,,,,0.06,0.13,0.19,0.06,0.19,,,,,,Matches
Lorenzo De Silvestri,Bologna,2016-2017,28,Torino,it ITA,1. Serie A,9th,16,15,1254,13.9,1,3,4,1,0,0,1,0,,,,,,,,0.07,0.22,0.29,0.07,0.29,,,,,,Matches
Lorenzo De Silvestri,Bologna,2017-2018,29,Torino,it ITA,1. Serie A,9th,35,35,2955,32.8,5,2,7,5,0,0,3,2,3.1,3.1,1.7,4.8,79,135,79,0.15,0.06,0.21,0.15,0.21,0.10,0.05,0.15,0.10,0.15,Matches
Lorenzo De Silvestri,Bologna,2018-2019,30,Torino,it ITA,1. Serie A,7th,32,30,2415,26.8,2,4,6,2,0,0,3,0,2.8,2.8,2.7,5.6,59,102,139,0.07,0.15,0.22,0.07,0.22,0.11,0.10,0.21,0.11,0.21,Matches
Lorenzo De Silvestri,Bologna,2019-2020,31,Torino,it ITA,1. Serie A,16th,29,28,2243,24.9,0,0,0,0,0,0,2,0,2.3,2.3,2.0,4.3,49,82,138,0.00,0.00,0.00,0.00,0.00,0.09,0.08,0.17,0.09,0.17,Matches
Lorenzo De Silvestri,Bologna,2020-2021,32,Bologna,it ITA,1. Serie A,12th,29,25,2143,23.8,2,0,2,2,0,0,4,0,2.1,2.1,0.7,2.8,28,104,52,0.08,0.00,0.08,0.08,0.08,0.09,0.03,0.12,0.09,0.12,Matches
Lorenzo De Silvestri,Bologna,2021-2022,33,Bologna,it ITA,1. Serie A,13th,31,27,2294,25.5,3,2,5,3,0,0,7,0,1.8,1.8,2.4,4.2,47,121,75,0.12,0.08,0.20,0.12,0.20,0.07,0.09,0.17,0.07,0.17,Matches
Lorenzo De Silvestri,Bologna,2022-2023,34,Bologna,it ITA,1. Serie A,9th,15,6,672,7.5,1,0,1,1,0,0,1,0,0.6,0.6,0.2,0.9,18,31,17,0.13,0.00,0.13,0.13,0.13,0.09,0.03,0.12,0.09,0.12,Matches
Lorenzo De Silvestri,Bologna,2023-2024,35,Bologna,it ITA,1. Serie A,5th,15,7,674,7.5,2,0,2,2,0,0,0,0,0.2,0.2,0.0,0.2,14,27,12,0.27,0.00,0.27,0.27,0.27,0.03,0.00,0.03,0.03,0.03,Matches
Lorenzo De Silvestri,Bologna,2024-2025,36,Bologna,it ITA,1. Serie A,9th,18,13,1060,11.8,1,0,1,1,0,0,1,0,0.8,0.8,0.3,1.1,4,46,30,0.08,0.00,0.08,0.08,0.08,0.07,0.02,0.09,0.07,0.09,Matches
Lorenzo De Silvestri,Bologna,2025-2026,37,Bologna,it ITA,1. Serie A,16th,1,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.10,0.00,0.10,Matches
Lorenzo De Silvestri,Bologna,20 Seasons,20 Seasons,5 Clubs,,1 League,,451,376,33014,366.8,28,22,50,28,0,0,64,5,13.9,13.9,10.1,24.0,299,650,544,0.08,0.06,0.14,0.08,0.14,0.09,0.06,0.15,0.09,0.15,
Lorenzo De Silvestri,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lorenzo De Silvestri,Bologna,Bologna (6 Seasons),Bologna (6 Seasons),Bologna (6 Seasons),,1 League,,109,79,6914,76.8,9,2,11,9,0,0,13,0,5.6,5.6,3.7,9.3,112,331,188,0.12,0.03,0.14,0.12,0.14,0.07,0.05,0.12,0.07,0.12,
Lorenzo De Silvestri,Bologna,Torino (4 Seasons),Torino (4 Seasons),Torino (4 Seasons),,1 League,,112,108,8867,98.5,8,9,17,8,0,0,9,2,8.3,8.3,6.4,14.7,187,319,356,0.08,0.09,0.17,0.08,0.17,0.10,0.08,0.17,0.10,0.17,
Lorenzo De Silvestri,Bologna,Sampdoria (4 Seasons),Sampdoria (4 Seasons),Sampdoria (4 Seasons),,1 League,,109,104,9241,102.7,9,7,16,9,0,0,24,0,,,,,,,,0.09,0.07,0.16,0.09,0.16,,,,,,
Lorenzo De Silvestri,Bologna,Fiorentina (3 Seasons),Fiorentina (3 Seasons),Fiorentina (3 Seasons),,1 League,,74,55,5250,58.3,2,2,4,2,0,0,9,0,,,,,,,,0.03,0.03,0.07,0.03,0.07,,,,,,
Lorenzo De Silvestri,Bologna,Lazio (3 Seasons),Lazio (3 Seasons),Lazio (3 Seasons),,1 League,,47,30,2742,30.5,0,2,2,0,0,0,9,3,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,
