Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Remo Freuler,Bologna,2010-2011,18,Grasshopper,ch SUI,1. Super Lg,7th,5,2,287,3.2,1,0,1,1,0,0,0,0,,,,,,,,0.31,0.00,0.31,0.31,0.31,,,,,,
Remo Freuler,Bologna,2011-2012,19,Grasshopper,ch SUI,1. Super Lg,8th,7,3,304,3.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Remo Freuler,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remo Freuler,Bologna,2013-2014,21,Luzern,ch SUI,1. Super Lg,4th,12,11,916,10.2,1,2,3,1,0,0,3,0,,,,,,,,0.10,0.20,0.29,0.10,0.29,,,,,,
Remo Freuler,Bologna,2014-2015,22,Luzern,ch SUI,1. Super Lg,5th,33,33,2955,32.8,7,5,12,5,2,2,7,1,,,,,,,,0.21,0.15,0.37,0.15,0.30,,,,,,Matches
Remo Freuler,Bologna,2015-2016,23,Luzern,ch SUI,1. Super Lg,3rd,18,18,1620,18.0,1,3,4,1,0,1,3,0,,,,,,,,0.06,0.17,0.22,0.06,0.22,,,,,,Matches
Remo Freuler,Bologna,2015-2016,23,Atalanta,it ITA,1. Serie A,13th,6,5,449,5.0,1,0,1,1,0,0,0,0,,,,,,,,0.20,0.00,0.20,0.20,0.20,,,,,,Matches
Remo Freuler,Bologna,2016-2017,24,Atalanta,it ITA,1. Serie A,4th,33,29,2611,29.0,5,4,9,5,0,0,5,0,,,,,,,,0.17,0.14,0.31,0.17,0.31,,,,,,Matches
Remo Freuler,Bologna,2017-2018,25,Atalanta,it ITA,1. Serie A,7th,35,33,3006,33.4,5,2,7,5,0,0,4,1,4.6,4.6,3.8,8.4,78,271,75,0.15,0.06,0.21,0.15,0.21,0.14,0.11,0.25,0.14,0.25,Matches
Remo Freuler,Bologna,2018-2019,26,Atalanta,it ITA,1. Serie A,3rd,35,35,3022,33.6,2,6,8,2,0,0,4,0,3.2,3.2,3.9,7.2,100,276,77,0.06,0.18,0.24,0.06,0.24,0.10,0.12,0.21,0.10,0.21,Matches
Remo Freuler,Bologna,2019-2020,27,Atalanta,it ITA,1. Serie A,3rd,31,28,2337,26.0,2,2,4,2,0,0,3,0,1.6,1.6,2.5,4.2,54,172,60,0.08,0.08,0.15,0.08,0.15,0.06,0.10,0.16,0.06,0.16,Matches
Remo Freuler,Bologna,2020-2021,28,Atalanta,it ITA,1. Serie A,3rd,34,32,2712,30.1,2,3,5,2,0,0,5,0,1.9,1.9,3.3,5.2,73,242,67,0.07,0.10,0.17,0.07,0.17,0.06,0.11,0.17,0.06,0.17,Matches
Remo Freuler,Bologna,2021-2022,29,Atalanta,it ITA,1. Serie A,8th,29,28,2369,26.3,1,3,4,1,0,0,10,0,1.4,1.4,1.3,2.8,52,208,59,0.04,0.11,0.15,0.04,0.15,0.05,0.05,0.10,0.05,0.10,Matches
Remo Freuler,Bologna,2022-2023,30,Nott'ham Forest,eng ENG,1. Premier League,16th,28,24,2161,24.0,0,0,0,0,0,0,4,0,0.4,0.4,0.8,1.2,7,54,11,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Remo Freuler,Bologna,2023-2024,31,Nott'ham Forest,eng ENG,1. Premier League,17th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Remo Freuler,Bologna,2023-2024,31,Bologna,it ITA,1. Serie A,5th,32,30,2624,29.2,1,1,2,1,0,0,9,0,1.2,1.2,1.1,2.3,37,165,48,0.03,0.03,0.07,0.03,0.07,0.04,0.04,0.08,0.04,0.08,Matches
Remo Freuler,Bologna,2024-2025,32,Bologna,it ITA,1. Serie A,9th,37,37,3204,35.6,1,2,3,1,0,0,6,0,1.3,1.3,1.5,2.7,39,208,56,0.03,0.06,0.08,0.03,0.08,0.04,0.04,0.08,0.04,0.08,Matches
