Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Stefan Posch,Bologna,2016-2017,19,Hoffenheim,de GER,1. Bundesliga,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Stefan Posch,Bologna,2017-2018,20,Hoffenheim,de GER,1. Bundesliga,3rd,9,9,756,8.4,0,0,0,0,0,0,3,0,0.2,0.2,0.0,0.2,10,25,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches
Stefan Posch,Bologna,2018-2019,21,Hoffenheim,de GER,1. Bundesliga,9th,17,16,1402,15.6,0,0,0,0,0,0,5,0,0.3,0.3,0.4,0.8,17,94,2,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches
Stefan Posch,Bologna,2019-2020,22,Hoffenheim,de GER,1. Bundesliga,6th,28,27,2308,25.6,0,0,0,0,0,0,9,0,2.1,2.1,1.7,3.8,28,94,17,0.00,0.00,0.00,0.00,0.00,0.08,0.07,0.15,0.08,0.15,Matches
Stefan Posch,Bologna,2020-2021,23,Hoffenheim,de GER,1. Bundesliga,11th,26,25,2119,23.5,0,0,0,0,0,0,11,1,0.7,0.7,0.7,1.4,35,133,26,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
Stefan Posch,Bologna,2021-2022,24,Hoffenheim,de GER,1. Bundesliga,9th,28,26,2199,24.4,2,0,2,2,0,0,5,0,1.1,1.1,0.7,1.7,27,104,15,0.08,0.00,0.08,0.08,0.08,0.04,0.03,0.07,0.04,0.07,Matches
Stefan Posch,Bologna,2022-2023,25,Hoffenheim,de GER,1. Bundesliga,12th,1,1,18,0.2,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Stefan Posch,Bologna,2022-2023,25,Bologna,it ITA,1. Serie A,9th,30,30,2532,28.1,6,2,8,6,0,0,6,0,3.3,3.3,2.0,5.3,45,148,65,0.21,0.07,0.28,0.21,0.28,0.12,0.07,0.19,0.12,0.19,Matches
Stefan Posch,Bologna,2023-2024,26,Bologna,it ITA,1. Serie A,5th,31,29,2409,26.8,1,2,3,1,0,0,7,0,1.2,1.2,2.1,3.3,44,123,64,0.04,0.07,0.11,0.04,0.11,0.04,0.08,0.12,0.04,0.12,Matches
Stefan Posch,Bologna,2024-2025,27,Atalanta,it ITA,1. Serie A,3rd,5,4,387,4.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,5,23,5,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05,Matches
Stefan Posch,Bologna,2024-2025,27,Bologna,it ITA,1. Serie A,9th,14,7,714,7.9,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,11,36,35,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.13,0.04,0.13,Matches
Stefan Posch,Bologna,2025-2026,28,Bologna,it ITA,1. Serie A,16th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Stefan Posch,Bologna,10 Seasons,10 Seasons,3 Clubs,,2 Leagues,,189,174,14844,164.9,9,4,13,9,0,0,49,2,9.3,9.3,8.4,17.7,222,780,232,0.05,0.02,0.08,0.05,0.08,0.06,0.05,0.11,0.06,0.11,
