Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Tommaso Pobega,Bologna,2019-2020,20,Pordenone,it ITA,2. Serie B,4th,31,29,2329,25.9,5,3,8,5,0,0,8,0,5.3,5.3,2.2,7.5,48,95,86,0.19,0.12,0.31,0.19,0.31,0.20,0.09,0.29,0.20,0.29,Matches
Tommaso Pobega,Bologna,2020-2021,21,Spezia,it ITA,1. Serie A,15th,20,17,1229,13.7,6,0,6,6,0,0,6,0,3.2,3.2,0.3,3.5,12,38,40,0.44,0.00,0.44,0.44,0.44,0.23,0.02,0.25,0.23,0.25,Matches
Tommaso Pobega,Bologna,2021-2022,22,Torino,it ITA,1. Serie A,10th,33,24,2240,24.9,4,2,6,4,0,0,11,0,3.2,3.2,2.0,5.2,33,128,62,0.16,0.08,0.24,0.16,0.24,0.13,0.08,0.21,0.13,0.21,Matches
Tommaso Pobega,Bologna,2021-2022,22,Milan,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Tommaso Pobega,Bologna,2022-2023,23,Milan,it ITA,1. Serie A,4th,19,9,883,9.8,2,0,2,2,0,0,4,0,1.4,1.4,0.3,1.7,8,36,22,0.20,0.00,0.20,0.20,0.20,0.15,0.03,0.17,0.15,0.17,Matches
Tommaso Pobega,Bologna,2023-2024,24,Milan,it ITA,1. Serie A,2nd,11,3,319,3.5,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.4,6,11,10,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.12,0.06,0.12,Matches
Tommaso Pobega,Bologna,2024-2025,25,Bologna,it ITA,1. Serie A,9th,21,13,1178,13.1,2,2,4,2,0,0,6,2,2.1,2.0,1.4,3.4,12,42,23,0.15,0.15,0.31,0.15,0.31,0.16,0.11,0.27,0.15,0.26,Matches
Tommaso Pobega,Bologna,2025-2026,26,Bologna,it ITA,1. Serie A,16th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
Tommaso Pobega,Bologna,7 Seasons,7 Seasons,5 Clubs,,2 Leagues,,136,96,8268,91.9,19,7,26,19,0,0,35,2,15.5,15.3,6.4,21.8,119,350,244,0.21,0.08,0.28,0.21,0.28,0.17,0.07,0.24,0.17,0.24,
