Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Torbjørn Heggem,Bologna,2018,19,Rosenborg,no NOR,1. Eliteserien,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Torbjørn Heggem,Bologna,2019,20,Ranheim,no NOR,1. Eliteserien,16th,18,14,1184,13.2,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Torbjørn Heggem,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torbjørn Heggem,Bologna,2023,24,Brommapojkarna,se SWE,1. Allsvenskan,14th,28,24,2233,24.8,1,1,2,1,0,0,2,0,,,,,,,,0.04,0.04,0.08,0.04,0.08,,,,,,Matches
Torbjørn Heggem,Bologna,2024,25,Brommapojkarna,se SWE,1. Allsvenskan,10th,12,12,1080,12.0,1,0,1,1,0,0,0,0,,,,,,,,0.08,0.00,0.08,0.08,0.08,,,,,,Matches
Torbjørn Heggem,Bologna,2024-2025,25,West Brom,eng ENG,2. Championship,9th,45,45,4010,44.6,1,2,3,1,0,0,3,0,2.0,2.0,1.5,3.6,26,98,46,0.02,0.04,0.07,0.02,0.07,0.05,0.03,0.08,0.05,0.08,Matches
Torbjørn Heggem,Bologna,2025-2026,26,West Brom,eng ENG,2. Championship,4th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Torbjørn Heggem,Bologna,2025-2026,26,Bologna,it ITA,1. Serie A,16th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Torbjørn Heggem,Bologna,5 Seasons,5 Seasons,5 Clubs,,4 Leagues,,104,96,8597,95.5,3,3,6,3,0,0,8,0,2.0,2.0,1.5,3.6,26,98,46,0.03,0.03,0.06,0.03,0.06,0.04,0.03,0.08,0.04,0.08,
Torbjørn Heggem,Bologna,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Torbjørn Heggem,Bologna,West Brom (2 Seasons),West Brom (2 Seasons),West Brom (2 Seasons),,1 League,,46,46,4100,45.6,1,2,3,1,0,0,3,0,2.0,2.0,1.5,3.6,26,98,46,0.02,0.04,0.07,0.02,0.07,0.04,0.03,0.08,0.04,0.08,
Torbjørn Heggem,Bologna,Brommapojkarna (2 Seasons),Brommapojkarna (2 Seasons),Brommapojkarna (2 Seasons),,1 League,,40,36,3313,36.8,2,1,3,2,0,0,2,0,,,,,,,,0.05,0.03,0.08,0.05,0.08,,,,,,
Torbjørn Heggem,Bologna,Ranheim (1 Season),Ranheim (1 Season),Ranheim (1 Season),,1 League,,18,14,1184,13.2,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Torbjørn Heggem,Bologna,Bologna (1 Season),Bologna (1 Season),Bologna (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torbjørn Heggem,Bologna,Rosenborg (1 Season),Rosenborg (1 Season),Rosenborg (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torbjørn Heggem,Bologna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torbjørn Heggem,Bologna,Championship (2 Seasons),Championship (2 Seasons),Championship (2 Seasons),,,,46,46,4100,45.6,1,2,3,1,0,0,3,0,2.0,2.0,1.5,3.6,26,98,46,0.02,0.04,0.07,0.02,0.07,0.04,0.03,0.08,0.04,0.08,
Torbjørn Heggem,Bologna,Allsvenskan (2 Seasons),Allsvenskan (2 Seasons),Allsvenskan (2 Seasons),,,,40,36,3313,36.8,2,1,3,2,0,0,2,0,,,,,,,,0.05,0.03,0.08,0.05,0.08,,,,,,
Torbjørn Heggem,Bologna,Eliteserien (2 Seasons),Eliteserien (2 Seasons),Eliteserien (2 Seasons),,,,18,14,1184,13.2,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Torbjørn Heggem,Bologna,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
