Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessandro Di Pardo,Cagliari,2020-2021,21,Juventus,it ITA,1. Serie A,4th,4,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,Matches
Alessandro Di Pardo,Cagliari,2021-2022,22,Vicenza Virtus,it ITA,2. Serie B,17th,15,13,1115,12.4,1,0,1,1,0,0,4,1,0.6,0.6,0.9,1.5,35,44,66,0.08,0.00,0.08,0.08,0.08,0.04,0.08,0.12,0.04,0.12,Matches
Alessandro Di Pardo,Cagliari,2021-2022,22,Cosenza,it ITA,2. Serie B,16th,13,7,759,8.4,0,0,0,0,0,0,3,0,0.3,0.3,0.8,1.1,25,24,43,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,Matches
Alessandro Di Pardo,Cagliari,2022-2023,23,Cagliari,it ITA,2. Serie B,5th,16,12,986,11.0,0,0,0,0,0,0,1,1,0.2,0.2,0.8,1.0,30,77,38,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,Matches
Alessandro Di Pardo,Cagliari,2023-2024,24,Cagliari,it ITA,1. Serie A,16th,15,2,359,4.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,11,19,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.07,0.02,0.07,Matches
Alessandro Di Pardo,Cagliari,2024-2025,25,Modena,it ITA,2. Serie B,11th,26,18,1435,15.9,2,2,4,2,0,0,2,1,2.0,2.0,1.3,3.3,38,46,82,0.13,0.13,0.25,0.13,0.25,0.13,0.08,0.21,0.13,0.21,Matches
Alessandro Di Pardo,Cagliari,2024-2025,25,Cagliari,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Di Pardo,Cagliari,2025-2026,26,Cagliari,it ITA,1. Serie A,10th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Alessandro Di Pardo,Cagliari,6 Seasons,6 Seasons,5 Clubs,,2 Leagues,,89,52,4668,51.9,3,2,5,3,0,0,10,3,3.1,3.1,4.1,7.3,134,202,248,0.06,0.04,0.10,0.06,0.10,0.06,0.08,0.14,0.06,0.14,
Alessandro Di Pardo,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessandro Di Pardo,Cagliari,Cagliari (4 Seasons),Cagliari (4 Seasons),Cagliari (4 Seasons),,2 Leagues,,31,14,1345,14.9,0,0,0,0,0,0,1,1,0.3,0.3,1.0,1.3,36,88,57,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,
Alessandro Di Pardo,Cagliari,Modena (1 Season),Modena (1 Season),Modena (1 Season),,1 League,,26,18,1435,15.9,2,2,4,2,0,0,2,1,2.0,2.0,1.3,3.3,38,46,82,0.13,0.13,0.25,0.13,0.25,0.13,0.08,0.21,0.13,0.21,
Alessandro Di Pardo,Cagliari,Vicenza Virtus (1 Season),Vicenza Virtus (1 Season),Vicenza Virtus (1 Season),,1 League,,15,13,1115,12.4,1,0,1,1,0,0,4,1,0.6,0.6,0.9,1.5,35,44,66,0.08,0.00,0.08,0.08,0.08,0.04,0.08,0.12,0.04,0.12,
Alessandro Di Pardo,Cagliari,Cosenza (1 Season),Cosenza (1 Season),Cosenza (1 Season),,1 League,,13,7,759,8.4,0,0,0,0,0,0,3,0,0.3,0.3,0.8,1.1,25,24,43,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13,
Alessandro Di Pardo,Cagliari,Juventus (1 Season),Juventus (1 Season),Juventus (1 Season),,1 League,,4,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.00,0.17,
Alessandro Di Pardo,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
