Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Elia Caprile,Cagliari,2018-2019,16,Chievo,it ITA,1. Serie A,20th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Elia Caprile,Cagliari,2019-2020,17,Chievo,it ITA,2. Serie B,6th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Elia Caprile,Cagliari,2019-2020,17,Leeds United,eng ENG,2. Championship,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Elia Caprile,Cagliari,2020-2021,18,Leeds United,eng ENG,1. Premier League,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Elia Caprile,Cagliari,2020-2021,18,Leeds United,eng ENG,Jr. PL2 — Div. 2,1st,18,18,1620,18.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Elia Caprile,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elia Caprile,Cagliari,2022-2023,20,Bari,it ITA,2. Serie B,3rd,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Elia Caprile,Cagliari,2023-2024,21,Empoli,it ITA,1. Serie A,17th,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Elia Caprile,Cagliari,2024-2025,22,Napoli,it ITA,1. Serie A,1st,4,3,325,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Elia Caprile,Cagliari,2024-2025,22,Cagliari,it ITA,1. Serie A,15th,18,18,1620,18.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Elia Caprile,Cagliari,2025-2026,23,Cagliari,it ITA,1. Serie A,10th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Elia Caprile,Cagliari,7 Seasons,7 Seasons,6 Clubs,,4 Leagues,,83,82,7435,82.6,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Elia Caprile,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Elia Caprile,Cagliari,Cagliari (2 Seasons),Cagliari (2 Seasons),Cagliari (2 Seasons),,1 League,,19,19,1710,19.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Elia Caprile,Cagliari,Leeds United (2 Seasons),Leeds United (2 Seasons),Leeds United (2 Seasons),,2 Leagues,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elia Caprile,Cagliari,Chievo (2 Seasons),Chievo (2 Seasons),Chievo (2 Seasons),,2 Leagues,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elia Caprile,Cagliari,Bari (1 Season),Bari (1 Season),Bari (1 Season),,1 League,,37,37,3330,37.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
