Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michael Folorunsho,Cagliari,2020-2021,22,US Reggina,it ITA,2. Serie B,11th,30,20,2067,23.0,6,1,7,6,0,0,7,1,4.2,4.2,2.6,6.8,43,63,102,0.26,0.04,0.30,0.26,0.30,0.18,0.11,0.30,0.18,0.30,Matches
Michael Folorunsho,Cagliari,2021-2022,23,US Reggina,it ITA,2. Serie B,14th,15,15,1297,14.4,2,0,2,1,1,1,6,0,2.9,2.1,0.7,2.8,32,30,58,0.14,0.00,0.14,0.07,0.07,0.20,0.05,0.25,0.14,0.20,Matches
Michael Folorunsho,Cagliari,2021-2022,23,Pordenone,it ITA,2. Serie B,20th,16,14,1254,13.9,2,2,4,2,0,0,4,0,2.7,2.7,1.6,4.3,29,34,85,0.14,0.14,0.29,0.14,0.29,0.19,0.11,0.31,0.19,0.31,Matches
Michael Folorunsho,Cagliari,2022-2023,24,Bari,it ITA,2. Serie B,3rd,27,25,1995,22.2,8,1,9,8,0,0,8,0,4.0,4.0,2.8,6.8,53,79,115,0.36,0.05,0.41,0.36,0.41,0.18,0.13,0.31,0.18,0.31,Matches
Michael Folorunsho,Cagliari,2023-2024,25,Hellas Verona,it ITA,1. Serie A,13th,34,33,2781,30.9,5,1,6,5,0,0,5,0,4.0,3.9,1.4,5.3,56,54,110,0.16,0.03,0.19,0.16,0.19,0.13,0.04,0.17,0.13,0.17,Matches
Michael Folorunsho,Cagliari,2024-2025,26,Fiorentina,it ITA,1. Serie A,6th,14,6,650,7.2,0,0,0,0,0,0,5,0,1.1,1.1,0.6,1.7,13,21,33,0.00,0.00,0.00,0.00,0.00,0.15,0.08,0.23,0.15,0.23,Matches
Michael Folorunsho,Cagliari,2024-2025,26,Napoli,it ITA,1. Serie A,1st,6,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.27,0.27,0.27,Matches
Michael Folorunsho,Cagliari,2025-2026,27,Cagliari,it ITA,1. Serie A,10th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,9,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Michael Folorunsho,Cagliari,6 Seasons,6 Seasons,7 Clubs,,2 Leagues,,143,114,10169,113.0,23,5,28,22,1,1,35,1,19.0,18.2,9.7,27.9,229,281,514,0.20,0.04,0.25,0.19,0.24,0.17,0.09,0.25,0.16,0.25,
