Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michel Ndary Adopo,Cagliari,2017-2018,17,Torino,it ITA,1. Serie A,9th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michel Ndary Adopo,Cagliari,2018-2019,18,Torino,it ITA,1. Serie A,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Michel Ndary Adopo,Cagliari,2019-2020,19,Torino,it ITA,1. Serie A,16th,2,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Michel Ndary Adopo,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michel Ndary Adopo,Cagliari,2022-2023,22,Torino,it ITA,1. Serie A,10th,9,3,264,2.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,10,4,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
Michel Ndary Adopo,Cagliari,2023-2024,23,Atalanta,it ITA,1. Serie A,4th,10,0,109,1.2,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.1,3,9,16,0.00,0.83,0.83,0.00,0.83,0.06,0.06,0.11,0.06,0.11,Matches
Michel Ndary Adopo,Cagliari,2024-2025,24,Cagliari,it ITA,1. Serie A,15th,35,27,2409,26.8,1,1,2,1,0,0,5,1,1.1,1.1,2.3,3.4,20,106,61,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.13,0.04,0.13,Matches
Michel Ndary Adopo,Cagliari,2025-2026,25,Cagliari,it ITA,1. Serie A,10th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,2,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.22,0.00,0.22,Matches
Michel Ndary Adopo,Cagliari,7 Seasons,7 Seasons,3 Clubs,,1 League,,57,31,2876,32.0,1,2,3,1,0,0,6,1,1.3,1.3,2.6,3.9,27,128,85,0.03,0.06,0.09,0.03,0.09,0.04,0.08,0.12,0.04,0.12,
Michel Ndary Adopo,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michel Ndary Adopo,Cagliari,Torino (4 Seasons),Torino (4 Seasons),Torino (4 Seasons),,1 League,,11,3,268,3.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,10,5,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,
Michel Ndary Adopo,Cagliari,Cagliari (2 Seasons),Cagliari (2 Seasons),Cagliari (2 Seasons),,1 League,,36,28,2499,27.8,1,1,2,1,0,0,5,1,1.1,1.1,2.5,3.6,22,109,64,0.04,0.04,0.07,0.04,0.07,0.04,0.09,0.13,0.04,0.13,
Michel Ndary Adopo,Cagliari,Atalanta (1 Season),Atalanta (1 Season),Atalanta (1 Season),,1 League,,10,0,109,1.2,0,1,1,0,0,0,0,0,0.1,0.1,0.1,0.1,3,9,16,0.00,0.83,0.83,0.00,0.83,0.06,0.06,0.11,0.06,0.11,
