Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Riyad Idrissi,Cagliari,2024-2025,19,Modena,it ITA,2. Serie B,11th,28,13,1288,14.3,1,0,1,1,0,0,4,0,0.8,0.8,0.8,1.7,22,30,79,0.07,0.00,0.07,0.07,0.07,0.06,0.06,0.12,0.06,0.12,Matches
Riyad Idrissi,Cagliari,2025-2026,20,Cagliari,it ITA,1. Serie A,10th,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Riyad Idrissi,Cagliari,2 Seasons,2 Seasons,2 Clubs,,2 Leagues,,29,13,1304,14.5,1,0,1,1,0,0,4,0,0.8,0.8,0.8,1.7,23,30,79,0.07,0.00,0.07,0.07,0.07,0.06,0.06,0.12,0.06,0.12,
Riyad Idrissi,Cagliari,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Riyad Idrissi,Cagliari,Modena (1 Season),Modena (1 Season),Modena (1 Season),,1 League,,28,13,1288,14.3,1,0,1,1,0,0,4,0,0.8,0.8,0.8,1.7,22,30,79,0.07,0.00,0.07,0.07,0.07,0.06,0.06,0.12,0.06,0.12,
Riyad Idrissi,Cagliari,Cagliari (1 Season),Cagliari (1 Season),Cagliari (1 Season),,1 League,,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Riyad Idrissi,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riyad Idrissi,Cagliari,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,28,13,1288,14.3,1,0,1,1,0,0,4,0,0.8,0.8,0.8,1.7,22,30,79,0.07,0.00,0.07,0.07,0.07,0.06,0.06,0.12,0.06,0.12,
Riyad Idrissi,Cagliari,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
