Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Yerry Mina,Cagliari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yerry Mina,Cagliari,2015,20,Santa Fe,co COL,1. Primera A,7th,23,22,1986,22.1,2,0,2,2,0,0,4,0,,,,,,,,0.09,0.00,0.09,0.09,0.09,,,,,,Matches
Yerry Mina,Cagliari,2016,21,Santa Fe,co COL,1. Primera A,1st,10,10,900,10.0,2,0,2,2,0,0,3,0,,,,,,,,0.20,0.00,0.20,0.20,0.20,,,,,,Matches
Yerry Mina,Cagliari,2016,21,Palmeiras,br BRA,1. Série A,1st,13,13,984,10.9,4,1,5,4,0,0,4,0,,,,,,,,0.37,0.09,0.46,0.37,0.46,,,,,,Matches
Yerry Mina,Cagliari,2017,22,Palmeiras,br BRA,1. Série A,2nd,15,15,1323,14.7,2,1,3,2,0,0,4,0,,,,,,,,0.14,0.07,0.20,0.14,0.20,,,,,,Matches
Yerry Mina,Cagliari,2017-2018,22,Barcelona,es ESP,1. La Liga,1st,5,4,371,4.1,0,1,1,0,0,0,2,0,0.3,0.3,0.2,0.5,8,12,0,0.00,0.24,0.24,0.00,0.24,0.07,0.05,0.12,0.07,0.12,Matches
Yerry Mina,Cagliari,2018-2019,23,Everton,eng ENG,1. Premier League,8th,13,10,892,9.9,1,0,1,1,0,0,3,0,0.3,0.3,0.1,0.4,7,39,3,0.10,0.00,0.10,0.10,0.10,0.03,0.01,0.05,0.03,0.05,Matches
Yerry Mina,Cagliari,2019-2020,24,Everton,eng ENG,1. Premier League,12th,29,25,2284,25.4,2,1,3,2,0,0,3,0,3.4,3.4,1.4,4.8,11,83,4,0.08,0.04,0.12,0.08,0.12,0.13,0.05,0.19,0.13,0.19,Matches
Yerry Mina,Cagliari,2020-2021,25,Everton,eng ENG,1. Premier League,10th,24,23,1937,21.5,2,0,2,2,0,0,2,0,1.6,1.6,0.0,1.6,9,48,2,0.09,0.00,0.09,0.09,0.09,0.07,0.00,0.08,0.07,0.08,Matches
Yerry Mina,Cagliari,2021-2022,26,Everton,eng ENG,1. Premier League,16th,13,11,846,9.4,0,0,0,0,0,0,3,0,0.3,0.3,0.0,0.3,1,20,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches
Yerry Mina,Cagliari,2022-2023,27,Everton,eng ENG,1. Premier League,17th,7,7,594,6.6,2,0,2,2,0,0,2,0,1.5,1.5,0.1,1.6,1,13,3,0.30,0.00,0.30,0.30,0.30,0.22,0.02,0.24,0.22,0.24,Matches
Yerry Mina,Cagliari,2023-2024,28,Fiorentina,it ITA,1. Serie A,8th,4,0,44,0.5,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,2,1,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Matches
Yerry Mina,Cagliari,2023-2024,28,Cagliari,it ITA,1. Serie A,16th,14,14,1215,13.5,2,0,2,1,1,1,4,0,1.3,0.5,0.0,0.5,4,23,3,0.15,0.00,0.15,0.07,0.07,0.10,0.00,0.10,0.04,0.04,Matches
Yerry Mina,Cagliari,2024-2025,29,Cagliari,it ITA,1. Serie A,15th,31,31,2569,28.5,1,0,1,1,0,0,6,1,2.3,2.3,0.3,2.6,17,76,9,0.04,0.00,0.04,0.04,0.04,0.08,0.01,0.09,0.08,0.09,Matches
Yerry Mina,Cagliari,2025-2026,30,Cagliari,it ITA,1. Serie A,10th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,4,5,0,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
Yerry Mina,Cagliari,11 Seasons,11 Seasons,6 Clubs,,5 Leagues,,202,186,16035,178.2,20,4,24,19,1,1,41,1,11.0,10.2,2.3,12.5,62,321,27,0.11,0.02,0.13,0.11,0.13,0.09,0.02,0.11,0.08,0.10,
