Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Bonazzoli,Cremonese,2013-2014,16,Inter,it ITA,1. Serie A,5th,1,0,6,0.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Federico Bonazzoli,Cremonese,2014-2015,17,Inter,it ITA,1. Serie A,8th,4,0,48,0.5,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Federico Bonazzoli,Cremonese,2015-2016,18,Virtus Lanciano,it ITA,2. Serie B,19th,14,1,325,3.6,1,0,1,1,0,0,0,0,,,,,,,,0.28,0.00,0.28,0.28,0.28,,,,,,Matches
Federico Bonazzoli,Cremonese,2015-2016,18,Sampdoria,it ITA,1. Serie A,15th,4,0,73,0.8,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Federico Bonazzoli,Cremonese,2016-2017,19,Brescia,it ITA,2. Serie B,15th,25,15,1359,15.1,2,3,5,2,0,0,1,1,,,,,,,,0.13,0.20,0.33,0.13,0.33,,,,,,Matches
Federico Bonazzoli,Cremonese,2017-2018,20,SPAL,it ITA,1. Serie A,17th,11,2,176,2.0,0,0,0,0,0,0,0,0,0.6,0.6,0.1,0.8,4,2,15,0.00,0.00,0.00,0.00,0.00,0.33,0.06,0.40,0.33,0.40,Matches
Federico Bonazzoli,Cremonese,2017-2018,20,Sampdoria,it ITA,1. Serie A,10th,1,0,28,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.19,0.19,0.19,Matches
Federico Bonazzoli,Cremonese,2018-2019,21,Padova,it ITA,2. Serie B,18th,35,32,2765,30.7,8,2,10,6,2,2,5,0,9.6,8.1,3.7,11.8,83,68,207,0.26,0.07,0.33,0.20,0.26,0.31,0.12,0.44,0.26,0.38,Matches
Federico Bonazzoli,Cremonese,2019-2020,22,Sampdoria,it ITA,1. Serie A,15th,19,7,744,8.3,6,0,6,6,0,0,1,0,3.6,3.6,0.7,4.2,24,19,53,0.73,0.00,0.73,0.73,0.73,0.43,0.08,0.51,0.43,0.51,Matches
Federico Bonazzoli,Cremonese,2020-2021,23,Sampdoria,it ITA,1. Serie A,9th,2,2,131,1.5,0,1,1,0,0,0,0,0,0.2,0.2,0.5,0.8,5,3,7,0.00,0.69,0.69,0.00,0.69,0.14,0.37,0.52,0.14,0.52,Matches
Federico Bonazzoli,Cremonese,2020-2021,23,Torino,it ITA,1. Serie A,17th,20,4,564,6.3,2,2,4,2,0,0,2,0,1.3,1.3,0.7,2.1,7,15,36,0.32,0.32,0.64,0.32,0.64,0.21,0.12,0.33,0.21,0.33,Matches
Federico Bonazzoli,Cremonese,2021-2022,24,Salernitana,it ITA,1. Serie A,17th,32,19,1866,20.7,10,0,10,8,2,2,6,0,7.5,5.9,1.1,7.0,25,46,85,0.48,0.00,0.48,0.39,0.39,0.36,0.05,0.41,0.28,0.34,Matches
Federico Bonazzoli,Cremonese,2022-2023,25,Salernitana,it ITA,1. Serie A,15th,24,12,1119,12.4,2,1,3,2,0,0,1,0,2.4,2.4,1.1,3.5,11,43,67,0.16,0.08,0.24,0.16,0.24,0.19,0.09,0.28,0.19,0.28,Matches
Federico Bonazzoli,Cremonese,2023-2024,26,Hellas Verona,it ITA,1. Serie A,13th,24,10,1016,11.3,3,1,4,3,0,0,2,0,2.9,2.9,1.1,4.0,13,26,73,0.27,0.09,0.35,0.27,0.35,0.25,0.10,0.35,0.25,0.35,Matches
Federico Bonazzoli,Cremonese,2024-2025,27,Cremonese,it ITA,2. Serie B,4th,26,18,1316,14.6,6,1,7,6,0,0,2,0,5.9,5.9,1.3,7.3,11,44,81,0.41,0.07,0.48,0.41,0.48,0.41,0.09,0.50,0.41,0.50,Matches
Federico Bonazzoli,Cremonese,2025-2026,28,Cremonese,it ITA,1. Serie A,5th,1,1,83,0.9,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,3,4,1.08,0.00,1.08,1.08,1.08,0.14,0.00,0.14,0.14,0.14,Matches
Federico Bonazzoli,Cremonese,13 Seasons,13 Seasons,10 Clubs,,2 Leagues,,243,123,11619,129.1,41,11,52,37,4,4,21,1,34.1,31.0,10.5,41.5,184,269,630,0.32,0.09,0.40,0.29,0.37,0.31,0.10,0.41,0.28,0.38,
Federico Bonazzoli,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
