Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Leonardo Sernicola,Cremonese,2015-2016,18,Ternana,it ITA,2. Serie B,12th,3,2,209,2.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Leonardo Sernicola,Cremonese,2016-2017,19,Ternana,it ITA,2. Serie B,18th,6,0,141,1.6,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Leonardo Sernicola,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonardo Sernicola,Cremonese,2018-2019,21,Sassuolo,it ITA,1. Serie A,11th,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Leonardo Sernicola,Cremonese,2019-2020,22,Ascoli,it ITA,2. Serie B,14th,14,13,1159,12.9,0,1,1,0,0,0,5,0,0.5,0.5,1.2,1.7,18,33,44,0.00,0.08,0.08,0.00,0.08,0.04,0.09,0.14,0.04,0.14,Matches
Leonardo Sernicola,Cremonese,2019-2020,22,Virtus Entella,it ITA,2. Serie B,13th,5,2,237,2.6,1,0,1,1,0,0,0,0,0.4,0.4,0.4,0.8,2,12,7,0.38,0.00,0.38,0.38,0.38,0.16,0.16,0.32,0.16,0.32,Matches
Leonardo Sernicola,Cremonese,2020-2021,23,SPAL,it ITA,2. Serie B,9th,29,21,1923,21.4,0,1,1,0,0,0,7,0,1.2,1.2,1.0,2.2,33,95,104,0.00,0.05,0.05,0.00,0.05,0.06,0.05,0.10,0.06,0.10,Matches
Leonardo Sernicola,Cremonese,2021-2022,24,Cremonese,it ITA,2. Serie B,2nd,33,31,2803,31.1,0,1,1,0,0,0,8,0,0.6,0.6,1.1,1.7,51,108,67,0.00,0.03,0.03,0.00,0.03,0.02,0.04,0.06,0.02,0.06,Matches
Leonardo Sernicola,Cremonese,2022-2023,25,Cremonese,it ITA,1. Serie A,19th,32,27,2317,25.7,2,2,4,2,0,0,11,0,1.3,1.3,2.3,3.7,60,62,95,0.08,0.08,0.16,0.08,0.16,0.05,0.09,0.14,0.05,0.14,Matches
