Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michele Collocolo,Cremonese,2021-2022,21,Ascoli,it ITA,2. Serie B,6th,33,22,1991,22.1,3,3,6,3,0,0,7,0,2.6,2.6,1.6,4.2,49,74,56,0.14,0.14,0.27,0.14,0.27,0.12,0.07,0.19,0.12,0.19,Matches
Michele Collocolo,Cremonese,2022-2023,22,Ascoli,it ITA,2. Serie B,12th,36,36,3084,34.3,4,6,10,4,0,0,4,1,3.6,3.6,4.0,7.6,82,111,141,0.12,0.18,0.29,0.12,0.29,0.10,0.12,0.22,0.10,0.22,Matches
Michele Collocolo,Cremonese,2023-2024,23,Cremonese,it ITA,2. Serie B,4th,27,20,1709,19.0,4,0,4,4,0,0,6,0,2.4,2.4,1.9,4.3,58,77,98,0.21,0.00,0.21,0.21,0.21,0.13,0.10,0.23,0.13,0.23,Matches
Michele Collocolo,Cremonese,2024-2025,24,Cremonese,it ITA,2. Serie B,4th,30,26,2279,25.3,7,2,9,7,0,0,7,0,3.1,3.1,2.8,5.9,78,107,157,0.28,0.08,0.36,0.28,0.36,0.12,0.11,0.23,0.12,0.23,Matches
Michele Collocolo,Cremonese,2025-2026,25,Cremonese,it ITA,1. Serie A,5th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
Michele Collocolo,Cremonese,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,127,105,9153,101.7,18,11,29,18,0,0,24,1,11.7,11.7,10.3,22.0,268,371,457,0.18,0.11,0.29,0.18,0.29,0.11,0.10,0.22,0.11,0.22,
Michele Collocolo,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Michele Collocolo,Cremonese,Cremonese (3 Seasons),Cremonese (3 Seasons),Cremonese (3 Seasons),,2 Leagues,,58,47,4078,45.3,11,2,13,11,0,0,13,0,5.5,5.5,4.7,10.2,137,186,260,0.24,0.04,0.29,0.24,0.29,0.12,0.10,0.23,0.12,0.23,
Michele Collocolo,Cremonese,Ascoli (2 Seasons),Ascoli (2 Seasons),Ascoli (2 Seasons),,1 League,,69,58,5075,56.4,7,9,16,7,0,0,11,1,6.2,6.2,5.6,11.8,131,185,197,0.12,0.16,0.28,0.12,0.28,0.11,0.10,0.21,0.11,0.21,
Michele Collocolo,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michele Collocolo,Cremonese,Serie B (4 Seasons),Serie B (4 Seasons),Serie B (4 Seasons),,,,126,104,9063,100.7,18,11,29,18,0,0,24,1,11.7,11.7,10.3,22.0,267,369,452,0.18,0.11,0.29,0.18,0.29,0.12,0.10,0.22,0.12,0.22,
Michele Collocolo,Cremonese,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,
