Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Romano Floriani,Cremonese,2021-2022,18,Lazio,it ITA,1. Serie A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Romano Floriani,Cremonese,2022-2023,19,Lazio,it ITA,1. Serie A,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Romano Floriani,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romano Floriani,Cremonese,2024-2025,21,Juve Stabia,it ITA,2. Serie B,5th,33,33,2718,30.2,1,2,3,1,0,0,6,0,0.9,0.9,1.7,2.6,39,47,137,0.03,0.07,0.10,0.03,0.10,0.03,0.06,0.09,0.03,0.09,Matches
Romano Floriani,Cremonese,2025-2026,22,Cremonese,it ITA,1. Serie A,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Romano Floriani,Cremonese,4 Seasons,4 Seasons,3 Clubs,,2 Leagues,,33,33,2718,30.2,1,2,3,1,0,0,6,0,0.9,0.9,1.7,2.6,39,47,137,0.03,0.07,0.10,0.03,0.10,0.03,0.06,0.09,0.03,0.09,
Romano Floriani,Cremonese,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Romano Floriani,Cremonese,Lazio (2 Seasons),Lazio (2 Seasons),Lazio (2 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romano Floriani,Cremonese,Juve Stabia (1 Season),Juve Stabia (1 Season),Juve Stabia (1 Season),,1 League,,33,33,2718,30.2,1,2,3,1,0,0,6,0,0.9,0.9,1.7,2.6,39,47,137,0.03,0.07,0.10,0.03,0.10,0.03,0.06,0.09,0.03,0.09,
Romano Floriani,Cremonese,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romano Floriani,Cremonese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romano Floriani,Cremonese,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romano Floriani,Cremonese,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,33,33,2718,30.2,1,2,3,1,0,0,6,0,0.9,0.9,1.7,2.6,39,47,137,0.03,0.07,0.10,0.03,0.10,0.03,0.06,0.09,0.03,0.09,
