Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dodô,Fiorentina,2016,17,Coritiba,br BRA,1. Série A,15th,26,22,2089,23.2,0,2,2,0,0,0,4,0,,,,,,,,0.00,0.09,0.09,0.00,0.09,,,,,,Matches
Dodô,Fiorentina,2017,18,Coritiba,br BRA,1. Série A,17th,19,15,1413,15.7,0,0,0,0,0,0,5,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Dodô,Fiorentina,2017-2018,18,Shakhtar,ua UKR,1. Premier League,1st,2,1,94,1.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Dodô,Fiorentina,2018-2019,19,Vitória,pt POR,1. Primeira Liga,5th,9,8,755,8.4,1,1,2,1,0,0,2,0,0.5,0.5,1.6,2.1,39,26,51,0.12,0.12,0.24,0.12,0.24,0.06,0.19,0.25,0.06,0.25,Matches
Dodô,Fiorentina,2019-2020,20,Shakhtar,ua UKR,1. Premier League,1st,23,20,1842,20.5,1,1,2,1,0,0,3,0,,,,,,,,0.05,0.05,0.10,0.05,0.10,,,,,,Matches
Dodô,Fiorentina,2020-2021,21,Shakhtar,ua UKR,1. Premier League,2nd,23,23,1986,22.1,2,5,7,2,0,0,4,0,,,,,,,,0.09,0.23,0.32,0.09,0.32,,,,,,Matches
Dodô,Fiorentina,2021-2022,22,Shakhtar,ua UKR,1. Premier League,1st,14,14,1242,13.8,0,4,4,0,0,0,1,1,,,,,,,,0.00,0.29,0.29,0.00,0.29,,,,,,Matches
Dodô,Fiorentina,2022-2023,23,Fiorentina,it ITA,1. Serie A,8th,33,28,2331,25.9,1,3,4,1,0,0,5,1,0.7,0.7,2.2,2.9,72,141,104,0.04,0.12,0.15,0.04,0.15,0.03,0.09,0.11,0.03,0.11,Matches
Dodô,Fiorentina,2023-2024,24,Fiorentina,it ITA,1. Serie A,8th,9,7,523,5.8,0,0,0,0,0,0,0,0,0.1,0.1,0.8,0.9,20,39,21,0.00,0.00,0.00,0.00,0.00,0.01,0.13,0.15,0.01,0.15,Matches
