Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Edin Džeko,Fiorentina,2007-2008,21,Wolfsburg,de GER,1. Bundesliga,5th,28,17,1811,20.1,8,5,13,8,0,0,3,0,,,,,,,,0.40,0.25,0.65,0.40,0.65,,,,,,Matches
Edin Džeko,Fiorentina,2008-2009,22,Wolfsburg,de GER,1. Bundesliga,1st,32,29,2629,29.2,26,6,32,26,0,1,4,0,,,,,,,,0.89,0.21,1.10,0.89,1.10,,,,,,Matches
Edin Džeko,Fiorentina,2009-2010,23,Wolfsburg,de GER,1. Bundesliga,8th,34,33,3002,33.4,22,6,28,20,2,2,4,0,,,,,,,,0.66,0.18,0.84,0.60,0.78,,,,,,Matches
Edin Džeko,Fiorentina,2010-2011,24,Wolfsburg,de GER,1. Bundesliga,15th,17,17,1516,16.8,10,0,10,10,0,1,4,0,,,,,,,,0.59,0.00,0.59,0.59,0.59,,,,,,Matches
Edin Džeko,Fiorentina,2010-2011,24,Manchester City,eng ENG,1. Premier League,3rd,15,8,854,9.5,2,2,4,2,0,0,0,0,,,,,,,,0.21,0.21,0.42,0.21,0.42,,,,,,Matches
Edin Džeko,Fiorentina,2011-2012,25,Manchester City,eng ENG,1. Premier League,1st,30,16,1509,16.8,14,3,17,14,0,0,1,0,,,,,,,,0.83,0.18,1.01,0.83,1.01,,,,,,Matches
Edin Džeko,Fiorentina,2012-2013,26,Manchester City,eng ENG,1. Premier League,2nd,32,16,1822,20.2,14,3,17,14,0,1,4,0,,,,,,,,0.69,0.15,0.84,0.69,0.84,,,,,,Matches
Edin Džeko,Fiorentina,2013-2014,27,Manchester City,eng ENG,1. Premier League,1st,31,23,1986,22.1,16,1,17,16,0,0,4,0,,,,,,,,0.73,0.05,0.77,0.73,0.77,,,,,,Matches
Edin Džeko,Fiorentina,2014-2015,28,Manchester City,eng ENG,1. Premier League,2nd,22,11,932,10.4,4,2,6,4,0,0,1,0,,,,,,,,0.39,0.19,0.58,0.39,0.58,,,,,,Matches
Edin Džeko,Fiorentina,2015-2016,29,Roma,it ITA,1. Serie A,3rd,31,21,1959,21.8,8,6,14,6,2,2,4,1,,,,,,,,0.37,0.28,0.64,0.28,0.55,,,,,,Matches
Edin Džeko,Fiorentina,2016-2017,30,Roma,it ITA,1. Serie A,2nd,37,33,3048,33.9,29,9,38,28,1,3,4,0,,,,,,,,0.86,0.27,1.12,0.83,1.09,,,,,,Matches
Edin Džeko,Fiorentina,2017-2018,31,Roma,it ITA,1. Serie A,3rd,36,33,3018,33.5,16,3,19,16,0,0,6,0,17.4,17.4,3.9,21.2,59,95,289,0.48,0.09,0.57,0.48,0.57,0.52,0.12,0.63,0.52,0.63,Matches
Edin Džeko,Fiorentina,2018-2019,32,Roma,it ITA,1. Serie A,6th,33,28,2579,28.7,9,6,15,9,0,0,9,0,14.5,14.5,4.2,18.6,64,94,246,0.31,0.21,0.52,0.31,0.52,0.50,0.15,0.65,0.50,0.65,Matches
Edin Džeko,Fiorentina,2019-2020,33,Roma,it ITA,1. Serie A,5th,35,31,2854,31.7,16,7,23,16,0,0,4,0,19.0,19.0,5.7,24.7,52,107,254,0.50,0.22,0.73,0.50,0.73,0.60,0.18,0.78,0.60,0.78,Matches
Edin Džeko,Fiorentina,2020-2021,34,Roma,it ITA,1. Serie A,7th,27,20,1824,20.3,7,3,10,7,0,1,2,0,13.2,12.4,2.2,14.6,50,53,174,0.35,0.15,0.49,0.35,0.49,0.65,0.11,0.76,0.61,0.72,Matches
Edin Džeko,Fiorentina,2021-2022,35,Inter,it ITA,1. Serie A,2nd,36,27,2469,27.4,13,6,19,13,0,0,2,0,14.8,14.8,3.9,18.7,47,107,207,0.47,0.22,0.69,0.47,0.69,0.54,0.14,0.68,0.54,0.68,Matches
Edin Džeko,Fiorentina,2022-2023,36,Inter,it ITA,1. Serie A,3rd,33,18,1732,19.2,9,3,12,9,0,0,3,0,9.7,9.7,3.2,13.0,32,67,150,0.47,0.16,0.62,0.47,0.62,0.50,0.17,0.67,0.50,0.67,Matches
Edin Džeko,Fiorentina,2023-2024,37,Fenerbahçe,tr TUR,1. Süper Lig,2nd,36,34,2716,30.2,21,3,24,19,2,3,3,0,,,,,,,,0.70,0.10,0.80,0.63,0.73,,,,,,Matches
Edin Džeko,Fiorentina,2024-2025,38,Fenerbahçe,tr TUR,1. Süper Lig,2nd,35,24,2243,24.9,14,4,18,11,3,4,1,0,,,,,,,,0.56,0.16,0.72,0.44,0.60,,,,,,Matches
Edin Džeko,Fiorentina,2025-2026,39,Fiorentina,it ITA,1. Serie A,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Edin Džeko,Fiorentina,19 Seasons,19 Seasons,6 Clubs,,4 Leagues,,580,439,40503,450.0,258,78,336,248,10,18,63,1,88.5,87.7,23.0,110.8,304,523,1320,0.57,0.17,0.75,0.55,0.72,0.55,0.14,0.69,0.55,0.69,
Edin Džeko,Fiorentina,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Edin Džeko,Fiorentina,Roma (6 Seasons),Roma (6 Seasons),Roma (6 Seasons),,1 League,,199,166,15282,169.8,85,34,119,82,3,6,29,1,64.1,63.3,15.9,79.1,225,349,963,0.50,0.20,0.70,0.48,0.68,0.56,0.14,0.70,0.55,0.69,
Edin Džeko,Fiorentina,Manchester City (5 Seasons),Manchester City (5 Seasons),Manchester City (5 Seasons),,1 League,,130,74,7103,78.9,50,11,61,50,0,1,10,0,,,,,,,,0.63,0.14,0.77,0.63,0.77,,,,,,
Edin Džeko,Fiorentina,Wolfsburg (4 Seasons),Wolfsburg (4 Seasons),Wolfsburg (4 Seasons),,1 League,,111,96,8958,99.5,66,17,83,64,2,4,15,0,,,,,,,,0.66,0.17,0.83,0.64,0.81,,,,,,
Edin Džeko,Fiorentina,Fenerbahçe (2 Seasons),Fenerbahçe (2 Seasons),Fenerbahçe (2 Seasons),,1 League,,71,58,4959,55.1,35,7,42,30,5,7,4,0,,,,,,,,0.64,0.13,0.76,0.54,0.67,,,,,,
Edin Džeko,Fiorentina,Inter (2 Seasons),Inter (2 Seasons),Inter (2 Seasons),,1 League,,69,45,4201,46.7,22,9,31,22,0,0,5,0,24.5,24.5,7.2,31.6,79,174,357,0.47,0.19,0.66,0.47,0.66,0.52,0.15,0.68,0.52,0.68,
Edin Džeko,Fiorentina,Fiorentina (1 Season),Fiorentina (1 Season),Fiorentina (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edin Džeko,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edin Džeko,Fiorentina,Serie A (9 Seasons),Serie A (9 Seasons),Serie A (9 Seasons),,,,268,211,19483,216.5,107,43,150,104,3,6,34,1,88.5,87.7,23.0,110.8,304,523,1320,0.49,0.20,0.69,0.48,0.68,0.55,0.14,0.69,0.55,0.69,
Edin Džeko,Fiorentina,Premier League (5 Seasons),Premier League (5 Seasons),Premier League (5 Seasons),,,,130,74,7103,78.9,50,11,61,50,0,1,10,0,,,,,,,,0.63,0.14,0.77,0.63,0.77,,,,,,
Edin Džeko,Fiorentina,Bundesliga (4 Seasons),Bundesliga (4 Seasons),Bundesliga (4 Seasons),,,,111,96,8958,99.5,66,17,83,64,2,4,15,0,,,,,,,,0.66,0.17,0.83,0.64,0.81,,,,,,
Edin Džeko,Fiorentina,Süper Lig (2 Seasons),Süper Lig (2 Seasons),Süper Lig (2 Seasons),,,,71,58,4959,55.1,35,7,42,30,5,7,4,0,,,,,,,,0.64,0.13,0.76,0.54,0.67,,,,,,
