Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Viti,Fiorentina,2019-2020,17,Empoli,it ITA,2. Serie B,7th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Mattia Viti,Fiorentina,2020-2021,18,Empoli,it ITA,2. Serie B,1st,2,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mattia Viti,Fiorentina,2021-2022,19,Empoli,it ITA,1. Serie A,14th,20,16,1491,16.6,0,0,0,0,0,0,3,1,0.4,0.4,0.0,0.4,10,45,3,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches
Mattia Viti,Fiorentina,2022-2023,20,Nice,fr FRA,1. Ligue 1,9th,9,7,634,7.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,19,1,0.14,0.00,0.14,0.14,0.14,0.01,0.00,0.01,0.01,0.01,Matches
Mattia Viti,Fiorentina,2023-2024,21,Sassuolo,it ITA,1. Serie A,19th,15,12,979,10.9,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,2,36,13,0.09,0.00,0.09,0.09,0.09,0.09,0.00,0.09,0.09,0.09,Matches
Mattia Viti,Fiorentina,2024-2025,22,Empoli,it ITA,1. Serie A,18th,30,30,2572,28.6,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.0,17,86,10,0.03,0.00,0.03,0.03,0.03,0.03,0.01,0.03,0.03,0.03,Matches
Mattia Viti,Fiorentina,2025-2026,23,Fiorentina,it ITA,1. Serie A,7th,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mattia Viti,Fiorentina,7 Seasons,7 Seasons,4 Clubs,,3 Leagues,,77,66,5814,64.6,3,0,3,3,0,0,6,1,2.2,2.2,0.3,2.5,33,191,27,0.05,0.00,0.05,0.05,0.05,0.03,0.00,0.04,0.03,0.04,
Mattia Viti,Fiorentina,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mattia Viti,Fiorentina,Empoli (4 Seasons),Empoli (4 Seasons),Empoli (4 Seasons),,2 Leagues,,52,47,4156,46.2,1,0,1,1,0,0,6,1,1.2,1.2,0.3,1.4,30,135,13,0.02,0.00,0.02,0.02,0.02,0.03,0.01,0.03,0.03,0.03,
Mattia Viti,Fiorentina,Sassuolo (1 Season),Sassuolo (1 Season),Sassuolo (1 Season),,1 League,,15,12,979,10.9,1,0,1,1,0,0,0,0,1.0,1.0,0.0,1.0,2,36,13,0.09,0.00,0.09,0.09,0.09,0.09,0.00,0.09,0.09,0.09,
Mattia Viti,Fiorentina,Nice (1 Season),Nice (1 Season),Nice (1 Season),,1 League,,9,7,634,7.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,19,1,0.14,0.00,0.14,0.14,0.14,0.01,0.00,0.01,0.01,0.01,
Mattia Viti,Fiorentina,Fiorentina (1 Season),Fiorentina (1 Season),Fiorentina (1 Season),,1 League,,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mattia Viti,Fiorentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mattia Viti,Fiorentina,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,66,58,5087,56.5,2,0,2,2,0,0,6,1,2.1,2.1,0.3,2.4,29,168,26,0.04,0.00,0.04,0.04,0.04,0.04,0.00,0.04,0.04,0.04,
Mattia Viti,Fiorentina,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,2,1,93,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,4,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Mattia Viti,Fiorentina,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,9,7,634,7.0,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,19,1,0.14,0.00,0.14,0.14,0.14,0.01,0.00,0.01,0.01,0.01,
