Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Moise Kean,Fiorentina,2016-2017,16,Juventus,it ITA,1. Serie A,1st,3,0,21,0.2,1,0,1,1,0,0,0,0,,,,,,,,4.29,0.00,4.29,4.29,4.29,,,,,,Matches
Moise Kean,Fiorentina,2017-2018,17,Hellas Verona,it ITA,1. Serie A,19th,19,12,1131,12.6,4,0,4,4,0,0,5,0,4.9,4.9,0.5,5.4,30,13,61,0.32,0.00,0.32,0.32,0.32,0.39,0.04,0.43,0.39,0.43,Matches
Moise Kean,Fiorentina,2017-2018,17,Juventus,it ITA,1. Serie A,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Moise Kean,Fiorentina,2018-2019,18,Juventus,it ITA,1. Serie A,1st,13,5,541,6.0,6,0,6,6,0,0,2,0,3.6,3.6,0.3,3.9,11,4,42,1.00,0.00,1.00,1.00,1.00,0.60,0.05,0.65,0.60,0.65,Matches
Moise Kean,Fiorentina,2019-2020,19,Everton,eng ENG,1. Premier League,12th,29,6,852,9.5,2,2,4,2,0,0,1,0,4.0,4.0,2.0,6.0,26,12,60,0.21,0.21,0.42,0.21,0.42,0.42,0.21,0.63,0.42,0.63,Matches
Moise Kean,Fiorentina,2020-2021,20,Paris S-G,fr FRA,1. Ligue 1,2nd,26,22,1698,18.9,13,0,13,13,0,0,4,0,10.2,10.2,0.9,11.1,31,22,104,0.69,0.00,0.69,0.69,0.69,0.54,0.05,0.59,0.54,0.59,Matches
Moise Kean,Fiorentina,2020-2021,20,Everton,eng ENG,1. Premier League,10th,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,0,5,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.28,0.28,0.28,Matches
Moise Kean,Fiorentina,2021-2022,21,Everton,eng ENG,1. Premier League,16th,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Moise Kean,Fiorentina,2021-2022,21,Juventus,it ITA,1. Serie A,4th,32,12,1098,12.2,5,2,7,5,0,0,5,0,4.9,4.9,0.2,5.1,20,10,77,0.41,0.16,0.57,0.41,0.57,0.40,0.02,0.42,0.40,0.42,Matches
