Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Albert Grønbaek,Genoa,2019-2020,18,AGF,dk DEN,1. Danish Superliga,3rd,8,1,201,2.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Albert Grønbaek,Genoa,2020-2021,19,AGF,dk DEN,1. Danish Superliga,4th,31,21,1869,20.8,5,2,7,5,0,0,2,0,,,,,,,,0.24,0.10,0.34,0.24,0.34,,,,,,Matches
Albert Grønbaek,Genoa,2021-2022,20,AGF,dk DEN,1. Danish Superliga,10th,31,22,1968,21.9,3,4,7,3,0,0,4,0,,,,,,,,0.14,0.18,0.32,0.14,0.32,,,,,,Matches
Albert Grønbaek,Genoa,2022,20,Bodø/Glimt,no NOR,1. Eliteserien,2nd,12,9,811,9.0,2,0,2,2,0,0,2,0,,,,,,,,0.22,0.00,0.22,0.22,0.22,,,,,,Matches
Albert Grønbaek,Genoa,2022-2023,21,AGF,dk DEN,1. Danish Superliga,3rd,4,1,115,1.3,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Albert Grønbaek,Genoa,2023,21,Bodø/Glimt,no NOR,1. Eliteserien,1st,28,28,2397,26.6,9,6,15,9,0,1,4,0,,,,,,,,0.34,0.23,0.56,0.34,0.56,,,,,,Matches
Albert Grønbaek,Genoa,2024,22,Bodø/Glimt,no NOR,1. Eliteserien,1st,15,14,1257,14.0,8,2,10,7,1,1,1,0,,,,,,,,0.57,0.14,0.72,0.50,0.64,,,,,,Matches
Albert Grønbaek,Genoa,2024-2025,23,Southampton,eng ENG,1. Premier League,20th,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Albert Grønbaek,Genoa,2024-2025,23,Rennes,fr FRA,1. Ligue 1,12th,16,9,813,9.0,2,1,3,2,0,0,1,0,1.5,1.5,1.0,2.5,23,30,58,0.22,0.11,0.33,0.22,0.33,0.17,0.12,0.28,0.17,0.28,Matches
Albert Grønbaek,Genoa,2025-2026,24,Genoa,it ITA,1. Serie A,13th,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,Matches
Albert Grønbaek,Genoa,7 Seasons,7 Seasons,5 Clubs,,5 Leagues,,150,108,9633,107.0,29,15,44,28,1,2,15,0,1.6,1.6,1.3,3.0,25,34,65,0.27,0.14,0.41,0.26,0.40,0.14,0.12,0.26,0.14,0.26,
Albert Grønbaek,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Albert Grønbaek,Genoa,AGF (4 Seasons),AGF (4 Seasons),AGF (4 Seasons),,1 League,,74,45,4153,46.1,8,6,14,8,0,0,7,0,,,,,,,,0.17,0.13,0.30,0.17,0.30,,,,,,
Albert Grønbaek,Genoa,Bodø/Glimt (3 Seasons),Bodø/Glimt (3 Seasons),Bodø/Glimt (3 Seasons),,1 League,,55,51,4465,49.6,19,8,27,18,1,2,7,0,,,,,,,,0.38,0.16,0.54,0.36,0.52,,,,,,
Albert Grønbaek,Genoa,Rennes (1 Season),Rennes (1 Season),Rennes (1 Season),,1 League,,16,9,813,9.0,2,1,3,2,0,0,1,0,1.5,1.5,1.0,2.5,23,30,58,0.22,0.11,0.33,0.22,0.33,0.17,0.12,0.28,0.17,0.28,
Albert Grønbaek,Genoa,Southampton (1 Season),Southampton (1 Season),Southampton (1 Season),,1 League,,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,
Albert Grønbaek,Genoa,Genoa (1 Season),Genoa (1 Season),Genoa (1 Season),,1 League,,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,
Albert Grønbaek,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albert Grønbaek,Genoa,Danish Superliga (4 Seasons),Danish Superliga (4 Seasons),Danish Superliga (4 Seasons),,,,74,45,4153,46.1,8,6,14,8,0,0,7,0,,,,,,,,0.17,0.13,0.30,0.17,0.30,,,,,,
Albert Grønbaek,Genoa,Eliteserien (3 Seasons),Eliteserien (3 Seasons),Eliteserien (3 Seasons),,,,55,51,4465,49.6,19,8,27,18,1,2,7,0,,,,,,,,0.38,0.16,0.54,0.36,0.52,,,,,,
Albert Grønbaek,Genoa,Ligue 1 (1 Season),Ligue 1 (1 Season),Ligue 1 (1 Season),,,,16,9,813,9.0,2,1,3,2,0,0,1,0,1.5,1.5,1.0,2.5,23,30,58,0.22,0.11,0.33,0.22,0.33,0.17,0.12,0.28,0.17,0.28,
Albert Grønbaek,Genoa,Premier League (1 Season),Premier League (1 Season),Premier League (1 Season),,,,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,3,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,
Albert Grønbaek,Genoa,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,4,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.44,0.00,0.44,
