Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Benjamin Siegrist,Genoa,2013-2014,21,Cambridge Utd,eng ENG,5. Conf Premier,2nd,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Siegrist,Genoa,2015-2016,23,Wycombe,eng ENG,4. League Two,13th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Siegrist,Genoa,2016-2017,24,Vaduz,ch SUI,1. Super Lg,10th,27,27,2430,27.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Siegrist,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Siegrist,Genoa,2018-2019,26,Dundee United,sct SCO,2. Championship,2nd,27,27,2352,26.1,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Siegrist,Genoa,2019-2020,27,Dundee United,sct SCO,2. Championship,1st,28,28,2520,28.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Siegrist,Genoa,2020-2021,28,Dundee United,sct SCO,1. Premiership,15th,32,32,2880,32.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Siegrist,Genoa,2021-2022,29,Dundee United,sct SCO,1. Premiership,4th,34,34,3060,34.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Siegrist,Genoa,2022-2023,30,Celtic,sct SCO,1. Premiership,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Benjamin Siegrist,Genoa,2023-2024,31,Celtic,sct SCO,1. Premiership,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Benjamin Siegrist,Genoa,2024-2025,32,Rapid București,ro ROU,1. Liga I,5th,13,13,1170,13.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Benjamin Siegrist,Genoa,2024-2025,32,Genoa,it ITA,1. Serie A,13th,2,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Benjamin Siegrist,Genoa,2025-2026,33,Genoa,it ITA,1. Serie A,13th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Benjamin Siegrist,Genoa,11 Seasons,11 Seasons,7 Clubs,,7 Leagues,,167,167,14924,165.8,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Benjamin Siegrist,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Benjamin Siegrist,Genoa,Dundee United (4 Seasons),Dundee United (4 Seasons),Dundee United (4 Seasons),,2 Leagues,,121,121,10812,120.1,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,Genoa (2 Seasons),Genoa (2 Seasons),Genoa (2 Seasons),,1 League,,2,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Benjamin Siegrist,Genoa,Celtic (2 Seasons),Celtic (2 Seasons),Celtic (2 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Siegrist,Genoa,Vaduz (1 Season),Vaduz (1 Season),Vaduz (1 Season),,1 League,,27,27,2430,27.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,Rapid București (1 Season),Rapid București (1 Season),Rapid București (1 Season),,1 League,,13,13,1170,13.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,Cambridge Utd (1 Season),Cambridge Utd (1 Season),Cambridge Utd (1 Season),,1 League,,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,Wycombe (1 Season),Wycombe (1 Season),Wycombe (1 Season),,1 League,,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin Siegrist,Genoa,Premiership (4 Seasons),Premiership (4 Seasons),Premiership (4 Seasons),,,,66,66,5940,66.0,0,0,0,0,0,0,3,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,Championship (2 Seasons),Championship (2 Seasons),Championship (2 Seasons),,,,55,55,4872,54.1,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,2,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Benjamin Siegrist,Genoa,Super Lg (1 Season),Super Lg (1 Season),Super Lg (1 Season),,,,27,27,2430,27.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,Liga I (1 Season),Liga I (1 Season),Liga I (1 Season),,,,13,13,1170,13.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,Conf Premier (1 Season),Conf Premier (1 Season),Conf Premier (1 Season),,,,3,3,270,3.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Benjamin Siegrist,Genoa,League Two (1 Season),League Two (1 Season),League Two (1 Season),,,,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
