Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Johan Vásquez,Genoa,2018-2019,19,Monterrey,mx MEX,1. Liga MX,4th,11,6,647,7.2,1,0,1,1,0,0,3,0,1.1,1.1,0.0,1.1,4,13,0,0.14,0.00,0.14,0.14,0.14,0.16,0.00,0.16,0.16,0.16,Matches
Johan Vásquez,Genoa,2019-2020,20,Monterrey,mx MEX,1. Liga MX,14th,2,2,100,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Johan Vásquez,Genoa,2019-2020,20,UNAM,mx MEX,1. Liga MX,11th,10,10,900,10.0,1,0,1,1,0,0,5,0,0.9,0.9,0.1,1.0,1,10,0,0.10,0.00,0.10,0.10,0.10,0.09,0.01,0.10,0.09,0.10,Matches
Johan Vásquez,Genoa,2020-2021,21,UNAM,mx MEX,1. Liga MX,7th,33,32,2852,31.7,1,2,3,1,0,0,11,0,1.8,1.8,0.7,2.5,12,72,8,0.03,0.06,0.09,0.03,0.09,0.06,0.02,0.08,0.06,0.08,Matches
Johan Vásquez,Genoa,2021-2022,22,Genoa,it ITA,1. Serie A,19th,28,27,2279,25.3,1,0,1,1,0,0,7,0,0.8,0.8,0.1,0.9,12,62,9,0.04,0.00,0.04,0.04,0.04,0.03,0.00,0.04,0.03,0.04,Matches
Johan Vásquez,Genoa,2022-2023,23,Cremonese,it ITA,1. Serie A,19th,25,19,1813,20.1,1,0,1,1,0,0,7,0,0.7,0.7,0.3,1.0,18,48,12,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.05,0.04,0.05,Matches
Johan Vásquez,Genoa,2023-2024,24,Genoa,it ITA,1. Serie A,11th,37,32,2850,31.7,1,1,2,1,0,0,6,0,1.9,1.9,0.8,2.7,29,81,61,0.03,0.03,0.06,0.03,0.06,0.06,0.03,0.08,0.06,0.08,Matches
Johan Vásquez,Genoa,2024-2025,25,Genoa,it ITA,1. Serie A,13th,36,34,3041,33.8,3,0,3,3,0,0,9,0,2.4,2.4,0.3,2.7,37,96,12,0.09,0.00,0.09,0.09,0.09,0.07,0.01,0.08,0.07,0.08,Matches
Johan Vásquez,Genoa,2025-2026,26,Genoa,it ITA,1. Serie A,13th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Johan Vásquez,Genoa,8 Seasons,8 Seasons,4 Clubs,,2 Leagues,,183,163,14572,161.9,9,3,12,9,0,0,49,0,9.6,9.6,2.3,11.9,115,390,102,0.06,0.02,0.07,0.06,0.07,0.06,0.01,0.07,0.06,0.07,
Johan Vásquez,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Johan Vásquez,Genoa,Genoa (4 Seasons),Genoa (4 Seasons),Genoa (4 Seasons),,1 League,,102,94,8260,91.8,5,1,6,5,0,0,22,0,5.1,5.1,1.2,6.3,80,241,82,0.05,0.01,0.07,0.05,0.07,0.06,0.01,0.07,0.06,0.07,
Johan Vásquez,Genoa,UNAM (2 Seasons),UNAM (2 Seasons),UNAM (2 Seasons),,1 League,,43,42,3752,41.7,2,2,4,2,0,0,16,0,2.7,2.7,0.8,3.5,13,82,8,0.05,0.05,0.10,0.05,0.10,0.06,0.02,0.08,0.06,0.08,
Johan Vásquez,Genoa,Monterrey (2 Seasons),Monterrey (2 Seasons),Monterrey (2 Seasons),,1 League,,13,8,747,8.3,1,0,1,1,0,0,4,0,1.1,1.1,0.0,1.1,4,19,0,0.12,0.00,0.12,0.12,0.12,0.14,0.00,0.14,0.14,0.14,
Johan Vásquez,Genoa,Cremonese (1 Season),Cremonese (1 Season),Cremonese (1 Season),,1 League,,25,19,1813,20.1,1,0,1,1,0,0,7,0,0.7,0.7,0.3,1.0,18,48,12,0.05,0.00,0.05,0.05,0.05,0.04,0.02,0.05,0.04,0.05,
Johan Vásquez,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johan Vásquez,Genoa,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,127,113,10073,111.9,6,1,7,6,0,0,29,0,5.8,5.8,1.6,7.3,98,289,94,0.05,0.01,0.06,0.05,0.06,0.05,0.01,0.07,0.05,0.07,
Johan Vásquez,Genoa,Liga MX (3 Seasons),Liga MX (3 Seasons),Liga MX (3 Seasons),,,,56,50,4499,50.0,3,2,5,3,0,0,20,0,3.8,3.8,0.8,4.6,17,101,8,0.06,0.04,0.10,0.06,0.10,0.08,0.02,0.09,0.08,0.09,
