Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolae Stanciu,Genoa,2009-2010,16,Unirea,ro ROU,1. Liga I,18th,5,3,299,3.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Nicolae Stanciu,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolae Stanciu,Genoa,2011-2012,18,Vaslui,ro ROU,1. Liga I,2nd,16,5,765,8.5,1,1,2,1,0,0,3,0,,,,,,,,0.12,0.12,0.24,0.12,0.24,,,,,,
Nicolae Stanciu,Genoa,2012-2013,19,Vaslui,ro ROU,1. Liga I,5th,31,21,1990,22.1,1,5,6,1,0,0,2,0,,,,,,,,0.05,0.23,0.27,0.05,0.27,,,,,,Matches
Nicolae Stanciu,Genoa,2013-2014,20,Steaua,ro ROU,1. Liga I,1st,29,18,1514,16.8,5,3,8,3,2,2,5,0,,,,,,,,0.30,0.18,0.48,0.18,0.36,,,,,,Matches
Nicolae Stanciu,Genoa,2014-2015,21,Steaua,ro ROU,1. Liga I,1st,28,15,1489,16.5,6,3,9,4,2,2,5,0,,,,,,,,0.36,0.18,0.54,0.24,0.42,,,,,,Matches
Nicolae Stanciu,Genoa,2015-2016,22,Steaua,ro ROU,1. Liga I,2nd,28,28,2380,26.4,12,6,18,9,3,3,5,0,,,,,,,,0.45,0.23,0.68,0.34,0.57,,,,,,Matches
Nicolae Stanciu,Genoa,2016-2017,23,Steaua,ro ROU,1. Liga I,2nd,5,3,360,4.0,1,2,3,1,0,0,1,0,,,,,,,,0.25,0.50,0.75,0.25,0.75,,,,,,Matches
Nicolae Stanciu,Genoa,2016-2017,23,Anderlecht,be BEL,1. First Division A,1st,24,20,1576,17.5,4,3,7,4,0,0,3,2,,,,,,,,0.23,0.17,0.40,0.23,0.40,,,,,,Matches
Nicolae Stanciu,Genoa,2017-2018,24,Anderlecht,be BEL,1. First Division A,3rd,10,3,345,3.8,1,0,1,1,0,0,1,0,0.6,0.6,2.1,2.7,6,18,24,0.26,0.00,0.26,0.26,0.26,0.17,0.54,0.71,0.17,0.71,Matches
Nicolae Stanciu,Genoa,2017-2018,24,Sparta Prague,cz CZE,1. First League,5th,14,14,1141,12.7,6,1,7,6,0,0,1,0,,,,,,,,0.47,0.08,0.55,0.47,0.55,,,,,,Matches
Nicolae Stanciu,Genoa,2018-2019,25,Sparta Prague,cz CZE,1. First League,3rd,17,17,1483,16.5,4,1,5,4,0,0,4,1,,,,,,,,0.24,0.06,0.30,0.24,0.30,,,,,,Matches
Nicolae Stanciu,Genoa,2018-2019,25,Al-Ahli,sa KSA,1. Pro League,4th,10,8,695,7.7,2,3,5,2,0,0,1,0,,,,,,,,0.26,0.39,0.65,0.26,0.65,,,,,,Matches
Nicolae Stanciu,Genoa,2019-2020,26,Slavia Prague,cz CZE,1. First League,1st,31,25,2238,24.9,4,5,9,3,1,1,4,0,,,,,,,,0.16,0.20,0.36,0.12,0.32,,,,,,Matches
Nicolae Stanciu,Genoa,2020-2021,27,Slavia Prague,cz CZE,1. First League,1st,30,27,2094,23.3,12,6,18,8,4,4,2,0,,,,,,,,0.52,0.26,0.77,0.34,0.60,,,,,,Matches
Nicolae Stanciu,Genoa,2021-2022,28,Slavia Prague,cz CZE,1. First League,2nd,16,12,1160,12.9,3,5,8,2,1,2,1,0,,,,,,,,0.23,0.39,0.62,0.16,0.54,,,,,,Matches
Nicolae Stanciu,Genoa,2022,28,Wuhan Three Towns,cn CHN,1. Super League,1st,27,27,2300,25.6,10,11,21,10,0,0,3,1,,,,,,,,0.39,0.43,0.82,0.39,0.82,,,,,,Matches
Nicolae Stanciu,Genoa,2023,29,Wuhan Three Towns,cn CHN,1. Super League,7th,24,24,2090,23.2,1,12,13,1,0,0,1,0,,,,,,,,0.04,0.52,0.56,0.04,0.56,,,,,,Matches
Nicolae Stanciu,Genoa,2023-2024,30,Damac,sa KSA,1. Pro League,10th,27,27,2311,25.7,4,8,12,4,0,0,3,0,,,,,,,,0.16,0.31,0.47,0.16,0.47,,,,,,Matches
Nicolae Stanciu,Genoa,2024-2025,31,Damac,sa KSA,1. Pro League,14th,29,29,2593,28.8,5,7,12,5,0,0,4,0,,,,,,,,0.17,0.24,0.42,0.17,0.42,,,,,,Matches
Nicolae Stanciu,Genoa,2025-2026,32,Genoa,it ITA,1. Serie A,13th,1,1,86,1.0,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,2,2,5,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.36,0.36,0.36,Matches
Nicolae Stanciu,Genoa,16 Seasons,16 Seasons,10 Clubs,,6 Leagues,,402,327,28909,321.2,82,82,164,69,13,14,49,4,1.0,1.0,2.1,3.1,8,20,29,0.26,0.26,0.51,0.21,0.47,0.21,0.44,0.64,0.21,0.64,
Nicolae Stanciu,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Nicolae Stanciu,Genoa,Steaua (4 Seasons),Steaua (4 Seasons),Steaua (4 Seasons),,1 League,,90,64,5743,63.8,24,14,38,17,7,7,16,0,,,,,,,,0.38,0.22,0.60,0.27,0.49,,,,,,
