Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ruslan Malinovskyi,Genoa,2013-2014,20,Zorya Luhansk,ua UKR,1. Premier League,7th,8,4,345,3.8,3,0,3,3,0,0,1,0,,,,,,,,0.78,0.00,0.78,0.78,0.78,,,,,,
Ruslan Malinovskyi,Genoa,2014-2015,21,Zorya Luhansk,ua UKR,1. Premier League,4th,23,16,1336,14.8,1,4,5,0,1,1,8,0,,,,,,,,0.07,0.27,0.34,0.00,0.27,,,,,,Matches
Ruslan Malinovskyi,Genoa,2015-2016,22,Zorya Luhansk,ua UKR,1. Premier League,4th,13,11,875,9.7,3,2,5,3,0,0,3,0,,,,,,,,0.31,0.21,0.51,0.31,0.51,,,,,,Matches
Ruslan Malinovskyi,Genoa,2015-2016,22,Genk,be BEL,1. Pro League,4th,13,9,780,8.7,0,2,2,0,0,0,5,0,,,,,,,,0.00,0.23,0.23,0.00,0.23,,,,,,Matches
Ruslan Malinovskyi,Genoa,2016-2017,23,Genk,be BEL,1. First Division A,7th,18,17,1350,15.0,5,7,12,5,0,0,3,0,,,,,,,,0.33,0.47,0.80,0.33,0.80,,,,,,Matches
Ruslan Malinovskyi,Genoa,2017-2018,24,Genk,be BEL,1. First Division A,5th,36,34,2928,32.5,5,6,11,4,1,2,9,2,5.0,3.5,5.1,8.6,96,276,100,0.15,0.18,0.34,0.12,0.31,0.15,0.16,0.31,0.11,0.26,Matches
Ruslan Malinovskyi,Genoa,2018-2019,25,Genk,be BEL,1. First Division A,1st,37,34,3004,33.4,13,11,24,8,5,5,8,2,9.8,5.9,9.2,15.1,89,368,120,0.39,0.33,0.72,0.24,0.57,0.29,0.28,0.57,0.18,0.45,Matches
Ruslan Malinovskyi,Genoa,2019-2020,26,Atalanta,it ITA,1. Serie A,3rd,34,12,1535,17.1,8,3,11,8,0,1,7,1,4.4,3.6,5.0,8.6,66,124,108,0.47,0.18,0.64,0.47,0.64,0.26,0.29,0.55,0.21,0.50,Matches
Ruslan Malinovskyi,Genoa,2020-2021,27,Atalanta,it ITA,1. Serie A,3rd,36,22,1876,20.8,8,12,20,7,1,1,3,0,5.6,4.9,10.2,15.0,90,151,178,0.38,0.58,0.96,0.34,0.91,0.27,0.49,0.76,0.23,0.72,Matches
Ruslan Malinovskyi,Genoa,2021-2022,28,Atalanta,it ITA,1. Serie A,8th,30,19,1592,17.7,6,5,11,6,0,0,10,0,3.3,3.3,5.9,9.2,59,111,141,0.34,0.28,0.62,0.34,0.62,0.19,0.33,0.52,0.19,0.52,Matches
Ruslan Malinovskyi,Genoa,2022-2023,29,Atalanta,it ITA,1. Serie A,5th,15,5,553,6.1,1,2,3,1,0,0,2,0,0.6,0.6,2.0,2.6,19,50,36,0.16,0.33,0.49,0.16,0.49,0.10,0.33,0.43,0.10,0.43,Matches
Ruslan Malinovskyi,Genoa,2022-2023,29,Marseille,fr FRA,1. Ligue 1,3rd,20,13,1227,13.6,1,1,2,1,0,0,4,0,2.3,2.3,2.4,4.6,35,64,81,0.07,0.07,0.15,0.07,0.15,0.17,0.17,0.34,0.17,0.34,Matches
Ruslan Malinovskyi,Genoa,2023-2024,30,Genoa,it ITA,1. Serie A,11th,28,18,1544,17.2,4,1,5,4,0,0,7,0,1.1,1.1,0.6,1.6,24,83,31,0.23,0.06,0.29,0.23,0.29,0.06,0.03,0.10,0.06,0.10,Matches
Ruslan Malinovskyi,Genoa,2024-2025,31,Genoa,it ITA,1. Serie A,13th,9,4,383,4.3,0,2,2,0,0,0,2,0,0.2,0.2,1.5,1.7,3,32,10,0.00,0.47,0.47,0.00,0.47,0.06,0.35,0.41,0.06,0.41,Matches
Ruslan Malinovskyi,Genoa,2025-2026,32,Genoa,it ITA,1. Serie A,13th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ruslan Malinovskyi,Genoa,13 Seasons,13 Seasons,5 Clubs,,4 Leagues,,320,218,19328,214.8,58,58,116,50,8,10,72,5,32.4,25.4,41.8,67.2,481,1259,805,0.27,0.27,0.54,0.23,0.50,0.20,0.26,0.46,0.16,0.41,
Ruslan Malinovskyi,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ruslan Malinovskyi,Genoa,Atalanta (4 Seasons),Atalanta (4 Seasons),Atalanta (4 Seasons),,1 League,,115,58,5556,61.7,23,22,45,22,1,2,22,1,14.0,12.5,23.0,35.5,234,436,463,0.37,0.36,0.73,0.36,0.71,0.23,0.37,0.60,0.20,0.57,
Ruslan Malinovskyi,Genoa,Genk (4 Seasons),Genk (4 Seasons),Genk (4 Seasons),,1 League,,104,94,8062,89.6,23,26,49,17,6,7,25,4,14.8,9.4,14.3,23.7,185,644,220,0.26,0.29,0.55,0.19,0.48,0.22,0.22,0.44,0.14,0.36,
Ruslan Malinovskyi,Genoa,Zorya Luhansk (3 Seasons),Zorya Luhansk (3 Seasons),Zorya Luhansk (3 Seasons),,1 League,,44,31,2556,28.4,7,6,13,6,1,1,12,0,,,,,,,,0.25,0.21,0.46,0.21,0.42,,,,,,
Ruslan Malinovskyi,Genoa,Genoa (3 Seasons),Genoa (3 Seasons),Genoa (3 Seasons),,1 League,,37,22,1927,21.4,4,3,7,4,0,0,9,0,1.3,1.3,2.1,3.4,27,115,41,0.19,0.14,0.33,0.19,0.33,0.06,0.10,0.16,0.06,0.16,
