Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Seydou Fini,Genoa,2022-2023,16,Genoa,it ITA,2. Serie B,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Seydou Fini,Genoa,2023-2024,17,Standard Liège,be BEL,1. Pro League A,12th,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Seydou Fini,Genoa,2023-2024,17,Genoa,it ITA,1. Serie A,11th,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,Matches
Seydou Fini,Genoa,2024-2025,18,Excelsior,nl NED,2. Eerste Divisie,2nd,36,24,2131,23.7,4,3,7,4,0,0,2,0,,,,,,,,0.17,0.13,0.30,0.17,0.30,,,,,,Matches
Seydou Fini,Genoa,2024-2025,18,Genoa,it ITA,1. Serie A,13th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Seydou Fini,Genoa,2025-2026,19,Genoa,it ITA,1. Serie A,13th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Seydou Fini,Genoa,4 Seasons,4 Seasons,3 Clubs,,4 Leagues,,43,24,2211,24.6,4,3,7,4,0,0,2,0,0.1,0.1,0.0,0.1,2,3,8,0.16,0.12,0.28,0.16,0.28,0.15,0.00,0.15,0.15,0.15,
Seydou Fini,Genoa,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Seydou Fini,Genoa,Genoa (4 Seasons),Genoa (4 Seasons),Genoa (4 Seasons),,2 Leagues,,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,
Seydou Fini,Genoa,Excelsior (1 Season),Excelsior (1 Season),Excelsior (1 Season),,1 League,,36,24,2131,23.7,4,3,7,4,0,0,2,0,,,,,,,,0.17,0.13,0.30,0.17,0.30,,,,,,
Seydou Fini,Genoa,Standard Liège (1 Season),Standard Liège (1 Season),Standard Liège (1 Season),,1 League,,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Seydou Fini,Genoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seydou Fini,Genoa,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,3,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,0,2,0.00,0.00,0.00,0.00,0.00,0.34,0.00,0.34,0.34,0.34,
Seydou Fini,Genoa,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,,36,24,2131,23.7,4,3,7,4,0,0,2,0,,,,,,,,0.17,0.13,0.30,0.17,0.30,,,,,,
Seydou Fini,Genoa,Pro League A (1 Season),Pro League A (1 Season),Pro League A (1 Season),,,,4,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Seydou Fini,Genoa,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
