Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cheikh Tidiane Niasse,Hellas Verona,2018-2019,18,Lille,fr FRA,1. Ligue 1,2nd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cheikh Tidiane Niasse,Hellas Verona,2019-2020,19,Lille,fr FRA,1. Ligue 1,4th,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Cheikh Tidiane Niasse,Hellas Verona,2020-2021,20,Panathinaikos,gr GRE,1. Super League,5th,13,11,1052,11.7,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Cheikh Tidiane Niasse,Hellas Verona,2020-2021,20,Lille,fr FRA,1. Ligue 1,1st,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Cheikh Tidiane Niasse,Hellas Verona,2021-2022,21,Lille,fr FRA,1. Ligue 1,10th,4,0,44,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Cheikh Tidiane Niasse,Hellas Verona,2021-2022,21,Young Boys,ch SUI,1. Super Lg,3rd,10,5,517,5.7,1,0,1,1,0,0,4,0,,,,,,,,0.17,0.00,0.17,0.17,0.17,,,,,,Matches
Cheikh Tidiane Niasse,Hellas Verona,2022-2023,22,Young Boys,ch SUI,1. Super Lg,1st,26,20,1689,18.8,0,1,1,0,0,0,7,0,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,Matches
Cheikh Tidiane Niasse,Hellas Verona,2023-2024,23,Young Boys,ch SUI,1. Super Lg,1st,30,22,1990,22.1,0,4,4,0,0,0,6,0,,,,,,,,0.00,0.18,0.18,0.00,0.18,,,,,,Matches
Cheikh Tidiane Niasse,Hellas Verona,2024-2025,24,Young Boys,ch SUI,1. Super Lg,3rd,14,10,755,8.4,0,0,0,0,0,0,4,1,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Cheikh Tidiane Niasse,Hellas Verona,2024-2025,24,Hellas Verona,it ITA,1. Serie A,14th,11,8,755,8.4,0,0,0,0,0,0,4,0,0.4,0.4,0.1,0.5,5,25,15,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Cheikh Tidiane Niasse,Hellas Verona,2025-2026,25,Hellas Verona,it ITA,1. Serie A,11th,1,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Cheikh Tidiane Niasse,Hellas Verona,8 Seasons,8 Seasons,4 Clubs,,4 Leagues,,110,77,6882,76.5,1,5,6,1,0,0,30,1,0.4,0.4,0.1,0.5,5,28,15,0.01,0.07,0.08,0.01,0.08,0.04,0.01,0.05,0.04,0.05,
Cheikh Tidiane Niasse,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Cheikh Tidiane Niasse,Hellas Verona,Young Boys (4 Seasons),Young Boys (4 Seasons),Young Boys (4 Seasons),,1 League,,80,57,4951,55.0,1,5,6,1,0,0,21,1,,,,,,,,0.02,0.09,0.11,0.02,0.11,,,,,,
Cheikh Tidiane Niasse,Hellas Verona,Lille (4 Seasons),Lille (4 Seasons),Lille (4 Seasons),,1 League,,5,0,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
