Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Tobias Slotsager,Hellas Verona,2021-2022,15,Odense,dk DEN,1. Danish Superliga,8th,1,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tobias Slotsager,Hellas Verona,2022-2023,16,Odense,dk DEN,1. Danish Superliga,8th,12,10,948,10.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Tobias Slotsager,Hellas Verona,2023-2024,17,Odense,dk DEN,1. Danish Superliga,11th,30,30,2573,28.6,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches
Tobias Slotsager,Hellas Verona,2024-2025,18,Hellas Verona,it ITA,1. Serie A,14th,0,0,,,,,,,,,,,,,,,,Matches
Tobias Slotsager,Hellas Verona,2025-2026,19,Hellas Verona,it ITA,1. Serie A,11th,0,0,,,,,,,,,,,,,,,,Matches
Tobias Slotsager,Hellas Verona,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,43,40,3533,39.3,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,
Tobias Slotsager,Hellas Verona,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Tobias Slotsager,Hellas Verona,Odense (3 Seasons),Odense (3 Seasons),Odense (3 Seasons),,1 League,,43,40,3533,39.3,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,
Tobias Slotsager,Hellas Verona,Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),Hellas Verona (2 Seasons),,1 League,,0,0,,,,,,,,,,,,,,,,
Tobias Slotsager,Hellas Verona,,,,,,,,,,,,,,,,,,,,,,,,
Tobias Slotsager,Hellas Verona,Danish Superliga (3 Seasons),Danish Superliga (3 Seasons),Danish Superliga (3 Seasons),,,,43,40,3533,39.3,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,
Tobias Slotsager,Hellas Verona,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,0,0,,,,,,,,,,,,,,,,
