Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessandro Bastoni,Inter,2016-2017,17,Atalanta,it ITA,1. Serie A,4th,3,1,155,1.7,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Alessandro Bastoni,Inter,2017-2018,18,Atalanta,it ITA,1. Serie A,7th,4,0,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,12,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.14,0.03,0.14,Matches
Alessandro Bastoni,Inter,2018-2019,19,Parma,it ITA,1. Serie A,14th,24,18,1690,18.8,1,0,1,1,0,0,2,0,0.6,0.6,0.4,0.9,7,32,1,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,Matches
Alessandro Bastoni,Inter,2019-2020,20,Inter,it ITA,1. Serie A,2nd,25,21,1921,21.3,2,0,2,2,0,0,9,1,1.3,1.3,0.7,2.0,50,107,24,0.09,0.00,0.09,0.09,0.09,0.06,0.03,0.09,0.06,0.09,Matches
Alessandro Bastoni,Inter,2020-2021,21,Inter,it ITA,1. Serie A,1st,33,33,2922,32.5,0,3,3,0,0,0,6,0,1.0,1.0,1.5,2.4,70,146,60,0.00,0.09,0.09,0.00,0.09,0.03,0.04,0.08,0.03,0.08,Matches
Alessandro Bastoni,Inter,2021-2022,22,Inter,it ITA,1. Serie A,2nd,31,29,2311,25.7,1,2,3,1,0,0,4,0,0.3,0.3,2.0,2.3,30,132,34,0.04,0.08,0.12,0.04,0.12,0.01,0.08,0.09,0.01,0.09,Matches
Alessandro Bastoni,Inter,2022-2023,23,Inter,it ITA,1. Serie A,3rd,29,26,2157,24.0,0,2,2,0,0,0,3,0,1.0,1.0,2.7,3.7,47,141,44,0.00,0.08,0.08,0.00,0.08,0.04,0.11,0.15,0.04,0.15,Matches
Alessandro Bastoni,Inter,2023-2024,24,Inter,it ITA,1. Serie A,1st,28,28,2268,25.2,1,3,4,1,0,0,5,0,1.2,1.2,3.4,4.6,63,142,77,0.04,0.12,0.16,0.04,0.16,0.05,0.13,0.18,0.05,0.18,Matches
Alessandro Bastoni,Inter,2024-2025,25,Inter,it ITA,1. Serie A,2nd,33,31,2401,26.7,1,5,6,1,0,0,6,1,0.8,0.8,2.3,3.2,62,162,83,0.04,0.19,0.22,0.04,0.22,0.03,0.09,0.12,0.03,0.12,Matches
Alessandro Bastoni,Inter,2025-2026,26,Inter,it ITA,1. Serie A,1st,1,1,85,0.9,1,1,2,1,0,0,0,0,0.1,0.1,0.2,0.3,0,3,1,1.06,1.06,2.12,1.06,2.12,0.10,0.22,0.32,0.10,0.32,Matches
Alessandro Bastoni,Inter,10 Seasons,10 Seasons,3 Clubs,,1 League,,211,188,16001,177.8,7,16,23,7,0,0,35,2,6.4,6.4,13.2,19.6,330,871,336,0.04,0.09,0.13,0.04,0.13,0.04,0.08,0.11,0.04,0.11,
Alessandro Bastoni,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alessandro Bastoni,Inter,Inter (7 Seasons),Inter (7 Seasons),Inter (7 Seasons),,1 League,,180,169,14065,156.3,6,16,22,6,0,0,33,2,5.8,5.8,12.8,18.5,322,833,323,0.04,0.10,0.14,0.04,0.14,0.04,0.08,0.12,0.04,0.12,
Alessandro Bastoni,Inter,Atalanta (2 Seasons),Atalanta (2 Seasons),Atalanta (2 Seasons),,1 League,,7,1,246,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,6,12,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.14,0.03,0.14,
Alessandro Bastoni,Inter,Parma (1 Season),Parma (1 Season),Parma (1 Season),,1 League,,24,18,1690,18.8,1,0,1,1,0,0,2,0,0.6,0.6,0.4,0.9,7,32,1,0.05,0.00,0.05,0.05,0.05,0.03,0.02,0.05,0.03,0.05,
