Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ange-Yoan Bonny,Inter,2020-2021,16,Châteauroux,fr FRA,2. Ligue 2,20th,5,1,136,1.5,1,0,1,1,0,0,0,0,,,,,,,,0.66,0.00,0.66,0.66,0.66,,,,,,Matches
Ange-Yoan Bonny,Inter,2021-2022,17,Parma,it ITA,2. Serie B,12th,13,1,260,2.9,0,0,0,0,0,0,0,0,1.1,1.1,0.1,1.3,7,8,22,0.00,0.00,0.00,0.00,0.00,0.39,0.05,0.44,0.39,0.44,Matches
Ange-Yoan Bonny,Inter,2022-2023,18,Parma,it ITA,2. Serie B,4th,24,3,684,7.6,1,1,2,1,0,0,4,0,1.0,1.0,1.5,2.5,32,16,85,0.13,0.13,0.26,0.13,0.26,0.13,0.20,0.33,0.13,0.33,Matches
Ange-Yoan Bonny,Inter,2023-2024,19,Parma,it ITA,2. Serie B,1st,35,28,1990,22.1,5,7,12,4,1,1,5,0,4.6,3.8,4.2,8.0,58,64,206,0.23,0.32,0.54,0.18,0.50,0.21,0.19,0.40,0.17,0.36,Matches
Ange-Yoan Bonny,Inter,2024-2025,20,Parma,it ITA,1. Serie A,16th,37,30,2529,28.1,6,4,10,4,2,3,2,0,9.4,7.1,2.9,9.9,41,53,163,0.21,0.14,0.36,0.14,0.28,0.34,0.10,0.44,0.25,0.35,Matches
Ange-Yoan Bonny,Inter,2025-2026,21,Inter,it ITA,1. Serie A,1st,1,0,24,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,1,2,3,3.75,0.00,3.75,3.75,3.75,0.33,0.81,1.14,0.33,1.14,Matches
Ange-Yoan Bonny,Inter,6 Seasons,6 Seasons,3 Clubs,,3 Leagues,,115,63,5623,62.5,14,12,26,11,3,4,11,0,16.3,13.1,8.9,22.0,139,143,479,0.22,0.19,0.42,0.18,0.37,0.27,0.15,0.41,0.21,0.36,
Ange-Yoan Bonny,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ange-Yoan Bonny,Inter,Parma (4 Seasons),Parma (4 Seasons),Parma (4 Seasons),,2 Leagues,,109,62,5463,60.7,12,12,24,9,3,4,11,0,16.2,13.0,8.7,21.7,138,141,476,0.20,0.20,0.40,0.15,0.35,0.27,0.14,0.41,0.21,0.36,
Ange-Yoan Bonny,Inter,Châteauroux (1 Season),Châteauroux (1 Season),Châteauroux (1 Season),,1 League,,5,1,136,1.5,1,0,1,1,0,0,0,0,,,,,,,,0.66,0.00,0.66,0.66,0.66,,,,,,
Ange-Yoan Bonny,Inter,Inter (1 Season),Inter (1 Season),Inter (1 Season),,1 League,,1,0,24,0.3,1,0,1,1,0,0,0,0,0.1,0.1,0.2,0.3,1,2,3,3.75,0.00,3.75,3.75,3.75,0.33,0.81,1.14,0.33,1.14,
Ange-Yoan Bonny,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ange-Yoan Bonny,Inter,Serie B (3 Seasons),Serie B (3 Seasons),Serie B (3 Seasons),,,,72,32,2934,32.6,6,8,14,5,1,1,9,0,6.7,5.9,5.8,11.8,97,88,313,0.18,0.25,0.43,0.15,0.40,0.21,0.18,0.38,0.18,0.36,
Ange-Yoan Bonny,Inter,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,38,30,2553,28.4,7,4,11,5,2,3,2,0,9.5,7.2,3.1,10.2,42,55,166,0.25,0.14,0.39,0.18,0.32,0.34,0.11,0.44,0.25,0.36,
Ange-Yoan Bonny,Inter,Ligue 2 (1 Season),Ligue 2 (1 Season),Ligue 2 (1 Season),,,,5,1,136,1.5,1,0,1,1,0,0,0,0,,,,,,,,0.66,0.00,0.66,0.66,0.66,,,,,,
