Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Dimarco,Inter,2014-2015,16,Inter,it ITA,1. Serie A,8th,1,0,2,0.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Federico Dimarco,Inter,2015-2016,17,Inter,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Federico Dimarco,Inter,2015-2016,17,Ascoli,it ITA,2. Serie B,15th,15,14,1164,12.9,0,4,4,0,0,0,3,0,,,,,,,,0.00,0.31,0.31,0.00,0.31,,,,,,Matches
Federico Dimarco,Inter,2016-2017,18,Empoli,it ITA,1. Serie A,18th,12,6,649,7.2,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.14,0.14,0.00,0.14,,,,,,Matches
Federico Dimarco,Inter,2017-2018,19,Sion,ch SUI,1. Super Lg,6th,9,9,671,7.5,0,2,2,0,0,0,1,0,,,,,,,,0.00,0.27,0.27,0.00,0.27,,,,,,Matches
Federico Dimarco,Inter,2018-2019,20,Parma,it ITA,1. Serie A,14th,13,10,892,9.9,1,0,1,1,0,0,4,0,0.5,0.5,1.1,1.5,21,38,33,0.10,0.00,0.10,0.10,0.10,0.05,0.11,0.15,0.05,0.15,Matches
Federico Dimarco,Inter,2019-2020,21,Inter,it ITA,1. Serie A,2nd,3,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Federico Dimarco,Inter,2019-2020,21,Hellas Verona,it ITA,1. Serie A,9th,13,5,521,5.8,0,3,3,0,0,0,1,0,0.7,0.7,2.0,2.7,18,43,38,0.00,0.52,0.52,0.00,0.52,0.12,0.34,0.46,0.12,0.46,Matches
Federico Dimarco,Inter,2020-2021,22,Hellas Verona,it ITA,1. Serie A,10th,35,29,2613,29.0,5,3,8,5,0,0,6,0,2.8,2.8,7.8,10.6,61,172,138,0.17,0.10,0.28,0.17,0.28,0.10,0.28,0.38,0.10,0.38,Matches
