Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Henrikh Mkhitaryan,Inter,2009-2010,20,Met Donetsk,ua UKR,1. Premier League,8th,29,29,2544,28.3,9,4,13,9,0,0,3,0,,,,,,,,0.32,0.14,0.46,0.32,0.46,,,,,,Matches
Henrikh Mkhitaryan,Inter,2010-2011,21,Met Donetsk,ua UKR,1. Premier League,8th,8,8,720,8.0,3,1,4,2,1,1,0,0,,,,,,,,0.37,0.12,0.50,0.25,0.37,,,,,,Matches
Henrikh Mkhitaryan,Inter,2010-2011,21,Shakhtar,ua UKR,1. Premier League,1st,17,12,1161,12.9,3,0,3,3,0,0,2,0,,,,,,,,0.23,0.00,0.23,0.23,0.23,,,,,,Matches
Henrikh Mkhitaryan,Inter,2011-2012,22,Shakhtar,ua UKR,1. Premier League,1st,26,22,1985,22.1,10,5,15,10,0,0,3,0,,,,,,,,0.45,0.23,0.68,0.45,0.68,,,,,,Matches
Henrikh Mkhitaryan,Inter,2012-2013,23,Shakhtar,ua UKR,1. Premier League,1st,29,27,2507,27.9,25,8,33,24,1,1,5,0,,,,,,,,0.90,0.29,1.18,0.86,1.15,,,,,,Matches
Henrikh Mkhitaryan,Inter,2013-2014,24,Dortmund,de GER,1. Bundesliga,2nd,31,29,2435,27.1,9,9,18,9,0,0,6,0,,,,,,,,0.33,0.33,0.67,0.33,0.67,,,,,,Matches
Henrikh Mkhitaryan,Inter,2014-2015,25,Dortmund,de GER,1. Bundesliga,7th,28,21,1921,21.3,3,4,7,3,0,0,4,0,,,,,,,,0.14,0.19,0.33,0.14,0.33,,,,,,Matches
Henrikh Mkhitaryan,Inter,2015-2016,26,Dortmund,de GER,1. Bundesliga,2nd,31,28,2571,28.6,11,15,26,11,0,0,5,0,,,,,,,,0.39,0.53,0.91,0.39,0.91,,,,,,Matches
Henrikh Mkhitaryan,Inter,2016-2017,27,Manchester Utd,eng ENG,1. Premier League,6th,24,15,1348,15.0,4,1,5,4,0,0,1,0,,,,,,,,0.27,0.07,0.33,0.27,0.33,,,,,,Matches
Henrikh Mkhitaryan,Inter,2017-2018,28,Manchester Utd,eng ENG,1. Premier League,2nd,15,11,922,10.2,1,5,6,1,0,0,2,0,0.8,0.8,3.0,3.8,40,61,69,0.10,0.49,0.59,0.10,0.59,0.07,0.29,0.37,0.07,0.37,Matches
Henrikh Mkhitaryan,Inter,2017-2018,28,Arsenal,eng ENG,1. Premier League,6th,11,9,794,8.8,2,4,6,2,0,0,0,0,1.5,1.5,2.8,4.2,34,55,81,0.23,0.45,0.68,0.23,0.68,0.17,0.31,0.48,0.17,0.48,Matches
