Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Petar Sucic,Inter,2023-2024,19,Dinamo Zagreb,hr CRO,1. HNL,1st,25,16,1300,14.4,1,2,3,1,0,0,1,0,,,,,,,,0.07,0.14,0.21,0.07,0.21,,,,,,Matches
Petar Sucic,Inter,2024-2025,20,Dinamo Zagreb,hr CRO,1. HNL,2nd,26,20,1877,20.9,5,2,7,5,0,0,1,0,,,,,,,,0.24,0.10,0.34,0.24,0.34,,,,,,Matches
Petar Sucic,Inter,2025-2026,21,Inter,it ITA,1. Serie A,1st,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,7,5,0.00,1.00,1.00,0.00,1.00,0.10,0.19,0.29,0.10,0.29,Matches
Petar Sucic,Inter,3 Seasons,3 Seasons,2 Clubs,,2 Leagues,,52,37,3267,36.3,6,5,11,6,0,0,2,0,0.1,0.1,0.2,0.3,2,7,5,0.17,0.14,0.30,0.17,0.30,0.10,0.19,0.29,0.10,0.29,
Petar Sucic,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Petar Sucic,Inter,Dinamo Zagreb (2 Seasons),Dinamo Zagreb (2 Seasons),Dinamo Zagreb (2 Seasons),,1 League,,51,36,3177,35.3,6,4,10,6,0,0,2,0,,,,,,,,0.17,0.11,0.28,0.17,0.28,,,,,,
Petar Sucic,Inter,Inter (1 Season),Inter (1 Season),Inter (1 Season),,1 League,,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,7,5,0.00,1.00,1.00,0.00,1.00,0.10,0.19,0.29,0.10,0.29,
Petar Sucic,Inter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Petar Sucic,Inter,HNL (2 Seasons),HNL (2 Seasons),HNL (2 Seasons),,,,51,36,3177,35.3,6,4,10,6,0,0,2,0,,,,,,,,0.17,0.11,0.28,0.17,0.28,,,,,,
Petar Sucic,Inter,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,90,1.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,2,7,5,0.00,1.00,1.00,0.00,1.00,0.10,0.19,0.29,0.10,0.29,
