Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Piotr Zieliński,Inter,2012-2013,18,Udinese,it ITA,1. Serie A,5th,9,4,318,3.5,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.28,0.28,0.00,0.28,,,,,,Matches
Piotr Zieliński,Inter,2013-2014,19,Udinese,it ITA,1. Serie A,13th,10,0,136,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Piotr Zieliński,Inter,2014-2015,20,Empoli,it ITA,1. Serie A,15th,28,7,1050,11.7,0,3,3,0,0,0,3,0,,,,,,,,0.00,0.26,0.26,0.00,0.26,,,,,,Matches
Piotr Zieliński,Inter,2015-2016,21,Empoli,it ITA,1. Serie A,10th,35,35,3026,33.6,5,4,9,5,0,0,7,1,,,,,,,,0.15,0.12,0.27,0.15,0.27,,,,,,Matches
Piotr Zieliński,Inter,2016-2017,22,Napoli,it ITA,1. Serie A,3rd,36,18,1868,20.8,5,7,12,5,0,0,4,0,,,,,,,,0.24,0.34,0.58,0.24,0.58,,,,,,Matches
Piotr Zieliński,Inter,2017-2018,23,Napoli,it ITA,1. Serie A,2nd,36,14,1667,18.5,4,1,5,4,0,0,3,0,2.5,2.5,2.7,5.2,73,149,112,0.22,0.05,0.27,0.22,0.27,0.13,0.15,0.28,0.13,0.28,Matches
Piotr Zieliński,Inter,2018-2019,24,Napoli,it ITA,1. Serie A,2nd,36,33,2875,31.9,6,2,8,6,0,0,6,0,5.5,5.5,4.8,10.3,134,249,197,0.19,0.06,0.25,0.19,0.25,0.17,0.15,0.32,0.17,0.32,Matches
Piotr Zieliński,Inter,2019-2020,25,Napoli,it ITA,1. Serie A,7th,37,32,2924,32.5,2,4,6,2,0,0,4,0,4.1,4.1,3.7,7.8,134,282,153,0.06,0.12,0.18,0.06,0.18,0.13,0.12,0.24,0.13,0.24,Matches
Piotr Zieliński,Inter,2020-2021,26,Napoli,it ITA,1. Serie A,5th,36,32,2523,28.0,8,10,18,8,0,0,2,0,5.3,5.3,5.2,10.5,93,154,157,0.29,0.36,0.64,0.29,0.64,0.19,0.18,0.37,0.19,0.37,Matches
Piotr Zieliński,Inter,2021-2022,27,Napoli,it ITA,1. Serie A,3rd,35,26,2086,23.2,6,5,11,6,0,0,1,0,3.4,3.4,3.9,7.2,50,128,95,0.26,0.22,0.47,0.26,0.47,0.15,0.17,0.31,0.15,0.31,Matches
Piotr Zieliński,Inter,2022-2023,28,Napoli,it ITA,1. Serie A,1st,37,27,2287,25.4,3,8,11,3,0,0,3,0,3.5,3.5,7.4,10.9,62,128,129,0.12,0.31,0.43,0.12,0.43,0.14,0.29,0.43,0.14,0.43,Matches
Piotr Zieliński,Inter,2023-2024,29,Napoli,it ITA,1. Serie A,10th,28,23,1924,21.4,3,2,5,2,1,1,1,0,2.6,1.8,3.4,5.2,38,131,88,0.14,0.09,0.23,0.09,0.19,0.12,0.16,0.28,0.08,0.24,Matches
Piotr Zieliński,Inter,2024-2025,30,Inter,it ITA,1. Serie A,2nd,26,8,980,10.9,2,2,4,0,2,2,0,0,2.6,1.1,0.9,2.0,26,65,24,0.18,0.18,0.37,0.00,0.18,0.24,0.08,0.32,0.10,0.18,Matches
Piotr Zieliński,Inter,2025-2026,31,Inter,it ITA,1. Serie A,1st,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Piotr Zieliński,Inter,14 Seasons,14 Seasons,4 Clubs,,1 League,,390,259,23676,263.1,44,49,93,41,3,3,35,1,29.5,27.1,31.9,59.1,610,1286,956,0.17,0.19,0.35,0.16,0.34,0.15,0.17,0.32,0.14,0.31,
Piotr Zieliński,Inter,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Piotr Zieliński,Inter,Napoli (8 Seasons),Napoli (8 Seasons),Napoli (8 Seasons),,1 League,,281,205,18154,201.7,37,39,76,36,1,1,24,0,26.9,26.1,31.0,57.1,584,1221,931,0.18,0.19,0.38,0.18,0.37,0.15,0.17,0.32,0.14,0.32,
Piotr Zieliński,Inter,Empoli (2 Seasons),Empoli (2 Seasons),Empoli (2 Seasons),,1 League,,63,42,4076,45.3,5,7,12,5,0,0,10,1,,,,,,,,0.11,0.15,0.26,0.11,0.26,,,,,,
Piotr Zieliński,Inter,Inter (2 Seasons),Inter (2 Seasons),Inter (2 Seasons),,1 League,,27,8,992,11.0,2,2,4,0,2,2,0,0,2.6,1.1,0.9,2.0,26,65,25,0.18,0.18,0.36,0.00,0.18,0.24,0.08,0.32,0.10,0.18,
Piotr Zieliński,Inter,Udinese (2 Seasons),Udinese (2 Seasons),Udinese (2 Seasons),,1 League,,19,4,454,5.0,0,1,1,0,0,0,1,0,,,,,,,,0.00,0.20,0.20,0.00,0.20,,,,,,
