Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dušan Vlahović,Juventus,2015-2016,15,Partizan,rs SRB,1. SuperLiga,2nd,14,0,300,3.3,1,1,2,1,0,0,2,0,,,,,,,,0.30,0.30,0.60,0.30,0.60,,,,,,Matches
Dušan Vlahović,Juventus,2016-2017,16,Partizan,rs SRB,1. SuperLiga,1st,7,1,125,1.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Dušan Vlahović,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dušan Vlahović,Juventus,2018-2019,18,Fiorentina,it ITA,1. Serie A,16th,10,1,160,1.8,0,0,0,0,0,0,0,0,1.5,1.5,0.1,1.6,4,3,20,0.00,0.00,0.00,0.00,0.00,0.83,0.08,0.91,0.83,0.91,Matches
Dušan Vlahović,Juventus,2019-2020,19,Fiorentina,it ITA,1. Serie A,10th,30,13,1499,16.7,6,0,6,5,1,1,4,1,7.0,6.2,0.9,7.1,42,23,129,0.36,0.00,0.36,0.30,0.30,0.42,0.05,0.47,0.37,0.43,Matches
Dušan Vlahović,Juventus,2020-2021,20,Fiorentina,it ITA,1. Serie A,13th,37,34,2923,32.5,21,3,24,15,6,6,1,0,18.5,13.8,2.2,16.0,36,31,213,0.65,0.09,0.74,0.46,0.55,0.57,0.07,0.64,0.43,0.49,Matches
Dušan Vlahović,Juventus,2021-2022,21,Fiorentina,it ITA,1. Serie A,7th,21,21,1857,20.6,17,2,19,12,5,6,2,0,12.9,8.2,1.8,9.9,18,40,138,0.82,0.10,0.92,0.58,0.68,0.62,0.09,0.71,0.40,0.48,Matches
Dušan Vlahović,Juventus,2021-2022,21,Juventus,it ITA,1. Serie A,4th,15,12,1076,12.0,7,1,8,7,0,0,2,0,5.2,5.2,1.1,6.3,15,16,113,0.59,0.08,0.67,0.59,0.67,0.44,0.09,0.53,0.44,0.53,Matches
Dušan Vlahović,Juventus,2022-2023,22,Juventus,it ITA,1. Serie A,7th,27,22,1925,21.4,10,2,12,8,2,3,1,0,9.7,7.3,2.4,9.8,22,40,117,0.47,0.09,0.56,0.37,0.47,0.45,0.11,0.57,0.34,0.46,Matches
Dušan Vlahović,Juventus,2023-2024,23,Juventus,it ITA,1. Serie A,3rd,33,27,2307,25.6,16,4,20,14,2,4,8,1,16.6,13.3,2.3,15.6,36,46,174,0.62,0.16,0.78,0.55,0.70,0.65,0.09,0.74,0.52,0.61,Matches
Dušan Vlahović,Juventus,2024-2025,24,Juventus,it ITA,1. Serie A,4th,29,21,1784,19.8,10,4,14,6,4,4,3,0,12.3,9.2,1.3,10.5,27,22,117,0.50,0.20,0.71,0.30,0.50,0.62,0.07,0.69,0.46,0.53,Matches
Dušan Vlahović,Juventus,2025-2026,25,Juventus,it ITA,1. Serie A,2nd,1,0,11,0.1,1,0,1,1,0,0,0,0,0.5,0.5,0.0,0.5,0,1,1,8.18,0.00,8.18,8.18,8.18,4.28,0.00,4.28,4.28,4.28,Matches
Dušan Vlahović,Juventus,10 Seasons,10 Seasons,3 Clubs,,2 Leagues,,224,152,13967,155.2,89,17,106,69,20,24,23,2,84.2,65.2,12.1,77.3,200,222,1022,0.57,0.11,0.68,0.44,0.55,0.56,0.08,0.64,0.43,0.51,
Dušan Vlahović,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Dušan Vlahović,Juventus,Juventus (5 Seasons),Juventus (5 Seasons),Juventus (5 Seasons),,1 League,,105,82,7103,78.9,44,11,55,36,8,11,14,1,44.3,35.6,7.1,42.7,100,125,522,0.56,0.14,0.70,0.46,0.60,0.56,0.09,0.65,0.45,0.54,
