Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Gatti,Juventus,2021-2022,23,Frosinone,it ITA,2. Serie B,9th,35,35,3085,34.3,5,2,7,5,0,0,13,1,3.5,3.5,1.5,5.0,51,134,7,0.15,0.06,0.20,0.15,0.20,0.10,0.04,0.14,0.10,0.14,Matches
Federico Gatti,Juventus,2022-2023,24,Juventus,it ITA,1. Serie A,7th,18,16,1448,16.1,0,0,0,0,0,0,4,0,0.6,0.6,1.5,2.0,18,56,13,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.13,0.03,0.13,Matches
Federico Gatti,Juventus,2023-2024,25,Juventus,it ITA,1. Serie A,3rd,32,30,2637,29.3,4,0,4,4,0,0,7,0,5.5,5.5,1.5,7.0,52,122,43,0.14,0.00,0.14,0.14,0.14,0.19,0.05,0.24,0.19,0.24,Matches
Federico Gatti,Juventus,2024-2025,26,Juventus,it ITA,1. Serie A,4th,30,26,2195,24.4,1,0,1,1,0,0,2,0,2.5,2.5,0.5,2.9,24,73,6,0.04,0.00,0.04,0.04,0.04,0.10,0.02,0.12,0.10,0.12,Matches
Federico Gatti,Juventus,2025-2026,27,Juventus,it ITA,1. Serie A,2nd,1,1,56,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,3,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Federico Gatti,Juventus,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,116,108,9421,104.7,10,2,12,10,0,0,27,1,12.0,12.0,4.9,16.9,147,388,70,0.10,0.02,0.11,0.10,0.11,0.11,0.05,0.16,0.11,0.16,
Federico Gatti,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Federico Gatti,Juventus,Juventus (4 Seasons),Juventus (4 Seasons),Juventus (4 Seasons),,1 League,,81,73,6336,70.4,5,0,5,5,0,0,14,0,8.5,8.5,3.4,12.0,96,254,63,0.07,0.00,0.07,0.07,0.07,0.12,0.05,0.17,0.12,0.17,
Federico Gatti,Juventus,Frosinone (1 Season),Frosinone (1 Season),Frosinone (1 Season),,1 League,,35,35,3085,34.3,5,2,7,5,0,0,13,1,3.5,3.5,1.5,5.0,51,134,7,0.15,0.06,0.20,0.15,0.20,0.10,0.04,0.14,0.10,0.14,
Federico Gatti,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Federico Gatti,Juventus,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,81,73,6336,70.4,5,0,5,5,0,0,14,0,8.5,8.5,3.4,12.0,96,254,63,0.07,0.00,0.07,0.07,0.07,0.12,0.05,0.17,0.12,0.17,
Federico Gatti,Juventus,Serie B (1 Season),Serie B (1 Season),Serie B (1 Season),,,,35,35,3085,34.3,5,2,7,5,0,0,13,1,3.5,3.5,1.5,5.0,51,134,7,0.15,0.06,0.20,0.15,0.20,0.10,0.04,0.14,0.10,0.14,
