Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Francisco Conceição,Juventus,2020-2021,17,Porto,pt POR,1. Primeira Liga,2nd,14,1,223,2.5,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,15,8,22,0.00,0.00,0.00,0.00,0.00,0.11,0.01,0.12,0.11,0.12,Matches
Francisco Conceição,Juventus,2021-2022,18,Porto,pt POR,1. Primeira Liga,1st,25,1,491,5.5,2,1,3,2,0,0,1,0,2.8,2.8,2.1,4.9,29,28,73,0.37,0.18,0.55,0.37,0.55,0.50,0.39,0.89,0.50,0.89,Matches
Francisco Conceição,Juventus,2022-2023,19,Ajax,nl NED,1. Eredivisie,3rd,19,4,525,5.8,0,3,3,0,0,0,3,0,1.9,1.9,2.0,3.9,36,37,88,0.00,0.51,0.51,0.00,0.51,0.33,0.35,0.67,0.33,0.67,Matches
Francisco Conceição,Juventus,2022-2023,19,Jong Ajax,nl NED,2. Eerste Divisie,13th,7,7,485,5.4,5,0,5,5,0,0,1,0,,,,,,,,0.93,0.00,0.93,0.93,0.93,,,,,,Matches
Francisco Conceição,Juventus,2023-2024,20,Porto,pt POR,1. Primeira Liga,3rd,27,21,1888,21.0,5,4,9,5,0,0,11,1,5.7,5.7,6.4,12.1,128,87,263,0.24,0.19,0.43,0.24,0.43,0.27,0.30,0.58,0.27,0.58,Matches
Francisco Conceição,Juventus,2024-2025,21,Juventus,it ITA,1. Serie A,4th,26,12,1340,14.9,3,3,6,3,0,0,5,1,2.3,2.3,4.3,6.6,95,35,143,0.20,0.20,0.40,0.20,0.40,0.16,0.29,0.45,0.16,0.45,Matches
Francisco Conceição,Juventus,2025-2026,22,Juventus,it ITA,1. Serie A,2nd,1,1,79,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,3,8,0.00,0.00,0.00,0.00,0.00,0.19,0.14,0.33,0.19,0.33,Matches
Francisco Conceição,Juventus,6 Seasons,6 Seasons,4 Clubs,,4 Leagues,,119,47,5031,55.9,15,11,26,15,0,0,22,2,13.2,13.2,15.0,28.1,307,198,597,0.27,0.20,0.47,0.27,0.47,0.26,0.30,0.56,0.26,0.56,
Francisco Conceição,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Francisco Conceição,Juventus,Porto (3 Seasons),Porto (3 Seasons),Porto (3 Seasons),,1 League,,66,23,2602,28.9,7,5,12,7,0,0,13,1,8.8,8.8,8.5,17.3,172,123,358,0.24,0.17,0.42,0.24,0.42,0.30,0.29,0.60,0.30,0.60,
Francisco Conceição,Juventus,Juventus (2 Seasons),Juventus (2 Seasons),Juventus (2 Seasons),,1 League,,27,13,1419,15.8,3,3,6,3,0,0,5,1,2.5,2.5,4.4,6.9,99,38,151,0.19,0.19,0.38,0.19,0.38,0.16,0.28,0.44,0.16,0.44,
Francisco Conceição,Juventus,Ajax (1 Season),Ajax (1 Season),Ajax (1 Season),,1 League,,19,4,525,5.8,0,3,3,0,0,0,3,0,1.9,1.9,2.0,3.9,36,37,88,0.00,0.51,0.51,0.00,0.51,0.33,0.35,0.67,0.33,0.67,
Francisco Conceição,Juventus,Jong Ajax (1 Season),Jong Ajax (1 Season),Jong Ajax (1 Season),,1 League,,7,7,485,5.4,5,0,5,5,0,0,1,0,,,,,,,,0.93,0.00,0.93,0.93,0.93,,,,,,
Francisco Conceição,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Francisco Conceição,Juventus,Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),Primeira Liga (3 Seasons),,,,66,23,2602,28.9,7,5,12,7,0,0,13,1,8.8,8.8,8.5,17.3,172,123,358,0.24,0.17,0.42,0.24,0.42,0.30,0.29,0.60,0.30,0.60,
Francisco Conceição,Juventus,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,27,13,1419,15.8,3,3,6,3,0,0,5,1,2.5,2.5,4.4,6.9,99,38,151,0.19,0.19,0.38,0.19,0.38,0.16,0.28,0.44,0.16,0.44,
Francisco Conceição,Juventus,Eredivisie (1 Season),Eredivisie (1 Season),Eredivisie (1 Season),,,,19,4,525,5.8,0,3,3,0,0,0,3,0,1.9,1.9,2.0,3.9,36,37,88,0.00,0.51,0.51,0.00,0.51,0.33,0.35,0.67,0.33,0.67,
Francisco Conceição,Juventus,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,,7,7,485,5.4,5,0,5,5,0,0,1,0,,,,,,,,0.93,0.00,0.93,0.93,0.93,,,,,,
