Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kenan Yıldız,Juventus,2021-2022,16,Bayern Munich,de GER,Jr. U17 Bundesliga,12th,7,7,618,6.9,4,,,4,0,0,0,0,,,,,,,,0.58,,,0.58,,,,,,,Matches
Kenan Yıldız,Juventus,2021-2022,16,Bayern Munich,de GER,Jr. U19 Bundesliga,19th,8,6,530,5.9,2,,,2,0,0,0,0,,,,,,,,0.34,,,0.34,,,,,,,Matches
Kenan Yıldız,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenan Yıldız,Juventus,2023-2024,18,Juventus,it ITA,1. Serie A,3rd,27,9,952,10.6,2,0,2,2,0,0,3,0,1.6,1.6,1.1,2.7,32,40,73,0.19,0.00,0.19,0.19,0.19,0.15,0.10,0.26,0.15,0.26,Matches
Kenan Yıldız,Juventus,2024-2025,19,Juventus,it ITA,1. Serie A,4th,35,28,2402,26.7,7,4,11,7,0,0,2,1,4.3,4.3,5.0,9.3,115,121,223,0.26,0.15,0.41,0.26,0.41,0.16,0.19,0.35,0.16,0.35,Matches
Kenan Yıldız,Juventus,2025-2026,20,Juventus,it ITA,1. Serie A,2nd,1,1,88,1.0,0,2,2,0,0,0,0,0,0.1,0.1,0.8,0.9,5,2,11,0.00,2.05,2.05,0.00,2.05,0.15,0.81,0.96,0.15,0.96,Matches
Kenan Yıldız,Juventus,3 Seasons,3 Seasons,1 Club,,1 League,,63,38,3442,38.2,9,6,15,9,0,0,5,1,6.1,6.1,6.9,13.0,152,163,307,0.24,0.16,0.39,0.24,0.39,0.16,0.18,0.34,0.16,0.34,
Kenan Yıldız,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Kenan Yıldız,Juventus,Juventus (3 Seasons),Juventus (3 Seasons),Juventus (3 Seasons),,1 League,,63,38,3442,38.2,9,6,15,9,0,0,5,1,6.1,6.1,6.9,13.0,152,163,307,0.24,0.16,0.39,0.24,0.39,0.16,0.18,0.34,0.16,0.34,
Kenan Yıldız,Juventus,Bayern Munich (1 Season),Bayern Munich (1 Season),Bayern Munich (1 Season),,1 League,,8,6,530,5.9,2,,,2,0,0,0,0,,,,,,,,0.34,,,0.34,,,,,,,
Kenan Yıldız,Juventus,Bayern Munich (1 Season),Bayern Munich (1 Season),Bayern Munich (1 Season),,1 League,,7,7,618,6.9,4,,,4,0,0,0,0,,,,,,,,0.58,,,0.58,,,,,,,
Kenan Yıldız,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kenan Yıldız,Juventus,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,63,38,3442,38.2,9,6,15,9,0,0,5,1,6.1,6.1,6.9,13.0,152,163,307,0.24,0.16,0.39,0.24,0.39,0.16,0.18,0.34,0.16,0.34,
Kenan Yıldız,Juventus,U19 Bundesliga (1 Season),U19 Bundesliga (1 Season),U19 Bundesliga (1 Season),,,,8,6,530,5.9,2,,,2,0,0,0,0,,,,,,,,0.34,,,0.34,,,,,,,
Kenan Yıldız,Juventus,U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),,,,7,7,618,6.9,4,,,4,0,0,0,0,,,,,,,,0.58,,,0.58,,,,,,,
