Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Teun Koopmeiners,Juventus,2017-2018,19,Jong AZ,nl NED,2. Eerste Divisie,16th,8,7,656,7.3,1,1,2,1,0,0,2,0,,,,,,,,0.14,0.14,0.27,0.14,0.27,,,,,,Matches
Teun Koopmeiners,Juventus,2017-2018,19,AZ Alkmaar,nl NED,1. Eredivisie,3rd,26,25,2191,24.3,1,4,5,1,0,0,2,0,,,,,,,,0.04,0.16,0.21,0.04,0.21,,,,,,Matches
Teun Koopmeiners,Juventus,2018-2019,20,AZ Alkmaar,nl NED,1. Eredivisie,4th,32,32,2880,32.0,8,1,9,4,4,4,5,0,4.7,1.6,3.5,5.1,56,228,23,0.25,0.03,0.28,0.12,0.16,0.15,0.11,0.26,0.05,0.16,Matches
Teun Koopmeiners,Juventus,2019-2020,21,AZ Alkmaar,nl NED,1. Eredivisie,2nd,25,25,2215,24.6,11,2,13,2,9,10,4,0,9.0,1.2,2.5,3.7,34,213,40,0.45,0.08,0.53,0.08,0.16,0.37,0.10,0.47,0.05,0.15,Matches
Teun Koopmeiners,Juventus,2020-2021,22,AZ Alkmaar,nl NED,1. Eredivisie,3rd,31,31,2704,30.0,15,5,20,8,7,10,2,1,11.3,3.5,3.2,6.7,57,222,42,0.50,0.17,0.67,0.27,0.43,0.38,0.11,0.49,0.11,0.22,Matches
Teun Koopmeiners,Juventus,2021-2022,23,AZ Alkmaar,nl NED,1. Eredivisie,5th,2,1,121,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,1,13,3,0.00,0.00,0.00,0.00,0.00,0.02,0.30,0.33,0.02,0.33,Matches
Teun Koopmeiners,Juventus,2021-2022,23,Atalanta,it ITA,1. Serie A,8th,30,23,2126,23.6,4,1,5,4,0,0,4,0,1.7,1.7,5.3,6.9,38,162,81,0.17,0.04,0.21,0.17,0.21,0.07,0.22,0.29,0.07,0.29,Matches
Teun Koopmeiners,Juventus,2022-2023,24,Atalanta,it ITA,1. Serie A,5th,33,32,2858,31.8,10,4,14,8,2,4,7,0,7.6,4.3,6.4,10.7,60,186,106,0.31,0.13,0.44,0.25,0.38,0.24,0.20,0.44,0.14,0.34,Matches
Teun Koopmeiners,Juventus,2023-2024,25,Atalanta,it ITA,1. Serie A,4th,34,29,2627,29.2,12,5,17,10,2,2,5,0,6.5,5.0,5.9,10.9,79,169,190,0.41,0.17,0.58,0.34,0.51,0.22,0.20,0.43,0.17,0.37,Matches
Teun Koopmeiners,Juventus,2024-2025,26,Juventus,it ITA,1. Serie A,4th,28,23,1994,22.2,3,3,6,3,0,0,3,0,3.8,3.8,2.9,6.7,32,89,127,0.14,0.14,0.27,0.14,0.27,0.17,0.13,0.30,0.17,0.30,Matches
Teun Koopmeiners,Juventus,2025-2026,27,Juventus,it ITA,1. Serie A,2nd,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Teun Koopmeiners,Juventus,9 Seasons,9 Seasons,4 Clubs,,3 Leagues,,250,228,20406,226.7,65,26,91,41,24,30,34,1,44.8,20.9,30.2,51.1,357,1284,613,0.29,0.11,0.40,0.18,0.30,0.23,0.15,0.38,0.11,0.26,
Teun Koopmeiners,Juventus,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Teun Koopmeiners,Juventus,AZ Alkmaar (5 Seasons),AZ Alkmaar (5 Seasons),AZ Alkmaar (5 Seasons),,1 League,,116,114,10111,112.3,35,12,47,15,20,24,13,1,25.1,6.2,9.7,15.9,148,676,108,0.31,0.11,0.42,0.13,0.24,0.29,0.11,0.40,0.07,0.18,
Teun Koopmeiners,Juventus,Atalanta (3 Seasons),Atalanta (3 Seasons),Atalanta (3 Seasons),,1 League,,97,84,7611,84.6,26,10,36,22,4,6,16,0,15.8,10.9,17.6,28.5,177,517,377,0.31,0.12,0.43,0.26,0.38,0.19,0.21,0.39,0.13,0.34,
Teun Koopmeiners,Juventus,Juventus (2 Seasons),Juventus (2 Seasons),Juventus (2 Seasons),,1 League,,29,23,2028,22.5,3,3,6,3,0,0,3,0,3.8,3.8,2.9,6.7,32,91,128,0.13,0.13,0.27,0.13,0.27,0.17,0.13,0.30,0.17,0.30,
Teun Koopmeiners,Juventus,Jong AZ (1 Season),Jong AZ (1 Season),Jong AZ (1 Season),,1 League,,8,7,656,7.3,1,1,2,1,0,0,2,0,,,,,,,,0.14,0.14,0.27,0.14,0.27,,,,,,
Teun Koopmeiners,Juventus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teun Koopmeiners,Juventus,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,126,107,9639,107.1,29,13,42,25,4,6,19,0,19.6,14.7,20.5,35.1,209,608,505,0.27,0.12,0.39,0.23,0.35,0.18,0.19,0.37,0.14,0.33,
Teun Koopmeiners,Juventus,Eredivisie (5 Seasons),Eredivisie (5 Seasons),Eredivisie (5 Seasons),,,,116,114,10111,112.3,35,12,47,15,20,24,13,1,25.1,6.2,9.7,15.9,148,676,108,0.31,0.11,0.42,0.13,0.24,0.29,0.11,0.40,0.07,0.18,
Teun Koopmeiners,Juventus,Eerste Divisie (1 Season),Eerste Divisie (1 Season),Eerste Divisie (1 Season),,,,8,7,656,7.3,1,1,2,1,0,0,2,0,,,,,,,,0.14,0.14,0.27,0.14,0.27,,,,,,
