Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Adam Marušić,Lazio,2013-2014,20,Voždovac,rs SRB,1. SuperLiga,7th,27,24,2116,23.5,6,2,8,6,0,0,1,1,,,,,,,,0.26,0.09,0.34,0.26,0.34,,,,,,
Adam Marušić,Lazio,2014-2015,21,Kortrijk,be BEL,1. Pro League,6th,34,27,2385,26.5,6,3,9,6,0,0,8,1,,,,,,,,0.23,0.11,0.34,0.23,0.34,,,,,,Matches
Adam Marušić,Lazio,2015-2016,22,Kortrijk,be BEL,1. Pro League,7th,35,31,2833,31.5,4,0,4,3,1,2,6,0,,,,,,,,0.13,0.00,0.13,0.10,0.10,,,,,,Matches
Adam Marušić,Lazio,2016-2017,23,Oostende,be BEL,1. First Division A,4th,35,33,2999,33.3,5,4,9,5,0,0,6,0,,,,,,,,0.15,0.12,0.27,0.15,0.27,,,,,,Matches
Adam Marušić,Lazio,2017-2018,24,Lazio,it ITA,1. Serie A,5th,32,28,2523,28.0,3,4,7,3,0,0,3,1,3.1,3.1,3.3,6.4,104,67,229,0.11,0.14,0.25,0.11,0.25,0.11,0.12,0.23,0.11,0.23,Matches
Adam Marušić,Lazio,2018-2019,25,Lazio,it ITA,1. Serie A,8th,26,24,2111,23.5,1,1,2,1,0,0,2,1,1.0,1.0,1.3,2.3,67,59,141,0.04,0.04,0.09,0.04,0.09,0.04,0.05,0.10,0.04,0.10,Matches
Adam Marušić,Lazio,2019-2020,26,Lazio,it ITA,1. Serie A,4th,15,10,942,10.5,2,1,3,2,0,0,3,0,1.9,1.9,0.6,2.4,11,9,64,0.19,0.10,0.29,0.19,0.29,0.18,0.05,0.23,0.18,0.23,Matches
Adam Marušić,Lazio,2020-2021,27,Lazio,it ITA,1. Serie A,6th,36,33,2966,33.0,2,3,5,2,0,0,3,0,2.2,2.2,2.2,4.4,53,92,201,0.06,0.09,0.15,0.06,0.15,0.07,0.07,0.13,0.07,0.13,Matches
Adam Marušić,Lazio,2021-2022,28,Lazio,it ITA,1. Serie A,5th,33,30,2721,30.2,1,0,1,1,0,0,6,1,0.2,0.2,0.5,0.7,52,111,73,0.03,0.00,0.03,0.03,0.03,0.01,0.02,0.02,0.01,0.02,Matches
Adam Marušić,Lazio,2022-2023,29,Lazio,it ITA,1. Serie A,2nd,33,31,2760,30.7,0,2,2,0,0,0,8,1,0.7,0.7,1.1,1.8,38,116,43,0.00,0.07,0.07,0.00,0.07,0.02,0.03,0.06,0.02,0.06,Matches
Adam Marušić,Lazio,2023-2024,30,Lazio,it ITA,1. Serie A,7th,37,37,3100,34.4,1,0,1,1,0,0,3,1,0.4,0.4,0.8,1.2,35,118,108,0.03,0.00,0.03,0.03,0.03,0.01,0.02,0.04,0.01,0.04,Matches
Adam Marušić,Lazio,2024-2025,31,Lazio,it ITA,1. Serie A,7th,35,26,2337,26.0,4,0,4,4,0,0,1,0,2.0,2.0,0.6,2.6,23,84,108,0.15,0.00,0.15,0.15,0.15,0.08,0.02,0.10,0.08,0.10,Matches
Adam Marušić,Lazio,2025-2026,32,Lazio,it ITA,1. Serie A,17th,1,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Adam Marušić,Lazio,13 Seasons,13 Seasons,4 Clubs,,3 Leagues,,379,334,29823,331.4,35,20,55,34,1,2,50,7,11.5,11.5,10.3,21.8,383,656,968,0.11,0.06,0.17,0.10,0.16,0.05,0.05,0.10,0.05,0.10,
