Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Boulaye Dia,Lazio,2018-2019,21,Reims,fr FRA,1. Ligue 1,8th,18,8,747,8.3,3,0,3,3,0,0,2,0,3.7,3.7,0.8,4.5,20,12,63,0.36,0.00,0.36,0.36,0.36,0.44,0.09,0.54,0.44,0.54,Matches
Boulaye Dia,Lazio,2019-2020,22,Reims,fr FRA,1. Ligue 1,6th,24,21,1812,20.1,7,1,8,6,1,1,0,0,5.7,5.0,2.8,7.8,32,21,115,0.35,0.05,0.40,0.30,0.35,0.29,0.14,0.42,0.25,0.39,Matches
Boulaye Dia,Lazio,2020-2021,23,Reims,fr FRA,1. Ligue 1,14th,36,35,2930,32.6,14,1,15,9,5,5,2,0,12.5,8.6,1.8,10.4,68,56,163,0.43,0.03,0.46,0.28,0.31,0.39,0.06,0.44,0.26,0.32,Matches
Boulaye Dia,Lazio,2021-2022,24,Villarreal,es ESP,1. La Liga,7th,25,13,1269,14.1,5,5,10,5,0,0,3,0,5.4,5.4,2.4,7.8,22,16,93,0.35,0.35,0.71,0.35,0.71,0.39,0.17,0.56,0.39,0.56,Matches
Boulaye Dia,Lazio,2022-2023,25,Salernitana,it ITA,1. Serie A,15th,33,27,2518,28.0,16,6,22,15,1,1,4,0,8.8,8.0,3.1,11.1,48,50,140,0.57,0.21,0.79,0.54,0.75,0.31,0.11,0.43,0.29,0.40,Matches
Boulaye Dia,Lazio,2023-2024,26,Salernitana,it ITA,1. Serie A,20th,17,12,1143,12.7,4,0,4,3,1,1,1,0,3.9,3.1,0.5,3.6,18,22,57,0.31,0.00,0.31,0.24,0.24,0.31,0.04,0.35,0.24,0.28,Matches
Boulaye Dia,Lazio,2024-2025,27,Lazio,it ITA,1. Serie A,7th,35,27,2177,24.2,9,3,12,9,0,0,2,0,7.1,7.1,4.2,11.3,23,51,114,0.37,0.12,0.50,0.37,0.50,0.29,0.17,0.47,0.29,0.47,Matches
Boulaye Dia,Lazio,2025-2026,28,Lazio,it ITA,1. Serie A,17th,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Boulaye Dia,Lazio,8 Seasons,8 Seasons,4 Clubs,,3 Leagues,,189,143,12612,140.1,58,16,74,50,8,8,14,0,47.2,40.9,15.6,56.5,231,228,745,0.41,0.11,0.53,0.36,0.47,0.34,0.11,0.45,0.29,0.40,
Boulaye Dia,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Boulaye Dia,Lazio,Reims (3 Seasons),Reims (3 Seasons),Reims (3 Seasons),,1 League,,78,64,5489,61.0,24,2,26,18,6,6,4,0,22.0,17.2,5.4,22.7,120,89,341,0.39,0.03,0.43,0.30,0.33,0.36,0.09,0.45,0.28,0.37,
Boulaye Dia,Lazio,Salernitana (2 Seasons),Salernitana (2 Seasons),Salernitana (2 Seasons),,1 League,,50,39,3661,40.7,20,6,26,18,2,2,5,0,12.7,11.1,3.6,14.7,66,72,197,0.49,0.15,0.64,0.44,0.59,0.31,0.09,0.40,0.27,0.36,
Boulaye Dia,Lazio,Lazio (2 Seasons),Lazio (2 Seasons),Lazio (2 Seasons),,1 League,,36,27,2193,24.4,9,3,12,9,0,0,2,0,7.1,7.1,4.2,11.3,23,51,114,0.37,0.12,0.49,0.37,0.49,0.29,0.17,0.46,0.29,0.46,
Boulaye Dia,Lazio,Villarreal (1 Season),Villarreal (1 Season),Villarreal (1 Season),,1 League,,25,13,1269,14.1,5,5,10,5,0,0,3,0,5.4,5.4,2.4,7.8,22,16,93,0.35,0.35,0.71,0.35,0.71,0.39,0.17,0.56,0.39,0.56,
Boulaye Dia,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boulaye Dia,Lazio,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,86,66,5854,65.0,29,9,38,27,2,2,7,0,19.8,18.2,7.8,26.0,89,123,311,0.45,0.14,0.58,0.42,0.55,0.30,0.12,0.42,0.28,0.40,
Boulaye Dia,Lazio,Ligue 1 (3 Seasons),Ligue 1 (3 Seasons),Ligue 1 (3 Seasons),,,,78,64,5489,61.0,24,2,26,18,6,6,4,0,22.0,17.2,5.4,22.7,120,89,341,0.39,0.03,0.43,0.30,0.33,0.36,0.09,0.45,0.28,0.37,
Boulaye Dia,Lazio,La Liga (1 Season),La Liga (1 Season),La Liga (1 Season),,,,25,13,1269,14.1,5,5,10,5,0,0,3,0,5.4,5.4,2.4,7.8,22,16,93,0.35,0.35,0.71,0.35,0.71,0.39,0.17,0.56,0.39,0.56,
