Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Danilo Cataldi,Lazio,2013-2014,18,Crotone,it ITA,2. Serie B,6th,35,27,2496,27.7,4,0,4,4,0,0,9,0,,,,,,,,0.14,0.00,0.14,0.14,0.14,,,,,,
Danilo Cataldi,Lazio,2014-2015,19,Lazio,it ITA,1. Serie A,3rd,16,11,996,11.1,0,2,2,0,0,0,3,1,,,,,,,,0.00,0.18,0.18,0.00,0.18,,,,,,Matches
Danilo Cataldi,Lazio,2015-2016,20,Lazio,it ITA,1. Serie A,8th,20,16,1346,15.0,1,3,4,1,0,0,10,1,,,,,,,,0.07,0.20,0.27,0.07,0.27,,,,,,Matches
Danilo Cataldi,Lazio,2016-2017,21,Lazio,it ITA,1. Serie A,5th,11,5,662,7.4,1,1,2,1,0,0,3,1,,,,,,,,0.14,0.14,0.27,0.14,0.27,,,,,,Matches
Danilo Cataldi,Lazio,2016-2017,21,Genoa,it ITA,1. Serie A,16th,13,10,931,10.3,0,0,0,0,0,0,5,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Danilo Cataldi,Lazio,2017-2018,22,Benevento,it ITA,1. Serie A,20th,29,25,2282,25.4,1,4,5,1,0,0,11,1,1.5,1.5,2.3,3.8,49,135,66,0.04,0.16,0.20,0.04,0.20,0.06,0.09,0.15,0.06,0.15,Matches
Danilo Cataldi,Lazio,2018-2019,23,Lazio,it ITA,1. Serie A,8th,12,4,578,6.4,2,1,3,2,0,0,2,0,0.6,0.6,1.5,2.1,13,34,15,0.31,0.16,0.47,0.31,0.47,0.09,0.23,0.33,0.09,0.33,Matches
Danilo Cataldi,Lazio,2019-2020,24,Lazio,it ITA,1. Serie A,4th,21,3,592,6.6,1,0,1,1,0,0,3,0,0.5,0.5,0.7,1.2,12,58,7,0.15,0.00,0.15,0.15,0.15,0.07,0.11,0.18,0.07,0.18,Matches
Danilo Cataldi,Lazio,2020-2021,25,Lazio,it ITA,1. Serie A,6th,19,4,568,6.3,0,0,0,0,0,0,4,0,0.3,0.3,0.3,0.6,12,43,14,0.00,0.00,0.00,0.00,0.00,0.05,0.04,0.10,0.05,0.10,Matches
