Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fisayo Dele-Bashiru,Lazio,2019-2020,18,Manchester City,eng ENG,Jr. PL2 — Div. 1,9th,14,9,861,9.6,1,0,1,1,0,0,0,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,Matches
Fisayo Dele-Bashiru,Lazio,2020-2021,19,Sheffield Weds,eng ENG,2. Championship,24th,8,2,288,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,1,11,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Matches
Fisayo Dele-Bashiru,Lazio,2021-2022,20,Sheffield Weds,eng ENG,3. League One,4th,24,16,1409,15.7,1,1,2,1,0,0,0,0,,,,,,,,0.06,0.06,0.13,0.06,0.13,,,,,,Matches
Fisayo Dele-Bashiru,Lazio,2022-2023,21,Sheffield Weds,eng ENG,3. League One,3rd,33,12,1391,15.5,4,1,5,4,0,0,1,0,,,,,,,,0.26,0.06,0.32,0.26,0.32,,,,,,Matches
Fisayo Dele-Bashiru,Lazio,2023-2024,22,Hatayspor,tr TUR,1. Süper Lig,15th,36,34,3035,33.7,8,3,11,8,0,0,6,0,,,,,,,,0.24,0.09,0.33,0.24,0.33,,,,,,Matches
Fisayo Dele-Bashiru,Lazio,2024-2025,23,Lazio,it ITA,1. Serie A,7th,20,12,947,10.5,3,1,4,3,0,0,0,0,1.1,1.1,0.8,1.9,23,26,57,0.29,0.10,0.38,0.29,0.38,0.10,0.08,0.18,0.10,0.18,Matches
Fisayo Dele-Bashiru,Lazio,2025-2026,24,Lazio,it ITA,1. Serie A,17th,1,1,74,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Fisayo Dele-Bashiru,Lazio,6 Seasons,6 Seasons,3 Clubs,,4 Leagues,,122,77,7144,79.4,16,6,22,16,0,0,7,0,1.2,1.2,0.8,2.0,32,28,69,0.20,0.08,0.28,0.20,0.28,0.08,0.06,0.14,0.08,0.14,
Fisayo Dele-Bashiru,Lazio,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Fisayo Dele-Bashiru,Lazio,Sheffield Weds (3 Seasons),Sheffield Weds (3 Seasons),Sheffield Weds (3 Seasons),,2 Leagues,,65,30,3088,34.3,5,2,7,5,0,0,1,0,0.1,0.1,0.0,0.1,8,1,11,0.15,0.06,0.20,0.15,0.20,0.03,0.01,0.04,0.03,0.04,
Fisayo Dele-Bashiru,Lazio,Lazio (2 Seasons),Lazio (2 Seasons),Lazio (2 Seasons),,1 League,,21,13,1021,11.3,3,1,4,3,0,0,0,0,1.1,1.1,0.8,1.9,24,27,58,0.26,0.09,0.35,0.26,0.35,0.10,0.07,0.17,0.10,0.17,
Fisayo Dele-Bashiru,Lazio,Hatayspor (1 Season),Hatayspor (1 Season),Hatayspor (1 Season),,1 League,,36,34,3035,33.7,8,3,11,8,0,0,6,0,,,,,,,,0.24,0.09,0.33,0.24,0.33,,,,,,
Fisayo Dele-Bashiru,Lazio,Manchester City (1 Season),Manchester City (1 Season),Manchester City (1 Season),,1 League,,14,9,861,9.6,1,0,1,1,0,0,0,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,
Fisayo Dele-Bashiru,Lazio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fisayo Dele-Bashiru,Lazio,League One (2 Seasons),League One (2 Seasons),League One (2 Seasons),,,,57,28,2800,31.1,5,2,7,5,0,0,1,0,,,,,,,,0.16,0.06,0.23,0.16,0.23,,,,,,
Fisayo Dele-Bashiru,Lazio,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,21,13,1021,11.3,3,1,4,3,0,0,0,0,1.1,1.1,0.8,1.9,24,27,58,0.26,0.09,0.35,0.26,0.35,0.10,0.07,0.17,0.10,0.17,
Fisayo Dele-Bashiru,Lazio,Süper Lig (1 Season),Süper Lig (1 Season),Süper Lig (1 Season),,,,36,34,3035,33.7,8,3,11,8,0,0,6,0,,,,,,,,0.24,0.09,0.33,0.24,0.33,,,,,,
Fisayo Dele-Bashiru,Lazio,PL2 — Div. 1 (1 Season),PL2 — Div. 1 (1 Season),PL2 — Div. 1 (1 Season),,,,14,9,861,9.6,1,0,1,1,0,0,0,0,,,,,,,,0.10,0.00,0.10,0.10,0.10,,,,,,
Fisayo Dele-Bashiru,Lazio,Championship (1 Season),Championship (1 Season),Championship (1 Season),,,,8,2,288,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,8,1,11,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,
