Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Christ-Owen Kouassi,Lecce,2024-2025,21,Stade Laval,fr FRA,2. Ligue 2,7th,33,33,2918,32.4,2,1,3,2,0,0,7,1,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,Matches
Christ-Owen Kouassi,Lecce,2025-2026,22,Lecce,it ITA,1. Serie A,14th,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Christ-Owen Kouassi,Lecce,2 Seasons,2 Seasons,2 Clubs,,2 Leagues,,34,33,2941,32.7,2,1,3,2,0,0,7,1,0.0,0.0,0.0,0.0,0,0,0,0.06,0.03,0.09,0.06,0.09,0.00,0.00,0.00,0.00,0.00,
Christ-Owen Kouassi,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Christ-Owen Kouassi,Lecce,Stade Laval (1 Season),Stade Laval (1 Season),Stade Laval (1 Season),,1 League,,33,33,2918,32.4,2,1,3,2,0,0,7,1,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,
Christ-Owen Kouassi,Lecce,Lecce (1 Season),Lecce (1 Season),Lecce (1 Season),,1 League,,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Christ-Owen Kouassi,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ-Owen Kouassi,Lecce,Ligue 2 (1 Season),Ligue 2 (1 Season),Ligue 2 (1 Season),,,,33,33,2918,32.4,2,1,3,2,0,0,7,1,,,,,,,,0.06,0.03,0.09,0.06,0.09,,,,,,
Christ-Owen Kouassi,Lecce,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
