Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Danilo Veiga,Lecce,2022-2023,19,Gil Vicente FC,pt POR,1. Primeira Liga,13th,9,8,681,7.6,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,20,27,37,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,Matches
Danilo Veiga,Lecce,2022-2023,19,Rijeka,hr CRO,1. HNL,4th,17,14,1171,13.0,0,2,2,0,0,0,2,0,,,,,,,,0.00,0.15,0.15,0.00,0.15,,,,,,Matches
Danilo Veiga,Lecce,2023-2024,20,Rijeka,hr CRO,1. HNL,2nd,11,6,480,5.3,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Danilo Veiga,Lecce,2024-2025,21,Estrela,pt POR,1. Primeira Liga,15th,15,14,1280,14.2,0,2,2,0,0,0,5,1,0.7,0.7,1.5,2.2,20,39,47,0.00,0.14,0.14,0.00,0.14,0.05,0.11,0.16,0.05,0.16,Matches
Danilo Veiga,Lecce,2024-2025,21,Lecce,it ITA,1. Serie A,17th,13,2,374,4.2,0,0,0,0,0,0,0,0,0.6,0.6,0.3,0.9,10,10,13,0.00,0.00,0.00,0.00,0.00,0.15,0.06,0.21,0.15,0.21,Matches
Danilo Veiga,Lecce,2025-2026,22,Lecce,it ITA,1. Serie A,14th,1,1,67,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
Danilo Veiga,Lecce,4 Seasons,4 Seasons,4 Clubs,,3 Leagues,,66,45,4053,45.0,0,4,4,0,0,0,10,1,1.5,1.5,2.2,3.7,50,77,98,0.00,0.09,0.09,0.00,0.09,0.06,0.08,0.14,0.06,0.14,
Danilo Veiga,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Danilo Veiga,Lecce,Rijeka (2 Seasons),Rijeka (2 Seasons),Rijeka (2 Seasons),,1 League,,28,20,1651,18.3,0,2,2,0,0,0,4,0,,,,,,,,0.00,0.11,0.11,0.00,0.11,,,,,,
Danilo Veiga,Lecce,Lecce (2 Seasons),Lecce (2 Seasons),Lecce (2 Seasons),,1 League,,14,3,441,4.9,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,10,11,14,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.19,0.13,0.19,
Danilo Veiga,Lecce,Estrela (1 Season),Estrela (1 Season),Estrela (1 Season),,1 League,,15,14,1280,14.2,0,2,2,0,0,0,5,1,0.7,0.7,1.5,2.2,20,39,47,0.00,0.14,0.14,0.00,0.14,0.05,0.11,0.16,0.05,0.16,
Danilo Veiga,Lecce,Gil Vicente FC (1 Season),Gil Vicente FC (1 Season),Gil Vicente FC (1 Season),,1 League,,9,8,681,7.6,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,20,27,37,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.08,0.02,0.08,
Danilo Veiga,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danilo Veiga,Lecce,HNL (2 Seasons),HNL (2 Seasons),HNL (2 Seasons),,,,28,20,1651,18.3,0,2,2,0,0,0,4,0,,,,,,,,0.00,0.11,0.11,0.00,0.11,,,,,,
Danilo Veiga,Lecce,Primeira Liga (2 Seasons),Primeira Liga (2 Seasons),Primeira Liga (2 Seasons),,,,24,22,1961,21.8,0,2,2,0,0,0,5,1,0.9,0.9,1.9,2.8,40,66,84,0.00,0.09,0.09,0.00,0.09,0.04,0.09,0.13,0.04,0.13,
Danilo Veiga,Lecce,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,14,3,441,4.9,0,0,0,0,0,0,1,0,0.6,0.6,0.3,0.9,10,11,14,0.00,0.00,0.00,0.00,0.00,0.13,0.05,0.19,0.13,0.19,
