Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 23_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jamil Siebert,Lecce,2018-2019,16,Düsseldorf,de GER,Jr. U17 Bundesliga,19th,21,20,1816,20.2,1,,,1,0,0,3,0,0.05,,,0.05,,Matches
Jamil Siebert,Lecce,2018-2019,16,Düsseldorf,de GER,Jr. U19 Bundesliga,22nd,5,5,416,4.6,0,,,0,0,0,1,1,0.00,,,0.00,,Matches
Jamil Siebert,Lecce,2019-2020,17,Düsseldorf,de GER,Jr. U19 Bundesliga,13th,18,18,1613,17.9,1,,,1,0,0,8,0,0.06,,,0.06,,Matches
Jamil Siebert,Lecce,2020-2021,18,Düsseldorf,de GER,Jr. U19 Bundesliga,23rd,1,1,90,1.0,0,,,0,0,0,0,0,0.00,,,0.00,,Matches
Jamil Siebert,Lecce,2020-2021,18,Düsseldorf,de GER,2. 2. Bundesliga,5th,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Jamil Siebert,Lecce,2021-2022,19,Düsseldorf,de GER,2. 2. Bundesliga,10th,0,0,,,,,,,,,,,,,,,,Matches
Jamil Siebert,Lecce,2021-2022,19,Viktoria Köln,de GER,3. 3. Liga,13th,13,9,911,10.1,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
Jamil Siebert,Lecce,2022-2023,20,Viktoria Köln,de GER,3. 3. Liga,9th,30,23,2245,24.9,2,0,2,2,0,0,8,1,0.08,0.00,0.08,0.08,0.08,Matches
Jamil Siebert,Lecce,2023-2024,21,Düsseldorf,de GER,2. 2. Bundesliga,3rd,24,18,1778,19.8,1,1,2,1,0,0,5,0,0.05,0.05,0.10,0.05,0.10,Matches
Jamil Siebert,Lecce,2024-2025,22,Düsseldorf,de GER,2. 2. Bundesliga,6th,21,20,1761,19.6,0,2,2,0,0,0,9,0,0.00,0.10,0.10,0.00,0.10,Matches
Jamil Siebert,Lecce,2025-2026,23,Düsseldorf,de GER,2. 2. Bundesliga,16th,2,2,180,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
Jamil Siebert,Lecce,2025-2026,23,Lecce,it ITA,1. Serie A,14th,0,0,,,,,,,,,,,,,,,,Matches
Jamil Siebert,Lecce,6 Seasons,6 Seasons,3 Clubs,,3 Leagues,,92,73,6966,77.4,3,3,6,3,0,0,29,1,0.04,0.04,0.08,0.04,0.08,
Jamil Siebert,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
Jamil Siebert,Lecce,Düsseldorf (5 Seasons),Düsseldorf (5 Seasons),Düsseldorf (5 Seasons),,1 League,,49,41,3810,42.3,1,3,4,1,0,0,16,0,0.02,0.07,0.09,0.02,0.09,
Jamil Siebert,Lecce,Düsseldorf (3 Seasons),Düsseldorf (3 Seasons),Düsseldorf (3 Seasons),,1 League,,24,24,2119,23.5,1,,,1,0,0,9,1,0.04,,,0.04,,
Jamil Siebert,Lecce,Viktoria Köln (2 Seasons),Viktoria Köln (2 Seasons),Viktoria Köln (2 Seasons),,1 League,,43,32,3156,35.1,2,0,2,2,0,0,13,1,0.06,0.00,0.06,0.06,0.06,
Jamil Siebert,Lecce,Düsseldorf (1 Season),Düsseldorf (1 Season),Düsseldorf (1 Season),,1 League,,21,20,1816,20.2,1,,,1,0,0,3,0,0.05,,,0.05,,
Jamil Siebert,Lecce,Lecce (1 Season),Lecce (1 Season),Lecce (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,
Jamil Siebert,Lecce,,,,,,,,,,,,,,,,,,,,,,,,
Jamil Siebert,Lecce,2. Bundesliga (5 Seasons),2. Bundesliga (5 Seasons),2. Bundesliga (5 Seasons),,,,49,41,3810,42.3,1,3,4,1,0,0,16,0,0.02,0.07,0.09,0.02,0.09,
Jamil Siebert,Lecce,U19 Bundesliga (3 Seasons),U19 Bundesliga (3 Seasons),U19 Bundesliga (3 Seasons),,,,24,24,2119,23.5,1,,,1,0,0,9,1,0.04,,,0.04,,
Jamil Siebert,Lecce,3. Liga (2 Seasons),3. Liga (2 Seasons),3. Liga (2 Seasons),,,,43,32,3156,35.1,2,0,2,2,0,0,13,1,0.06,0.00,0.06,0.06,0.06,
Jamil Siebert,Lecce,U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),U17 Bundesliga (1 Season),,,,21,20,1816,20.2,1,,,1,0,0,3,0,0.05,,,0.05,,
Jamil Siebert,Lecce,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,0,0,,,,,,,,,,,,,,,,
