Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lameck Banda,Lecce,2019-2020,18,Arsenal Tula,ru RUS,1. Premier League,8th,9,1,145,1.6,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.62,0.62,0.00,0.62,,,,,,Matches
Lameck Banda,Lecce,2020-2021,19,Arsenal Tula,ru RUS,1. Premier League,14th,2,0,38,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Lameck Banda,Lecce,2021-2022,20,Arsenal Tula,ru RUS,1. Premier League,16th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Lameck Banda,Lecce,2022-2023,21,Lecce,it ITA,1. Serie A,16th,36,19,1636,18.2,2,1,3,2,0,0,6,0,3.3,3.3,1.3,4.7,86,28,160,0.11,0.06,0.17,0.11,0.17,0.18,0.07,0.26,0.18,0.26,Matches
Lameck Banda,Lecce,2023-2024,22,Lecce,it ITA,1. Serie A,14th,21,17,1350,15.0,2,4,6,2,0,0,5,1,3.6,3.6,1.9,5.5,71,22,136,0.13,0.27,0.40,0.13,0.40,0.24,0.13,0.37,0.24,0.37,Matches
Lameck Banda,Lecce,2024-2025,23,Lecce,it ITA,1. Serie A,17th,15,6,610,6.8,0,1,1,0,0,0,1,0,1.2,1.2,1.1,2.3,27,7,46,0.00,0.15,0.15,0.00,0.15,0.18,0.16,0.34,0.18,0.34,Matches
Lameck Banda,Lecce,2025-2026,24,Lecce,it ITA,1. Serie A,14th,1,1,58,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.2,1,2,4,0.00,0.00,0.00,0.00,0.00,0.03,0.23,0.26,0.03,0.26,Matches
Lameck Banda,Lecce,7 Seasons,7 Seasons,2 Clubs,,2 Leagues,,84,44,3837,42.6,4,7,11,4,0,0,15,1,8.2,8.2,4.5,12.6,185,59,346,0.09,0.16,0.26,0.09,0.26,0.20,0.11,0.31,0.20,0.31,
Lameck Banda,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Lameck Banda,Lecce,Lecce (4 Seasons),Lecce (4 Seasons),Lecce (4 Seasons),,1 League,,73,43,3654,40.6,4,6,10,4,0,0,13,1,8.2,8.2,4.5,12.6,185,59,346,0.10,0.15,0.25,0.10,0.25,0.20,0.11,0.31,0.20,0.31,
Lameck Banda,Lecce,Arsenal Tula (3 Seasons),Arsenal Tula (3 Seasons),Arsenal Tula (3 Seasons),,1 League,,11,1,183,2.0,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.49,0.49,0.00,0.49,,,,,,
Lameck Banda,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lameck Banda,Lecce,Serie A (4 Seasons),Serie A (4 Seasons),Serie A (4 Seasons),,,,73,43,3654,40.6,4,6,10,4,0,0,13,1,8.2,8.2,4.5,12.6,185,59,346,0.10,0.15,0.25,0.10,0.25,0.20,0.11,0.31,0.20,0.31,
Lameck Banda,Lecce,Premier League (3 Seasons),Premier League (3 Seasons),Premier League (3 Seasons),,,,11,1,183,2.0,0,1,1,0,0,0,2,0,,,,,,,,0.00,0.49,0.49,0.00,0.49,,,,,,
