Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mohamed Kaba,Lecce,2021-2022,19,Valenciennes,fr FRA,2. Ligue 2,16th,34,32,2797,31.1,0,3,3,0,0,0,7,0,,,,,,,,0.00,0.10,0.10,0.00,0.10,,,,,,Matches
Mohamed Kaba,Lecce,2022-2023,20,Valenciennes,fr FRA,2. Ligue 2,16th,32,32,2819,31.3,5,1,6,5,0,0,6,0,,,,,,,,0.16,0.03,0.19,0.16,0.19,,,,,,Matches
Mohamed Kaba,Lecce,2023-2024,21,Valenciennes,fr FRA,2. Ligue 2,20th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Mohamed Kaba,Lecce,2023-2024,21,Lecce,it ITA,1. Serie A,14th,23,15,1378,15.3,0,0,0,0,0,0,4,1,1.2,1.2,0.9,2.0,14,60,32,0.00,0.00,0.00,0.00,0.00,0.08,0.06,0.13,0.08,0.13,Matches
Mohamed Kaba,Lecce,2024-2025,22,Lecce,it ITA,1. Serie A,17th,15,2,452,5.0,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.4,3,18,8,0.00,0.00,0.00,0.00,0.00,0.07,0.01,0.08,0.07,0.08,Matches
Mohamed Kaba,Lecce,2025-2026,23,Lecce,it ITA,1. Serie A,14th,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Mohamed Kaba,Lecce,5 Seasons,5 Seasons,2 Clubs,,2 Leagues,,106,82,7568,84.1,5,4,9,5,0,0,18,1,1.5,1.5,0.9,2.4,17,78,43,0.06,0.05,0.11,0.06,0.11,0.07,0.04,0.12,0.07,0.12,
Mohamed Kaba,Lecce,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Mohamed Kaba,Lecce,Valenciennes (3 Seasons),Valenciennes (3 Seasons),Valenciennes (3 Seasons),,1 League,,67,65,5706,63.4,5,4,9,5,0,0,13,0,,,,,,,,0.08,0.06,0.14,0.08,0.14,,,,,,
Mohamed Kaba,Lecce,Lecce (3 Seasons),Lecce (3 Seasons),Lecce (3 Seasons),,1 League,,39,17,1862,20.7,0,0,0,0,0,0,5,1,1.5,1.5,0.9,2.4,17,78,43,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.12,0.07,0.12,
Mohamed Kaba,Lecce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mohamed Kaba,Lecce,Ligue 2 (3 Seasons),Ligue 2 (3 Seasons),Ligue 2 (3 Seasons),,,,67,65,5706,63.4,5,4,9,5,0,0,13,0,,,,,,,,0.08,0.06,0.14,0.08,0.14,,,,,,
Mohamed Kaba,Lecce,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,39,17,1862,20.7,0,0,0,0,0,0,5,1,1.5,1.5,0.9,2.4,17,78,43,0.00,0.00,0.00,0.00,0.00,0.07,0.04,0.12,0.07,0.12,
