Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Alexis Saelemaekers,Milan,2017-2018,18,Anderlecht,be BEL,1. First Division A,3rd,11,7,610,6.8,0,1,1,0,0,0,2,0,0.2,0.2,0.8,1.0,17,30,56,0.00,0.15,0.15,0.00,0.15,0.02,0.12,0.14,0.02,0.14,Matches
Alexis Saelemaekers,Milan,2018-2019,19,Anderlecht,be BEL,1. First Division A,6th,30,22,1978,22.0,0,6,6,0,0,0,5,0,1.8,1.8,5.0,6.9,72,101,166,0.00,0.27,0.27,0.00,0.27,0.08,0.23,0.31,0.08,0.31,Matches
Alexis Saelemaekers,Milan,2019-2020,20,Anderlecht,be BEL,1. First Division A,8th,16,14,1163,12.9,2,2,4,2,0,0,3,0,1.8,1.8,3.0,4.9,38,41,146,0.15,0.15,0.31,0.15,0.31,0.14,0.23,0.38,0.14,0.38,Matches
Alexis Saelemaekers,Milan,2019-2020,20,Milan,it ITA,1. Serie A,6th,13,6,684,7.6,1,0,1,1,0,0,4,1,0.6,0.6,0.6,1.2,21,14,78,0.13,0.00,0.13,0.13,0.13,0.08,0.08,0.16,0.08,0.16,Matches
Alexis Saelemaekers,Milan,2020-2021,21,Milan,it ITA,1. Serie A,2nd,32,27,2016,22.4,2,4,6,2,0,0,7,1,2.4,2.4,3.1,5.6,43,59,169,0.09,0.18,0.27,0.09,0.27,0.11,0.14,0.25,0.11,0.25,Matches
Alexis Saelemaekers,Milan,2021-2022,22,Milan,it ITA,1. Serie A,1st,36,22,1865,20.7,1,3,4,1,0,0,2,0,2.9,2.9,3.3,6.1,63,54,161,0.05,0.14,0.19,0.05,0.19,0.14,0.16,0.30,0.14,0.30,Matches
Alexis Saelemaekers,Milan,2022-2023,23,Milan,it ITA,1. Serie A,4th,30,14,1403,15.6,2,3,5,2,0,0,1,0,2.5,2.5,4.1,6.6,52,52,143,0.13,0.19,0.32,0.13,0.32,0.16,0.27,0.42,0.16,0.42,Matches
Alexis Saelemaekers,Milan,2023-2024,24,Bologna,it ITA,1. Serie A,5th,30,21,1887,21.0,4,2,6,4,0,0,7,1,2.6,2.6,2.8,5.5,65,77,180,0.19,0.10,0.29,0.19,0.29,0.13,0.14,0.26,0.13,0.26,Matches
Alexis Saelemaekers,Milan,2024-2025,25,Roma,it ITA,1. Serie A,5th,22,17,1389,15.4,7,3,10,7,0,0,4,0,2.5,2.5,2.6,5.1,39,53,136,0.45,0.19,0.65,0.45,0.65,0.16,0.17,0.33,0.16,0.33,Matches
