Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ardon Jashari,Milan,2019-2020,17,Luzern,ch SUI,1. Super Lg,6th,2,0,29,0.3,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ardon Jashari,Milan,2020-2021,18,Luzern,ch SUI,1. Super Lg,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Ardon Jashari,Milan,2021-2022,19,Luzern,ch SUI,1. Super Lg,9th,17,17,1446,16.1,1,3,4,1,0,0,5,0,,,,,,,,0.06,0.19,0.25,0.06,0.25,,,,,,Matches
Ardon Jashari,Milan,2022-2023,20,Luzern,ch SUI,1. Super Lg,4th,34,34,3012,33.5,1,4,5,1,0,0,6,1,,,,,,,,0.03,0.12,0.15,0.03,0.15,,,,,,Matches
Ardon Jashari,Milan,2023-2024,21,Luzern,ch SUI,1. Super Lg,7th,36,34,3039,33.8,5,3,8,5,0,0,6,0,,,,,,,,0.15,0.09,0.24,0.15,0.24,,,,,,Matches
Ardon Jashari,Milan,2024-2025,22,Club Brugge,be BEL,1. Pro League A,2nd,25,21,1877,20.9,2,4,6,2,0,0,3,0,1.7,1.7,4.2,5.8,29,150,47,0.10,0.19,0.29,0.10,0.29,0.08,0.20,0.28,0.08,0.28,Matches
Ardon Jashari,Milan,2025-2026,23,Milan,it ITA,1. Serie A,15th,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches
Ardon Jashari,Milan,7 Seasons,7 Seasons,3 Clubs,,3 Leagues,,115,106,9420,104.7,9,14,23,9,0,0,20,1,1.7,1.7,4.2,5.9,29,151,48,0.09,0.13,0.22,0.09,0.22,0.08,0.20,0.28,0.08,0.28,
Ardon Jashari,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ardon Jashari,Milan,Luzern (5 Seasons),Luzern (5 Seasons),Luzern (5 Seasons),,1 League,,89,85,7526,83.6,7,10,17,7,0,0,17,1,,,,,,,,0.08,0.12,0.20,0.08,0.20,,,,,,
Ardon Jashari,Milan,Club Brugge (1 Season),Club Brugge (1 Season),Club Brugge (1 Season),,1 League,,25,21,1877,20.9,2,4,6,2,0,0,3,0,1.7,1.7,4.2,5.8,29,150,47,0.10,0.19,0.29,0.10,0.29,0.08,0.20,0.28,0.08,0.28,
Ardon Jashari,Milan,Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,
Ardon Jashari,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ardon Jashari,Milan,Super Lg (5 Seasons),Super Lg (5 Seasons),Super Lg (5 Seasons),,,,89,85,7526,83.6,7,10,17,7,0,0,17,1,,,,,,,,0.08,0.12,0.20,0.08,0.20,,,,,,
Ardon Jashari,Milan,Pro League A (1 Season),Pro League A (1 Season),Pro League A (1 Season),,,,25,21,1877,20.9,2,4,6,2,0,0,3,0,1.7,1.7,4.2,5.8,29,150,47,0.10,0.19,0.29,0.10,0.29,0.08,0.20,0.28,0.08,0.28,
Ardon Jashari,Milan,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,
