Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Koni De Winter,Milan,2021-2022,19,Juventus,it ITA,1. Serie A,4th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Koni De Winter,Milan,2022-2023,20,Empoli,it ITA,1. Serie A,14th,14,12,1024,11.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,2,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
Koni De Winter,Milan,2023-2024,21,Genoa,it ITA,1. Serie A,11th,29,26,2380,26.4,0,1,1,0,0,0,8,1,0.8,0.8,1.0,1.8,21,76,15,0.00,0.04,0.04,0.00,0.04,0.03,0.04,0.07,0.03,0.07,Matches
Koni De Winter,Milan,2024-2025,22,Genoa,it ITA,1. Serie A,13th,25,23,2135,23.7,3,0,3,3,0,0,6,0,2.1,2.1,0.2,2.3,10,56,10,0.13,0.00,0.13,0.13,0.13,0.09,0.01,0.10,0.09,0.10,Matches
Koni De Winter,Milan,2025-2026,23,Milan,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Koni De Winter,Milan,5 Seasons,5 Seasons,4 Clubs,,1 League,,68,61,5539,61.5,3,1,4,3,0,0,17,1,2.9,2.9,1.3,4.2,33,154,25,0.05,0.02,0.06,0.05,0.06,0.05,0.02,0.07,0.05,0.07,
Koni De Winter,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Koni De Winter,Milan,Genoa (2 Seasons),Genoa (2 Seasons),Genoa (2 Seasons),,1 League,,54,49,4515,50.2,3,1,4,3,0,0,14,1,2.9,2.9,1.2,4.0,31,132,25,0.06,0.02,0.08,0.06,0.08,0.06,0.02,0.08,0.06,0.08,
Koni De Winter,Milan,Empoli (1 Season),Empoli (1 Season),Empoli (1 Season),,1 League,,14,12,1024,11.4,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,2,22,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,
Koni De Winter,Milan,Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koni De Winter,Milan,Juventus (1 Season),Juventus (1 Season),Juventus (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
