Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pervis Estupiñán,Milan,2015,17,LDU de Quito,ec ECU,1. Serie A,1st,30,30,2360,26.2,0,0,0,0,0,0,3,2,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pervis Estupiñán,Milan,2016,18,LDU de Quito,ec ECU,1. Serie A,5th,8,7,616,6.8,0,0,0,0,0,0,2,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pervis Estupiñán,Milan,2016-2017,18,Granada,es ESP,1. La Liga,20th,2,2,180,2.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Pervis Estupiñán,Milan,2017-2018,19,Almería,es ESP,2. La Liga 2,18th,26,19,1806,20.1,0,2,2,0,0,0,2,0,,,,,,,,0.00,0.10,0.10,0.00,0.10,,,,,,Matches
Pervis Estupiñán,Milan,2018-2019,20,Mallorca,es ESP,2. La Liga 2,5th,19,16,1460,16.2,3,2,5,3,0,0,7,1,,,,,,,,0.18,0.12,0.31,0.18,0.31,,,,,,Matches
Pervis Estupiñán,Milan,2019-2020,21,Osasuna,es ESP,1. La Liga,10th,36,32,2979,33.1,1,5,6,1,0,0,8,0,1.6,1.6,3.6,5.2,114,132,184,0.03,0.15,0.18,0.03,0.18,0.05,0.11,0.16,0.05,0.16,Matches
Pervis Estupiñán,Milan,2020-2021,22,Villarreal,es ESP,1. La Liga,7th,25,12,1168,13.0,0,0,0,0,0,0,1,0,0.5,0.5,1.5,2.0,39,35,120,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.15,0.04,0.15,Matches
Pervis Estupiñán,Milan,2021-2022,23,Villarreal,es ESP,1. La Liga,7th,28,17,1575,17.5,0,1,1,0,0,0,3,0,0.8,0.8,2.5,3.3,50,70,148,0.00,0.06,0.06,0.00,0.06,0.04,0.14,0.19,0.04,0.19,Matches
Pervis Estupiñán,Milan,2022-2023,24,Villarreal,es ESP,1. La Liga,5th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pervis Estupiñán,Milan,2022-2023,24,Brighton,eng ENG,1. Premier League,6th,35,31,2675,29.7,1,5,6,1,0,0,4,0,1.7,1.7,5.4,7.1,91,157,183,0.03,0.17,0.20,0.03,0.20,0.06,0.18,0.24,0.06,0.24,Matches
Pervis Estupiñán,Milan,2023-2024,25,Brighton,eng ENG,1. Premier League,11th,19,15,1243,13.8,2,3,5,2,0,0,4,0,1.0,1.0,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32,Matches
Pervis Estupiñán,Milan,2024-2025,26,Brighton,eng ENG,1. Premier League,8th,30,26,2402,26.7,1,1,2,1,0,0,5,0,1.2,1.2,2.1,3.3,59,132,112,0.04,0.04,0.07,0.04,0.07,0.04,0.08,0.12,0.04,0.12,Matches
Pervis Estupiñán,Milan,2025-2026,27,Milan,it ITA,1. Serie A,15th,1,1,45,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,6,0.00,2.00,2.00,0.00,2.00,0.03,0.42,0.46,0.03,0.46,Matches
Pervis Estupiñán,Milan,11 Seasons,11 Seasons,8 Clubs,,5 Leagues,,259,208,18509,205.7,8,20,28,8,0,0,40,3,6.7,6.7,18.8,25.5,401,610,841,0.04,0.10,0.14,0.04,0.14,0.05,0.14,0.19,0.05,0.19,
Pervis Estupiñán,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pervis Estupiñán,Milan,Brighton (3 Seasons),Brighton (3 Seasons),Brighton (3 Seasons),,1 League,,84,72,6320,70.2,4,9,13,4,0,0,13,0,3.8,3.8,11.0,14.8,197,372,383,0.06,0.13,0.19,0.06,0.19,0.05,0.16,0.21,0.05,0.21,
Pervis Estupiñán,Milan,Villarreal (3 Seasons),Villarreal (3 Seasons),Villarreal (3 Seasons),,1 League,,53,29,2743,30.5,0,1,1,0,0,0,4,0,1.2,1.2,4.0,5.2,89,105,268,0.00,0.03,0.03,0.00,0.03,0.04,0.13,0.17,0.04,0.17,
Pervis Estupiñán,Milan,LDU de Quito (2 Seasons),LDU de Quito (2 Seasons),LDU de Quito (2 Seasons),,1 League,,38,37,2976,33.1,0,0,0,0,0,0,5,2,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Pervis Estupiñán,Milan,Osasuna (1 Season),Osasuna (1 Season),Osasuna (1 Season),,1 League,,36,32,2979,33.1,1,5,6,1,0,0,8,0,1.6,1.6,3.6,5.2,114,132,184,0.03,0.15,0.18,0.03,0.18,0.05,0.11,0.16,0.05,0.16,
Pervis Estupiñán,Milan,Almería (1 Season),Almería (1 Season),Almería (1 Season),,1 League,,26,19,1806,20.1,0,2,2,0,0,0,2,0,,,,,,,,0.00,0.10,0.10,0.00,0.10,,,,,,
Pervis Estupiñán,Milan,Mallorca (1 Season),Mallorca (1 Season),Mallorca (1 Season),,1 League,,19,16,1460,16.2,3,2,5,3,0,0,7,1,,,,,,,,0.18,0.12,0.31,0.18,0.31,,,,,,
Pervis Estupiñán,Milan,Granada (1 Season),Granada (1 Season),Granada (1 Season),,1 League,,2,2,180,2.0,0,0,0,0,0,0,1,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Pervis Estupiñán,Milan,Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,1,1,45,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,6,0.00,2.00,2.00,0.00,2.00,0.03,0.42,0.46,0.03,0.46,
Pervis Estupiñán,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pervis Estupiñán,Milan,La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,91,63,5902,65.6,1,6,7,1,0,0,13,0,2.8,2.8,7.6,10.4,203,237,452,0.02,0.09,0.11,0.02,0.11,0.04,0.12,0.16,0.04,0.16,
Pervis Estupiñán,Milan,Premier League (3 Seasons),Premier League (3 Seasons),Premier League (3 Seasons),,,,84,72,6320,70.2,4,9,13,4,0,0,13,0,3.8,3.8,11.0,14.8,197,372,383,0.06,0.13,0.19,0.06,0.19,0.05,0.16,0.21,0.05,0.21,
Pervis Estupiñán,Milan,La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),La Liga 2 (2 Seasons),,,,45,35,3266,36.3,3,4,7,3,0,0,9,1,,,,,,,,0.08,0.11,0.19,0.08,0.19,,,,,,
Pervis Estupiñán,Milan,Serie A (2 Seasons),Serie A (2 Seasons),Serie A (2 Seasons),,,,38,37,2976,33.1,0,0,0,0,0,0,5,2,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Pervis Estupiñán,Milan,Serie A (1 Season),Serie A (1 Season),Serie A (1 Season),,,,1,1,45,0.5,0,1,1,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,6,0.00,2.00,2.00,0.00,2.00,0.03,0.42,0.46,0.03,0.46,
