Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ruben Loftus-Cheek,Milan,2014-2015,18,Chelsea,eng ENG,1. Premier League,1st,3,2,132,1.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ruben Loftus-Cheek,Milan,2015-2016,19,Chelsea,eng ENG,1. Premier League,10th,13,4,412,4.6,1,0,1,1,0,0,0,0,,,,,,,,0.22,0.00,0.22,0.22,0.22,,,,,,Matches
Ruben Loftus-Cheek,Milan,2016-2017,20,Chelsea,eng ENG,1. Premier League,1st,6,0,35,0.4,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ruben Loftus-Cheek,Milan,2017-2018,21,Crystal Palace,eng ENG,1. Premier League,11th,24,21,1874,20.8,2,3,5,2,0,0,1,0,3.5,3.5,3.2,6.7,94,106,126,0.10,0.14,0.24,0.10,0.24,0.17,0.15,0.32,0.17,0.32,Matches
Ruben Loftus-Cheek,Milan,2018-2019,22,Chelsea,eng ENG,1. Premier League,3rd,24,6,998,11.1,6,2,8,6,0,0,0,0,2.8,2.8,0.8,3.7,52,61,75,0.54,0.18,0.72,0.54,0.72,0.26,0.07,0.33,0.26,0.33,Matches
Ruben Loftus-Cheek,Milan,2019-2020,23,Chelsea,eng ENG,Jr. PL2 — Div. 1,1st,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Ruben Loftus-Cheek,Milan,2019-2020,23,Chelsea,eng ENG,1. Premier League,4th,7,2,208,2.3,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.9,4,15,11,0.00,0.43,0.43,0.00,0.43,0.21,0.18,0.39,0.21,0.39,Matches
Ruben Loftus-Cheek,Milan,2020-2021,24,Fulham,eng ENG,1. Premier League,18th,30,21,1909,21.2,1,0,1,1,0,0,3,0,3.4,3.4,1.2,4.6,57,82,97,0.05,0.00,0.05,0.05,0.05,0.16,0.06,0.22,0.16,0.22,Matches
Ruben Loftus-Cheek,Milan,2020-2021,24,Chelsea,eng ENG,1. Premier League,4th,1,1,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Ruben Loftus-Cheek,Milan,2021-2022,25,Chelsea,eng ENG,1. Premier League,3rd,24,13,1394,15.5,0,2,2,0,0,0,1,0,1.2,1.2,2.4,3.6,69,108,53,0.00,0.13,0.13,0.00,0.13,0.08,0.16,0.24,0.08,0.24,Matches
Ruben Loftus-Cheek,Milan,2022-2023,26,Chelsea,eng ENG,1. Premier League,12th,25,19,1536,17.1,0,1,1,0,0,0,1,0,0.8,0.8,1.5,2.4,56,90,86,0.00,0.06,0.06,0.00,0.06,0.05,0.09,0.14,0.05,0.14,Matches
Ruben Loftus-Cheek,Milan,2023-2024,27,Milan,it ITA,1. Serie A,2nd,29,26,2068,23.0,6,1,7,6,0,0,5,0,3.7,3.7,2.4,6.1,73,74,113,0.26,0.04,0.30,0.26,0.30,0.16,0.10,0.26,0.16,0.26,Matches
Ruben Loftus-Cheek,Milan,2024-2025,28,Milan,it ITA,1. Serie A,8th,19,10,1037,11.5,0,0,0,0,0,0,3,0,0.7,0.7,1.9,2.6,27,51,32,0.00,0.00,0.00,0.00,0.00,0.06,0.16,0.22,0.06,0.22,Matches
Ruben Loftus-Cheek,Milan,2025-2026,29,Milan,it ITA,1. Serie A,15th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.5,0.5,0.1,0.6,5,5,7,0.00,0.00,0.00,0.00,0.00,0.46,0.10,0.56,0.46,0.56,Matches
Ruben Loftus-Cheek,Milan,12 Seasons,12 Seasons,4 Clubs,,2 Leagues,,206,126,11753,130.6,16,10,26,16,0,0,14,0,17.1,17.1,13.9,31.0,438,592,602,0.12,0.08,0.20,0.12,0.20,0.14,0.11,0.25,0.14,0.25,
Ruben Loftus-Cheek,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Ruben Loftus-Cheek,Milan,Chelsea (8 Seasons),Chelsea (8 Seasons),Chelsea (8 Seasons),,1 League,,103,47,4775,53.1,7,6,13,7,0,0,2,0,5.4,5.4,5.2,10.6,182,274,227,0.13,0.11,0.25,0.13,0.25,0.11,0.11,0.23,0.11,0.23,
Ruben Loftus-Cheek,Milan,Milan (3 Seasons),Milan (3 Seasons),Milan (3 Seasons),,1 League,,49,37,3195,35.5,6,1,7,6,0,0,8,0,4.8,4.8,4.4,9.2,105,130,152,0.17,0.03,0.20,0.17,0.20,0.14,0.12,0.26,0.14,0.26,
Ruben Loftus-Cheek,Milan,Fulham (1 Season),Fulham (1 Season),Fulham (1 Season),,1 League,,30,21,1909,21.2,1,0,1,1,0,0,3,0,3.4,3.4,1.2,4.6,57,82,97,0.05,0.00,0.05,0.05,0.05,0.16,0.06,0.22,0.16,0.22,
Ruben Loftus-Cheek,Milan,Crystal Palace (1 Season),Crystal Palace (1 Season),Crystal Palace (1 Season),,1 League,,24,21,1874,20.8,2,3,5,2,0,0,1,0,3.5,3.5,3.2,6.7,94,106,126,0.10,0.14,0.24,0.10,0.24,0.17,0.15,0.32,0.17,0.32,
