Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Samuel Chukwueze,Milan,2018-2019,19,Villarreal,es ESP,1. La Liga,14th,26,19,1706,19.0,5,2,7,5,0,0,2,0,5.2,5.2,1.5,6.7,102,55,170,0.26,0.11,0.37,0.26,0.37,0.27,0.08,0.35,0.27,0.35,Matches
Samuel Chukwueze,Milan,2019-2020,20,Villarreal,es ESP,1. La Liga,5th,37,20,2048,22.8,3,2,5,3,0,0,2,0,3.4,3.4,4.4,7.8,119,85,213,0.13,0.09,0.22,0.13,0.22,0.15,0.19,0.34,0.15,0.34,Matches
Samuel Chukwueze,Milan,2020-2021,21,Villarreal,es ESP,1. La Liga,7th,28,13,1365,15.2,4,2,6,4,0,0,0,0,2.4,2.4,3.0,5.4,84,53,177,0.26,0.13,0.40,0.26,0.40,0.16,0.20,0.36,0.16,0.36,Matches
Samuel Chukwueze,Milan,2021-2022,22,Villarreal,es ESP,1. La Liga,7th,27,12,1333,14.8,3,3,6,3,0,0,4,0,4.6,4.6,4.6,9.3,89,41,164,0.20,0.20,0.41,0.20,0.41,0.31,0.31,0.63,0.31,0.63,Matches
Samuel Chukwueze,Milan,2022-2023,23,Villarreal,es ESP,1. La Liga,5th,37,27,2339,26.0,6,5,11,6,0,0,1,0,6.5,6.5,4.3,10.8,133,85,261,0.23,0.19,0.42,0.23,0.42,0.25,0.16,0.41,0.25,0.41,Matches
Samuel Chukwueze,Milan,2023-2024,24,Milan,it ITA,1. Serie A,2nd,24,12,1017,11.3,1,3,4,1,0,0,1,0,1.7,1.7,2.3,3.9,52,51,135,0.09,0.27,0.35,0.09,0.35,0.15,0.20,0.35,0.15,0.35,Matches
Samuel Chukwueze,Milan,2024-2025,25,Milan,it ITA,1. Serie A,8th,26,9,925,10.3,3,2,5,3,0,0,0,0,2.7,2.7,3.0,5.7,48,36,116,0.29,0.19,0.49,0.29,0.49,0.26,0.29,0.56,0.26,0.56,Matches
Samuel Chukwueze,Milan,2025-2026,26,Milan,it ITA,1. Serie A,15th,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Samuel Chukwueze,Milan,8 Seasons,8 Seasons,2 Clubs,,2 Leagues,,206,112,10759,119.5,25,19,44,25,0,0,10,0,26.6,26.6,23.1,49.7,629,408,1241,0.21,0.16,0.37,0.21,0.37,0.22,0.19,0.42,0.22,0.42,
Samuel Chukwueze,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Samuel Chukwueze,Milan,Villarreal (5 Seasons),Villarreal (5 Seasons),Villarreal (5 Seasons),,1 League,,155,91,8791,97.7,21,14,35,21,0,0,9,0,22.2,22.2,17.8,40.0,527,319,985,0.21,0.14,0.36,0.21,0.36,0.23,0.18,0.41,0.23,0.41,
Samuel Chukwueze,Milan,Milan (3 Seasons),Milan (3 Seasons),Milan (3 Seasons),,1 League,,51,21,1968,21.9,4,5,9,4,0,0,1,0,4.4,4.4,5.3,9.7,102,89,256,0.18,0.23,0.41,0.18,0.41,0.20,0.24,0.44,0.20,0.44,
Samuel Chukwueze,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuel Chukwueze,Milan,La Liga (5 Seasons),La Liga (5 Seasons),La Liga (5 Seasons),,,,155,91,8791,97.7,21,14,35,21,0,0,9,0,22.2,22.2,17.8,40.0,527,319,985,0.21,0.14,0.36,0.21,0.36,0.23,0.18,0.41,0.23,0.41,
Samuel Chukwueze,Milan,Serie A (3 Seasons),Serie A (3 Seasons),Serie A (3 Seasons),,,,51,21,1968,21.9,4,5,9,4,0,0,1,0,4.4,4.4,5.3,9.7,102,89,256,0.18,0.23,0.41,0.18,0.41,0.20,0.24,0.44,0.20,0.44,
