Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Samuele Ricci,Milan,2018-2019,16,Empoli,it ITA,1. Serie A,18th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Samuele Ricci,Milan,2019-2020,17,Empoli,it ITA,2. Serie B,7th,28,19,1755,19.5,0,0,0,0,0,0,6,0,1.3,1.3,1.0,2.3,28,107,30,0.00,0.00,0.00,0.00,0.00,0.07,0.05,0.12,0.07,0.12,Matches
Samuele Ricci,Milan,2020-2021,18,Empoli,it ITA,2. Serie B,1st,34,19,1656,18.4,2,4,6,2,0,0,3,0,1.5,1.5,2.8,4.4,52,87,102,0.11,0.22,0.33,0.11,0.33,0.08,0.15,0.24,0.08,0.24,Matches
Samuele Ricci,Milan,2021-2022,19,Empoli,it ITA,1. Serie A,14th,21,17,1530,17.0,1,1,2,1,0,0,1,1,0.2,0.2,0.3,0.5,24,103,13,0.06,0.06,0.12,0.06,0.12,0.01,0.02,0.03,0.01,0.03,Matches
Samuele Ricci,Milan,2021-2022,19,Torino,it ITA,1. Serie A,10th,12,9,722,8.0,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,5,31,8,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
Samuele Ricci,Milan,2022-2023,20,Torino,it ITA,1. Serie A,10th,28,23,2070,23.0,2,1,3,2,0,0,6,0,1.7,1.7,1.8,3.5,43,104,31,0.09,0.04,0.13,0.09,0.13,0.07,0.08,0.15,0.07,0.15,Matches
Samuele Ricci,Milan,2023-2024,21,Torino,it ITA,1. Serie A,9th,32,28,2395,26.6,1,2,3,1,0,0,8,1,1.3,1.3,2.3,3.6,47,122,73,0.04,0.08,0.11,0.04,0.11,0.05,0.09,0.13,0.05,0.13,Matches
Samuele Ricci,Milan,2024-2025,22,Torino,it ITA,1. Serie A,11th,34,34,2825,31.4,1,1,2,1,0,0,8,1,1.3,1.3,0.6,1.8,43,116,30,0.03,0.03,0.06,0.03,0.06,0.04,0.02,0.06,0.04,0.06,Matches
Samuele Ricci,Milan,2025-2026,23,Milan,it ITA,1. Serie A,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Samuele Ricci,Milan,8 Seasons,8 Seasons,3 Clubs,,2 Leagues,,189,149,12953,143.9,7,9,16,7,0,0,33,3,7.8,7.8,9.0,16.7,242,670,287,0.05,0.06,0.11,0.05,0.11,0.05,0.06,0.12,0.05,0.12,
Samuele Ricci,Milan,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Samuele Ricci,Milan,Torino (4 Seasons),Torino (4 Seasons),Torino (4 Seasons),,1 League,,106,94,8012,89.0,4,4,8,4,0,0,23,2,4.7,4.7,4.8,9.5,138,373,142,0.04,0.04,0.09,0.04,0.09,0.05,0.05,0.11,0.05,0.11,
Samuele Ricci,Milan,Empoli (4 Seasons),Empoli (4 Seasons),Empoli (4 Seasons),,2 Leagues,,83,55,4941,54.9,3,5,8,3,0,0,10,1,3.1,3.1,4.1,7.2,104,297,145,0.05,0.09,0.15,0.05,0.15,0.06,0.08,0.13,0.06,0.13,
Samuele Ricci,Milan,Milan (1 Season),Milan (1 Season),Milan (1 Season),,1 League,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuele Ricci,Milan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samuele Ricci,Milan,Serie A (6 Seasons),Serie A (6 Seasons),Serie A (6 Seasons),,,,127,111,9542,106.0,5,5,10,5,0,0,24,3,4.9,4.9,5.2,10.1,162,476,155,0.05,0.05,0.09,0.05,0.09,0.05,0.05,0.09,0.05,0.09,
Samuele Ricci,Milan,Serie B (2 Seasons),Serie B (2 Seasons),Serie B (2 Seasons),,,,62,38,3411,37.9,2,4,6,2,0,0,9,0,2.8,2.8,3.8,6.7,80,194,132,0.05,0.11,0.16,0.05,0.16,0.08,0.10,0.18,0.08,0.18,
