Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Andre-Frank Zambo Anguissa,Napoli,2014-2015,18,Reims,fr FRA,1. Ligue 1,15th,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Andre-Frank Zambo Anguissa,Napoli,2015-2016,19,Marseille,fr FRA,1. Ligue 1,13th,9,2,292,3.2,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,Matches
Andre-Frank Zambo Anguissa,Napoli,2016-2017,20,Marseille,fr FRA,1. Ligue 1,5th,33,18,1969,21.9,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.05,0.05,0.00,0.05,,,,,,Matches
Andre-Frank Zambo Anguissa,Napoli,2017-2018,21,Marseille,fr FRA,1. Ligue 1,4th,37,26,2439,27.1,0,0,0,0,0,0,4,0,1.6,1.6,3.2,4.8,59,145,37,0.00,0.00,0.00,0.00,0.00,0.06,0.12,0.18,0.06,0.18,Matches
Andre-Frank Zambo Anguissa,Napoli,2018-2019,22,Fulham,eng ENG,1. Premier League,19th,22,16,1517,16.9,0,0,0,0,0,0,2,1,0.8,0.8,0.2,1.0,34,112,20,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
Andre-Frank Zambo Anguissa,Napoli,2019-2020,23,Villarreal,es ESP,1. La Liga,5th,36,28,2583,28.7,2,0,2,2,0,0,6,0,2.8,2.8,0.7,3.4,54,134,46,0.07,0.00,0.07,0.07,0.07,0.10,0.02,0.12,0.10,0.12,Matches
Andre-Frank Zambo Anguissa,Napoli,2020-2021,24,Fulham,eng ENG,1. Premier League,18th,36,29,2587,28.7,0,3,3,0,0,0,6,0,1.6,1.6,2.5,4.0,81,156,68,0.00,0.10,0.10,0.00,0.10,0.05,0.09,0.14,0.05,0.14,Matches
Andre-Frank Zambo Anguissa,Napoli,2021-2022,25,Fulham,eng ENG,2. Championship,1st,3,0,80,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.6,6,14,7,0.00,0.00,0.00,0.00,0.00,0.05,0.62,0.66,0.05,0.66,Matches
Andre-Frank Zambo Anguissa,Napoli,2021-2022,25,Napoli,it ITA,1. Serie A,3rd,25,21,1926,21.4,0,1,1,0,0,0,5,0,1.1,1.1,1.1,2.3,45,126,60,0.00,0.05,0.05,0.00,0.05,0.05,0.05,0.11,0.05,0.11,Matches
