Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Giovanni Di Lorenzo,Napoli,2010-2011,16,Reggina,it ITA,2. Serie B,6th,1,1,90,1.0,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Giovanni Di Lorenzo,Napoli,2011-2012,17,Reggina,it ITA,2. Serie B,10th,1,0,45,0.5,0,0,0,0,0,0,0,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Giovanni Di Lorenzo,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Di Lorenzo,Napoli,2013-2014,19,Reggina,it ITA,2. Serie B,21st,20,17,1553,17.3,0,0,0,0,0,0,4,0,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,
Giovanni Di Lorenzo,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Di Lorenzo,Napoli,2017-2018,23,Empoli,it ITA,2. Serie B,1st,36,34,3077,34.2,1,5,6,1,0,0,4,0,,,,,,,,0.03,0.15,0.18,0.03,0.18,,,,,,Matches
Giovanni Di Lorenzo,Napoli,2018-2019,24,Empoli,it ITA,1. Serie A,18th,37,37,3330,37.0,5,3,8,5,0,0,8,0,3.6,3.3,5.3,8.6,83,241,219,0.14,0.08,0.22,0.14,0.22,0.10,0.14,0.24,0.09,0.23,Matches
Giovanni Di Lorenzo,Napoli,2019-2020,25,Napoli,it ITA,1. Serie A,7th,33,33,2970,33.0,3,3,6,3,0,0,5,0,3.2,3.2,2.2,5.4,67,204,151,0.09,0.09,0.18,0.09,0.18,0.10,0.07,0.16,0.10,0.16,Matches
Giovanni Di Lorenzo,Napoli,2020-2021,26,Napoli,it ITA,1. Serie A,5th,36,36,3240,36.0,3,6,9,3,0,0,11,0,3.8,3.8,5.7,9.5,104,259,192,0.08,0.17,0.25,0.08,0.25,0.11,0.16,0.26,0.11,0.26,Matches
Giovanni Di Lorenzo,Napoli,2021-2022,27,Napoli,it ITA,1. Serie A,3rd,33,33,2869,31.9,1,4,5,1,0,0,3,0,1.1,1.1,2.8,3.9,66,196,154,0.03,0.13,0.16,0.03,0.16,0.03,0.09,0.12,0.03,0.12,Matches
Giovanni Di Lorenzo,Napoli,2022-2023,28,Napoli,it ITA,1. Serie A,1st,37,36,3257,36.2,3,4,7,3,0,0,2,0,2.7,2.7,4.7,7.4,73,256,182,0.08,0.11,0.19,0.08,0.19,0.07,0.13,0.20,0.07,0.20,Matches
Giovanni Di Lorenzo,Napoli,2023-2024,29,Napoli,it ITA,1. Serie A,10th,36,36,3234,35.9,1,6,7,1,0,0,6,0,3.1,3.1,4.9,8.0,95,304,250,0.03,0.17,0.19,0.03,0.19,0.09,0.14,0.22,0.09,0.22,Matches
