Player,Team,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 35_level_0
,,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pasquale Mazzocchi,Napoli,2017-2018,22,Parma,it ITA,2. Serie B,2nd,18,15,1323,14.7,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,Matches
Pasquale Mazzocchi,Napoli,2018-2019,23,Perugia,it ITA,2. Serie B,8th,31,24,2083,23.1,0,4,4,0,0,0,2,0,0.5,0.5,1.4,1.9,77,86,83,0.00,0.17,0.17,0.00,0.17,0.02,0.06,0.08,0.02,0.08,Matches
Pasquale Mazzocchi,Napoli,2019-2020,24,Perugia,it ITA,2. Serie B,16th,26,22,1947,21.6,1,2,3,1,0,0,4,0,1.6,1.6,2.6,4.3,88,64,147,0.05,0.09,0.14,0.05,0.14,0.08,0.12,0.20,0.08,0.20,Matches
Pasquale Mazzocchi,Napoli,2020-2021,25,Venezia,it ITA,2. Serie B,5th,34,30,2733,30.4,1,1,2,1,0,0,7,0,0.6,0.6,2.3,2.9,123,111,117,0.03,0.03,0.07,0.03,0.07,0.02,0.08,0.10,0.02,0.10,Matches
Pasquale Mazzocchi,Napoli,2021-2022,26,Venezia,it ITA,1. Serie A,20th,18,15,1243,13.8,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.8,44,33,43,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
Pasquale Mazzocchi,Napoli,2021-2022,26,Salernitana,it ITA,1. Serie A,17th,15,15,1269,14.1,0,2,2,0,0,0,2,0,0.1,0.1,1.6,1.8,43,40,46,0.00,0.14,0.14,0.00,0.14,0.01,0.12,0.13,0.01,0.13,Matches
Pasquale Mazzocchi,Napoli,2022-2023,27,Salernitana,it ITA,1. Serie A,15th,27,23,1958,21.8,2,3,5,2,0,0,2,0,1.3,1.3,2.6,3.9,70,60,102,0.09,0.14,0.23,0.09,0.23,0.06,0.12,0.18,0.06,0.18,Matches
Pasquale Mazzocchi,Napoli,2023-2024,28,Salernitana,it ITA,1. Serie A,20th,18,16,1272,14.1,0,1,1,0,0,0,4,0,0.3,0.3,1.3,1.6,36,36,62,0.00,0.07,0.07,0.00,0.07,0.02,0.09,0.11,0.02,0.11,Matches
Pasquale Mazzocchi,Napoli,2023-2024,28,Napoli,it ITA,1. Serie A,10th,10,4,428,4.8,0,1,1,0,0,0,0,1,0.2,0.2,0.2,0.4,13,24,22,0.00,0.21,0.21,0.00,0.21,0.03,0.04,0.08,0.03,0.08,Matches
Pasquale Mazzocchi,Napoli,2024-2025,29,Napoli,it ITA,1. Serie A,1st,20,7,702,7.8,0,0,0,0,0,0,3,0,0.3,0.3,0.4,0.6,20,23,43,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.08,0.03,0.08,Matches
Pasquale Mazzocchi,Napoli,2025-2026,30,Napoli,it ITA,1. Serie A,3rd,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Pasquale Mazzocchi,Napoli,9 Seasons,9 Seasons,5 Clubs,,2 Leagues,,217,171,14958,166.2,4,15,19,4,0,0,30,1,5.3,5.3,12.9,18.2,514,477,665,0.02,0.09,0.11,0.02,0.11,0.04,0.08,0.12,0.04,0.12,
Pasquale Mazzocchi,Napoli,,,,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Pasquale Mazzocchi,Napoli,Salernitana (3 Seasons),Salernitana (3 Seasons),Salernitana (3 Seasons),,1 League,,60,54,4499,50.0,2,6,8,2,0,0,8,0,1.8,1.8,5.4,7.2,149,136,210,0.04,0.12,0.16,0.04,0.16,0.04,0.11,0.14,0.04,0.14,
Pasquale Mazzocchi,Napoli,Napoli (3 Seasons),Napoli (3 Seasons),Napoli (3 Seasons),,1 League,,30,11,1130,12.6,0,1,1,0,0,0,3,1,0.4,0.4,0.6,1.0,33,47,65,0.00,0.08,0.08,0.00,0.08,0.03,0.05,0.08,0.03,0.08,
Pasquale Mazzocchi,Napoli,Perugia (2 Seasons),Perugia (2 Seasons),Perugia (2 Seasons),,1 League,,57,46,4030,44.8,1,6,7,1,0,0,6,0,2.2,2.2,4.1,6.2,165,150,230,0.02,0.13,0.16,0.02,0.16,0.05,0.09,0.14,0.05,0.14,
Pasquale Mazzocchi,Napoli,Venezia (2 Seasons),Venezia (2 Seasons),Venezia (2 Seasons),,2 Leagues,,52,45,3976,44.2,1,1,2,1,0,0,10,0,0.9,0.9,2.8,3.7,167,144,160,0.02,0.02,0.05,0.02,0.05,0.02,0.06,0.08,0.02,0.08,
Pasquale Mazzocchi,Napoli,Parma (1 Season),Parma (1 Season),Parma (1 Season),,1 League,,18,15,1323,14.7,0,1,1,0,0,0,3,0,,,,,,,,0.00,0.07,0.07,0.00,0.07,,,,,,
Pasquale Mazzocchi,Napoli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pasquale Mazzocchi,Napoli,Serie A (5 Seasons),Serie A (5 Seasons),Serie A (5 Seasons),,,,108,80,6872,76.4,2,7,9,2,0,0,14,1,2.6,2.6,6.5,9.0,226,216,318,0.03,0.09,0.12,0.03,0.12,0.03,0.08,0.12,0.03,0.12,
Pasquale Mazzocchi,Napoli,Serie B (4 Seasons),Serie B (4 Seasons),Serie B (4 Seasons),,,,109,91,8086,89.8,2,8,10,2,0,0,16,0,2.7,2.7,6.4,9.1,288,261,347,0.02,0.09,0.11,0.02,0.11,0.04,0.09,0.12,0.04,0.12,
